symbol,price_rows,missing_oi,missing_volume,missing_funding,missing_any,valid_all,chart_positive_volume,actual_trades,confirmed_no_trades,unavailable_volume,linked_zero_carry,isolated_zero_chart,perp_symbol,oi_gap_ranges,volume_gap_ranges
1INCH_USD:USD,32853,4677,2,0,4679,28174,17878,16242,14973,0,12735,2217,1INCH/USD:USD,7,1
2Z_USD:USD,5490,0,2,0,2,5488,539,526,4949,0,4879,64,2Z/USD:USD,0,1
AAVE_USD:USD,34245,6068,4,0,6072,28173,30694,12626,3547,4,2659,892,AAVE/USD:USD,9,0
ADA_USD:USD,35182,7004,428,45,7040,28142,34754,0,0,428,193,235,ADA/USD:USD,10,0
AEVO_USD:USD,17547,1,2,0,3,17544,6866,6775,10679,0,9547,1100,AEVO/USD:USD,1,1
AIXBT_USD:USD,11710,0,0,0,0,11710,9084,8312,2626,0,1796,805,AIXBT/USD:USD,0,0
AKT_USD:USD,13223,0,0,0,0,13223,5963,5848,7260,0,6279,959,AKT/USD:USD,0,0
ALCH_USD:USD,11545,0,0,0,0,11545,6766,6172,4779,0,4077,693,ALCH/USD:USD,0,0
ALEO_USD:USD,1804,1066,2,0,1068,736,50,46,1752,0,1750,4,ALEO/USD:USD,6,1
ALGO_USD:USD,34031,5853,0,2,5853,28178,26940,21846,7091,0,5334,1757,ALGO/USD:USD,9,0
ALICE_USD:USD,32181,4004,2,0,4006,28175,11085,10973,21094,0,19264,1815,ALICE/USD:USD,6,1
ALT_USD:USD,17400,0,0,1,1,17399,6837,6726,10563,0,9566,979,ALT/USD:USD,0,0
ANIME_USD:USD,11634,0,1,0,1,11633,2658,2594,8975,0,8573,387,ANIME/USD:USD,0,1
ANKR_USD:USD,32339,4161,0,2,4161,28178,15289,15032,17050,0,14765,2267,ANKR/USD:USD,6,0
APE_USD:USD,34583,6405,0,2,6405,28178,31293,24154,3290,0,1818,1469,APE/USD:USD,9,0
API3_USD:USD,20255,0,1,0,1,20254,11084,10836,9170,0,7506,1640,API3/USD:USD,0,1
APT_USD:USD,31513,3337,3,0,3340,28173,26665,17293,4845,3,3578,1270,APT/USD:USD,5,0
AR_USD:USD,17862,0,1,0,1,17861,14215,13342,3646,0,2541,1085,AR/USD:USD,0,1
ARB_USD:USD,27791,0,11,1,12,27779,25271,5592,2509,11,1927,593,ARB/USD:USD,0,0
ARC_USD:USD,11541,0,1,0,1,11540,7361,6660,4179,0,3485,682,ARC/USD:USD,0,1
ARKM_USD:USD,17730,2,2,0,4,17726,8158,7834,9570,0,8539,1025,ARKM/USD:USD,1,1
ASTER_USD:USD,5764,0,0,0,0,5764,4121,3968,1643,0,1197,422,ASTER/USD:USD,0,0
ASTR_USD:USD,18048,0,2,0,2,18046,5125,5077,12921,0,12119,786,ASTR/USD:USD,0,1
ATH_USD:USD,13333,0,0,0,0,13333,5933,5791,7400,0,6502,882,ATH/USD:USD,0,0
ATOM_USD:USD,35182,7004,10,45,7014,28168,34632,10274,540,10,185,365,ATOM/USD:USD,10,0
AUCTION_USD:USD,15503,0,2,0,2,15501,5308,4914,10193,0,9488,692,AUCTION/USD:USD,0,1
AUD_USD:USD,9053,1551,3685,0,3796,5257,86,74,5282,3683,8961,6,AUD/USD:USD,4,1
AVAX_USD:USD,35182,7004,10,45,7014,28168,34425,9109,747,10,334,423,AVAX/USD:USD,10,0
AXS_USD:USD,33355,5177,0,2,5177,28178,27965,24715,5390,0,3541,1849,AXS/USD:USD,8,0
B3_USD:USD,10464,4,0,0,4,10460,2048,2027,8416,0,8113,287,B3/USD:USD,2,0
BAND_USD:USD,32181,4003,1,0,4004,28177,12476,12221,19704,0,17706,1985,BAND/USD:USD,6,1
BAT_USD:USD,33690,5516,1,1,5517,28173,14567,14291,19122,0,16860,2233,BAT/USD:USD,8,1
BCH_USD:USD,35182,7005,4,45,7009,28173,33748,12327,1430,4,872,562,BCH/USD:USD,10,0
BDX_USD:USD,2112,2112,2111,0,2112,0,1,0,0,2109,2111,0,BDX/USD:USD,3,1
BEAM_USD:USD,18383,0,1,0,1,18382,9596,8768,8786,0,7712,1053,BEAM/USD:USD,0,1
BERA_USD:USD,11179,0,2,0,2,11177,7585,7163,3592,0,2707,864,BERA/USD:USD,0,1
BICO_USD:USD,18065,6,1,0,7,18058,4713,4652,13351,0,12585,754,BICO/USD:USD,1,1
BIGTIME_USD:USD,16749,0,2,0,2,16747,8099,7308,8648,0,7870,774,BIGTIME/USD:USD,0,1
BIO_USD:USD,11539,0,7,0,7,11532,5387,5308,6145,6,5403,731,BIO/USD:USD,0,1
BLUR_USD:USD,28629,452,0,0,452,28177,18156,17672,10473,0,8355,2091,BLUR/USD:USD,1,0
BNB_USD:USD,21936,0,8,1,9,21927,21145,5677,783,8,484,307,BNB/USD:USD,0,0
BNT_USD:USD,16918,4,2,0,6,16912,2845,2804,14071,0,13666,399,BNT/USD:USD,1,1
BONK_USD:USD,21235,0,8,0,8,21227,20570,5970,657,393,304,344,BONK/USD:USD,0,0
BTC_USD:USD,35182,7004,14,45,7016,28166,35168,0,0,399,11,3,BTC/USD:USD,10,0
C98_USD:USD,17544,0,1,0,1,17543,4551,4507,12992,0,12250,723,C98/USD:USD,0,1
CAKE_USD:USD,13218,0,2,0,2,13216,6681,6415,6535,0,5760,759,CAKE/USD:USD,0,1
CAT_USD:USD,13676,4,1,0,5,13671,7038,6861,6637,0,5986,636,CAT/USD:USD,1,1
CELO_USD:USD,14039,0,2,0,2,14037,4111,4066,9926,0,9235,663,CELO/USD:USD,0,1
CELR_USD:USD,15356,1,1,0,2,15354,5460,5407,9895,0,8974,900,CELR/USD:USD,1,1
CFG_USD:USD,2085,588,0,0,588,1497,421,402,1664,0,1587,72,CFG/USD:USD,2,0
CHR_USD:USD,17891,15,2,0,17,17874,5757,5681,12132,0,11221,896,CHR/USD:USD,1,1
CHZ_USD:USD,33690,5516,0,1,5516,28174,23743,21563,9947,0,7852,2087,CHZ/USD:USD,8,0
COMP_USD:USD,33860,5686,0,3,5686,28174,19764,18777,14096,0,11730,2337,COMP/USD:USD,8,0
COOKIE_USD:USD,11368,3,1,0,4,11364,3198,3157,8169,0,7661,476,COOKIE/USD:USD,1,1
COTI_USD:USD,18092,20,2,0,22,18070,8937,8743,9153,0,7891,1241,COTI/USD:USD,1,1
COW_USD:USD,13052,0,2,0,2,13050,3533,3467,9517,0,8952,556,COW/USD:USD,0,1
CRO_USD:USD,12475,0,2,0,2,12473,7090,6521,5383,0,4512,842,CRO/USD:USD,0,1
CRV_USD:USD,34245,6067,9,0,6076,28169,32077,10569,2159,9,1473,695,CRV/USD:USD,9,0
CTSI_USD:USD,17400,0,2,1,3,17397,4712,4671,12686,0,12004,675,CTSI/USD:USD,0,1
CVX_USD:USD,27622,0,2,1,3,27619,13317,12820,14303,0,12509,1769,CVX/USD:USD,0,1
CYBER_USD:USD,13838,0,2,0,2,13836,2941,2903,10895,0,10449,445,CYBER/USD:USD,0,1
DASH_USD:USD,32855,4678,7,2,4685,28170,21909,14316,10939,420,9411,1535,DASH/USD:USD,7,0
DEEP_USD:USD,13325,0,1,0,1,13324,4274,4232,9050,0,8404,632,DEEP/USD:USD,0,1
DEGEN_USD:USD,13338,0,2,0,2,13336,5534,5364,7802,0,6947,840,DEGEN/USD:USD,0,1
