symbol,price_rows,missing_oi,missing_volume,missing_funding,missing_any,valid_all,chart_positive_volume,actual_trades,confirmed_no_trades,unavailable_volume,linked_zero_carry,isolated_zero_chart,perp_symbol,oi_gap_ranges,volume_gap_ranges
AAVE_USD:USD,34243,6068,3551,0,6780,27463,30692,0,0,0,2659,892,AAVE/USD:USD,9,1614
AKT_USD:USD,13221,0,7265,0,7265,5956,5956,0,0,0,6309,956,AKT/USD:USD,0,2264
ALICE_USD:USD,32179,4004,21094,0,22020,10159,11085,0,0,0,19281,1813,ALICE/USD:USD,6,5052
APE_USD:USD,34581,6405,3293,2,8304,26277,31288,0,0,0,1820,1473,APE/USD:USD,9,2086
ARB_USD:USD,27789,0,2523,1,2524,25265,25266,0,0,0,1927,596,ARB/USD:USD,0,1106
ASTR_USD:USD,18046,0,12924,0,12924,5122,5122,0,0,0,12141,783,ASTR/USD:USD,0,2731
AUD_USD:USD,9051,1551,8965,0,8971,80,86,0,0,0,8959,6,AUD/USD:USD,4,77
BAND_USD:USD,32179,4003,19703,0,21432,10747,12476,0,0,0,17719,1984,BAND/USD:USD,6,5037
BEAM_USD:USD,18381,0,8788,0,8788,9593,9593,0,0,0,7733,1055,BEAM/USD:USD,0,2439
BIO_USD:USD,11537,0,6157,0,6157,5380,5380,0,0,0,5426,731,BIO/USD:USD,0,1737
BONK_USD:USD,21233,0,666,0,666,20567,20567,0,0,0,319,347,BONK/USD:USD,0,456
CAT_USD:USD,13674,4,6646,0,6647,7027,7028,0,0,0,6009,637,CAT/USD:USD,1,1381
CHR_USD:USD,17889,15,12133,0,12135,5754,5756,0,0,0,11239,894,CHR/USD:USD,1,2500
COTI_USD:USD,18090,20,9154,0,9159,8931,8936,0,0,0,7916,1238,COTI/USD:USD,1,2873
CTSI_USD:USD,17398,0,12686,1,12687,4711,4712,0,0,0,12011,675,CTSI/USD:USD,0,2270
DEEP_USD:USD,13323,0,9054,0,9054,4269,4269,0,0,0,8423,631,DEEP/USD:USD,0,1625
DOGE_USD:USD,34412,6236,1286,1,6276,28136,33126,0,0,0,961,325,DOGE/USD:USD,9,604
DYM_USD:USD,20060,0,8330,0,8330,11730,11730,0,0,0,7167,1163,DYM/USD:USD,0,2625
ENJ_USD:USD,33859,5684,16853,0,19521,14338,17006,0,0,0,14454,2399,ENJ/USD:USD,8,5518
ETH_USD:USD,35135,6959,12,0,6971,28164,35123,0,0,0,11,1,ETH/USD:USD,10,4
FET_USD:USD,27789,1,7820,2,7822,19967,19969,0,0,0,7008,812,FET/USD:USD,1,1505
FLR_USD:USD,29518,1342,17214,0,17954,11564,12304,0,0,0,15208,2006,FLR/USD:USD,2,4931
GIGA_USD:USD,12642,2,6484,0,6485,6157,6158,0,0,0,5516,968,GIGA/USD:USD,1,2090
GRASS_USD:USD,13333,0,2950,0,2950,10383,10383,0,0,0,2122,828,GRASS/USD:USD,0,1359
HBAR_USD:USD,16747,4,789,0,790,15957,15958,0,0,0,465,324,HBAR/USD:USD,1,470
ICX_USD:USD,32011,3839,19589,0,20715,11296,12422,0,0,0,18267,1322,ICX/USD:USD,6,3797
IP_USD:USD,10632,0,2900,0,2900,7732,7732,0,0,0,2305,595,IP/USD:USD,0,1118
KAITO_USD:USD,10530,0,4381,0,4381,6149,6149,0,0,0,3598,783,KAITO/USD:USD,0,1524
LAYER_USD:USD,11135,0,8786,0,8786,2349,2349,0,0,0,8471,315,LAYER/USD:USD,0,1159
LPT_USD:USD,33688,5512,11539,1,13064,20624,22149,0,0,0,9997,1542,LPT/USD:USD,8,3222
LTC_USD:USD,35135,6959,385,0,6971,28164,34750,0,0,0,167,218,LTC/USD:USD,10,279
METIS_USD:USD,13333,0,10604,0,10604,2729,2729,0,0,0,10215,389,METIS/USD:USD,0,1248
MNT_USD:USD,16271,317,12663,0,12667,3604,3608,0,0,0,12172,491,MNT/USD:USD,3,1639
MORPHO_USD:USD,13051,0,5695,0,5695,7356,7356,0,0,0,4724,971,MORPHO/USD:USD,0,1883
NEIRO_USD:USD,14205,0,3802,0,3802,10403,10403,0,0,0,3025,777,NEIRO/USD:USD,0,1406
OGN_USD:USD,32684,4508,23466,1,24718,7966,9218,0,0,0,22078,1388,OGN/USD:USD,7,4600
OPEN_USD:USD,5440,34,4787,0,4788,652,653,0,0,0,4708,79,OPEN/USD:USD,1,305
PAXG_USD:USD,24283,45,11956,0,11959,12324,12327,0,0,0,10418,1538,PAXG/USD:USD,2,3580
PNUT_USD:USD,13051,0,1423,0,1423,11628,11628,0,0,0,880,543,PNUT/USD:USD,0,812
POWR_USD:USD,17727,0,14284,0,14284,3443,3443,0,0,0,13793,491,POWR/USD:USD,0,2002
QNT_USD:USD,31672,3497,12615,0,14072,17600,19057,0,0,0,10187,2428,QNT/USD:USD,5,4846
RAVE_USD:USD,1607,0,121,0,121,1486,1486,0,0,0,77,44,RAVE/USD:USD,0,67
RIVER_USD:USD,4769,1902,2092,0,2094,2675,2677,0,0,0,2045,47,RIVER/USD:USD,4,80
S_USD:USD,11780,0,4363,0,4363,7417,7417,0,0,0,3432,931,S/USD:USD,0,1779
SHIB_USD:USD,26143,0,2899,0,2899,23244,23244,0,0,0,2297,602,SHIB/USD:USD,0,1147
SONIC_USD:USD,11537,0,8945,0,8945,2592,2592,0,0,0,8527,418,SONIC/USD:USD,0,1468
SPX_USD:USD,12474,0,787,0,787,11687,11687,0,0,0,448,339,SPX/USD:USD,0,483
STORJ_USD:USD,32516,4340,14166,1,15943,16573,18350,0,0,0,12092,2074,STORJ/USD:USD,7,4574
SUN_USD:USD,13893,0,11893,0,11893,2000,2000,0,0,0,11629,264,SUN/USD:USD,0,1109
SXT_USD:USD,8788,29,7421,0,7425,1363,1367,0,0,0,7233,188,SXT/USD:USD,4,813
TAO_USD:USD,16676,0,266,0,266,16410,16410,0,0,0,158,108,TAO/USD:USD,0,167
TON_USD:USD,18090,2,331,0,333,17757,17759,0,0,0,132,199,TON/USD:USD,1,245
