symbol,price_rows,missing_oi,missing_volume,missing_funding,missing_any,valid_all,chart_positive_volume,actual_trades,confirmed_no_trades,unavailable_volume,linked_zero_carry,isolated_zero_chart,perp_symbol,oi_gap_ranges,volume_gap_ranges
1INCH_USD:USD,32851,4677,14972,0,16455,16396,17879,0,0,0,12758,2214,1INCH/USD:USD,7,4874
AEVO_USD:USD,17545,1,10673,0,10674,6871,6872,0,0,0,9576,1097,AEVO/USD:USD,1,2962
ALEO_USD:USD,1802,1066,1752,0,1762,40,50,0,0,0,1748,4,ALEO/USD:USD,6,37
ANIME_USD:USD,11632,0,8976,0,8976,2656,2656,0,0,0,8593,383,ANIME/USD:USD,0,1404
APT_USD:USD,31511,3337,4848,0,7108,24403,26663,0,0,0,3578,1270,APT/USD:USD,5,2187
ARKM_USD:USD,17728,2,9577,0,9578,8150,8151,0,0,0,8551,1026,ARKM/USD:USD,1,2407
ATOM_USD:USD,35180,7004,550,45,7165,28015,34630,0,0,0,185,365,ATOM/USD:USD,10,444
AXS_USD:USD,33353,5177,5391,2,8440,24913,27962,0,0,0,3541,1850,AXS/USD:USD,8,2883
BCH_USD:USD,35180,7005,1434,45,7226,27954,33746,0,0,0,872,562,BCH/USD:USD,10,838
BICO_USD:USD,18063,6,13356,0,13358,4705,4707,0,0,0,12602,754,BICO/USD:USD,1,2545
BNB_USD:USD,21934,0,793,1,794,21140,21141,0,0,0,484,309,BNB/USD:USD,0,467
C98_USD:USD,17542,0,12993,0,12993,4549,4549,0,0,0,12272,721,C98/USD:USD,0,2402
CELR_USD:USD,15354,1,9896,0,9897,5457,5458,0,0,0,8996,900,CELR/USD:USD,1,2428
COMP_USD:USD,33858,5686,14101,3,15894,17964,19757,0,0,0,11756,2345,COMP/USD:USD,8,5007
CRO_USD:USD,12473,0,5377,0,5377,7096,7096,0,0,0,4536,841,CRO/USD:USD,0,1831
CYBER_USD:USD,13836,0,10894,0,10894,2942,2942,0,0,0,10449,445,CYBER/USD:USD,0,1451
DENT_USD:USD,12995,0,9920,0,9920,3075,3075,0,0,0,9446,474,DENT/USD:USD,0,1488
DOT_USD:USD,35135,6959,473,0,7115,28020,34662,0,0,0,163,310,DOT/USD:USD,10,377
EIGEN_USD:USD,14205,0,4639,0,4639,9566,9566,0,0,0,3534,1105,EIGEN/USD:USD,0,2073
ESPORTS_USD:USD,3667,0,1375,0,1375,2292,2292,0,0,0,1150,225,ESPORTS/USD:USD,0,462
EUR_USD:USD,9629,0,8947,0,8947,682,682,0,0,0,8866,81,EUR/USD:USD,0,480
FLOKI_USD:USD,17730,0,2405,0,2405,15325,15325,0,0,0,1510,895,FLOKI/USD:USD,0,1370
GALA_USD:USD,33353,5177,5761,2,8390,24963,27592,0,0,0,4451,1310,GALA/USD:USD,8,2430
GMX_USD:USD,28141,0,13036,1,13037,15104,15105,0,0,0,11057,1979,GMX/USD:USD,0,4440
GRT_USD:USD,33018,4842,8624,3,10963,22055,24394,0,0,0,6681,1943,GRT/USD:USD,7,3602
HMSTR_USD:USD,13839,0,10243,0,10243,3596,3596,0,0,0,9769,474,HMSTR/USD:USD,0,1626
INIT_USD:USD,8873,0,5806,0,5806,3067,3067,0,0,0,5312,494,INIT/USD:USD,0,1395
JTO_USD:USD,21233,0,3950,0,3950,17283,17283,0,0,0,2604,1346,JTO/USD:USD,0,2129
KAVA_USD:USD,33188,5014,12872,1,15298,17890,20316,0,0,0,10323,2549,KAVA/USD:USD,7,5113
LDO_USD:USD,28150,0,4235,1,4236,23914,23915,0,0,0,3234,1001,LDO/USD:USD,0,1777
LRC_USD:USD,33188,5013,15339,1,17745,15443,17849,0,0,0,13098,2241,LRC/USD:USD,7,5162
ME_USD:USD,11854,0,9848,0,9848,2006,2006,0,0,0,9561,287,ME/USD:USD,0,1049
MINA_USD:USD,31821,3648,13767,0,15019,16802,18054,0,0,0,11352,2415,MINA/USD:USD,6,4967
MON_USD:USD,3666,536,2046,0,2047,1619,1620,0,0,0,1828,218,MON/USD:USD,1,391
MUBARAK_USD:USD,8793,106,6768,0,6775,2018,2025,0,0,0,6399,369,MUBARAK/USD:USD,6,1187
NMR_USD:USD,16529,14,7490,0,7493,9036,9039,0,0,0,6356,1134,NMR/USD:USD,2,2428
ONDO_USD:USD,18546,1,366,0,367,18179,18180,0,0,0,147,219,ONDO/USD:USD,1,278
ORDER_USD:USD,5609,0,4729,0,4729,880,880,0,0,0,4593,136,ORDER/USD:USD,0,540
PENGU_USD:USD,12474,0,417,0,417,12057,12057,0,0,0,189,228,PENGU/USD:USD,0,297
POPCAT_USD:USD,16914,3,56,0,57,16857,16858,0,0,0,19,37,POPCAT/USD:USD,1,43
PUMP_USD:USD,7529,0,162,1,163,7366,7367,0,0,0,39,123,PUMP/USD:USD,0,138
RARE_USD:USD,15500,0,9428,1,9429,6071,6072,0,0,0,8597,831,RARE/USD:USD,0,2278
RENDER_USD:USD,15907,0,325,0,325,15582,15582,0,0,0,88,237,RENDER/USD:USD,0,276
RSR_USD:USD,14539,0,8164,0,8164,6375,6375,0,0,0,7291,873,RSR/USD:USD,0,2134
SAND_USD:USD,33858,5683,11047,3,14198,19660,22811,0,0,0,8377,2670,SAND/USD:USD,8,4951
SOL_USD:USD,35133,6957,25,2,6969,28164,35108,0,0,0,11,14,SOL/USD:USD,10,17
SPELL_USD:USD,19603,0,12235,0,12235,7368,7368,0,0,0,11209,1026,SPELL/USD:USD,0,2720
STBL_USD:USD,5757,38,4944,0,4946,811,813,0,0,0,4830,114,STBL/USD:USD,3,459
STX_USD:USD,27619,0,5053,1,5054,22565,22566,0,0,0,4003,1050,STX/USD:USD,0,1894
SUSHI_USD:USD,32684,4508,6587,1,8315,24369,26097,0,0,0,4797,1790,SUSHI/USD:USD,7,3040
