stage,rows,symbols,fraction_of_prev
raw_panel,3080100,300,1.0
sliceplanner_keep_idx,123120,141,0.03997272815817668
event_frame_built,123120,141,1.0
robust_data_filter,122040,139,0.9912280701754386
