strategy_id,model,spearman_ic,top_10_mean_net,top_10_hit_rate,top_20_mean_net,top_20_hit_rate,monotonicity,false_safe_rate,utility_score,optimal_threshold_pct,optimal_selection_frac,optimal_wallet_pnl,optimal_net_pnl,optimal_hit_rate,optimal_pf,optimal_sortino,optimal_monthly_sortino,optimal_stability,optimal_mdd,optimal_trades_per_day,optimal_pnl_per_trade
bars_in_high_vol_state_log_norm_-0_61002535_dist_weekly_vwap_-0_38453856_loc_ema_stack_pos_48_0_66408622_loc_prev_day_range_pos_24_0_41419065_atr_compression_ratio_0_97724169_ema50_slope_0_00070510805,ridge,-0.005780686224617338,0.0003930166130885482,0.36722988683924973,0.0009010756621137261,0.37730584405518525,0.0,1.0,-0.8017535339309807,95.0%,0.05,-0.7164858639789158,-6.210512161254883,0.36992248062015504,0.8111803313292137,-0.27689463,-0.40808281396095175,0.9139443783407958,0.999907379856538,8.71131119864941e-09,-0.1925740205040274
bars_in_high_vol_state_log_norm_-0_61002535_dist_weekly_vwap_-0_38453856_loc_ema_stack_pos_48_0_66408622_loc_prev_day_range_pos_24_0_41419065_atr_compression_ratio_0_97724169_ema50_slope_0_00070510805,et,0.027447015974248888,0.001045522396452725,0.3782359324135793,-0.00027991633396595716,0.3424275306154085,0.0,1.0,-0.6766546124570934,92.5%,0.075,-0.7039226591537463,-3.8898119926452637,0.3989251756924349,0.9161498043151161,-0.13545015,-0.1923288254408519,0.15565864275001343,0.999610643674455,1.3068317388857626e-08,-0.08040124002987317
bars_in_high_vol_state_log_norm_-0_61002535_dist_weekly_vwap_-0_38453856_loc_ema_stack_pos_48_0_66408622_loc_prev_day_range_pos_24_0_41419065_atr_compression_ratio_0_97724169_ema50_slope_0_00070510805,lgbm,0.02727285841926386,0.0009707964491099119,0.3763757556967912,-0.00024732411839067936,0.342815067431406,0.0,1.0,-0.6884239339888393,92.5%,0.075,-0.6686637962470985,-2.3763697147369385,0.4059528730880529,0.9481455239283113,-0.0821279,0.0,0.04668814060182023,0.996436111361193,1.3068317388857626e-08,-0.04911884486847744
bars_in_high_vol_state_log_norm_-0_61002535_dist_weekly_vwap_-0_38453856_loc_ema_stack_pos_48_0_66408622_loc_prev_day_range_pos_24_0_41419065_atr_compression_ratio_0_97724169_ema50_slope_0_00070510805,lgbm_clf,0.09133948062776034,0.004105000291019678,0.4534180747170981,0.001036783680319786,0.372500387536816,0.0,0.0,0.6407027618966286,90.0%,0.1,1.2706699010701756,7.12835693359375,0.4534180747170981,1.1144005294370813,0.17556238,0.0,0.44285212981817446,0.9999910737220044,1.742532357906584e-08,0.1105000299735506
bars_in_high_vol_state_log_norm_0_45356679_dist_prior_day_low_0_011585106_rvol_z_0_89040798_volume_trend_48_-1_0869701,ridge,-0.05492054035123809,-0.003050495870411396,0.34062992125984254,-0.00316691305488348,0.33574803149606297,0.0,1.0,-1.5523129430324256,95.0%,0.05,-1.926162318784932,-21.233280181884766,0.3303937007874016,0.504023112536482,-0.8835035,-0.5560849224102422,0.9260569124323185,0.9999999997838684,4.3493150684931505e-09,-0.6687647301381028
bars_in_high_vol_state_log_norm_0_45356679_dist_prior_day_low_0_011585106_rvol_z_0_89040798_volume_trend_48_-1_0869701,et,0.0,-0.003915069159120321,0.3220472440944882,-0.002663692459464073,0.34708661417322834,0.0,1.0,-1.6257051349573792,95.0%,0.05,-2.7997418750366547,-27.520610809326172,0.28566929133858265,0.40772259137126327,-1.1601726,-1.4177711120230316,0.9697156446117411,0.9999999999997374,4.3493150684931505e-09,-0.8667908916323204
bars_in_high_vol_state_log_norm_0_45356679_dist_prior_day_low_0_011585106_rvol_z_0_89040798_volume_trend_48_-1_0869701,lgbm,0.0,-0.003915069159120321,0.3220472440944882,-0.002663692459464073,0.34708661417322834,0.0,1.0,-1.6257051349573792,95.0%,0.05,-2.7997418750366547,-27.520610809326172,0.28566929133858265,0.40772259137126327,-1.1601726,-1.4177711120230316,0.9697156446117411,0.9999999999997374,4.3493150684931505e-09,-0.8667908916323204
bars_in_high_vol_state_log_norm_0_45356679_dist_prior_day_low_0_011585106_rvol_z_0_89040798_volume_trend_48_-1_0869701,lgbm_clf,-0.015089470092666797,-0.002373610157519579,0.35590551181102364,-0.002982249017804861,0.3394488188976378,0.0,0.0,-0.4871971015430592,95.0%,0.05,-1.4309165599011973,-18.06842613220215,0.34960629921259845,0.5485231126395052,-0.80855155,-0.6436589717500838,0.7974367472076856,0.9999999932177267,4.3493150684931505e-09,-0.5690842876284141
dist_ema_fast_-0_0008298126_range_24h_pct_0_036314368_rsi_slope_1_1116575,ridge,-0.02988209816032514,-0.0040308693423867226,0.3141955835962145,-0.0036404887214303017,0.32413249211356465,0.0,1.0,-1.6348912774945583,95.0%,0.05,-2.4273559722678186,-24.883840560913086,0.28801261829652997,0.5368775270408905,-0.8546236,-0.7215583280882538,0.9624008000134451,0.9999999999962323,4.437186515805436e-09,-0.7849791975051446
dist_ema_fast_-0_0008298126_range_24h_pct_0_036314368_rsi_slope_1_1116575,et,0.002889526181056461,-0.004823487717658281,0.3034700315457413,-0.002965780207887292,0.3412460567823344,0.0,1.0,-1.6945133344766163,95.0%,0.05,-3.1078954983942078,-28.24411392211914,0.267192429022082,0.44331446493404003,-1.2508985,-0.6428042950088922,0.9534482281453144,0.9999999999999556,4.437186515805436e-09,-0.8909815117387742
