strategy_id,top_frac,lift_raw,hit_rate_raw,mean_gross_return_raw,mean_net_return_raw,net_ret_raw,std_weekly_raw,std_monthly_raw,sortino_raw,max_drawdown_raw,trades_raw,regime_adaptor_enabled_raw,model_raw,lift_adj,hit_rate_adj,mean_gross_return_adj,mean_net_return_adj,net_ret_adj,std_weekly_adj,std_monthly_adj,sortino_adj,max_drawdown_adj,trades_adj,regime_adaptor_enabled_adj,model_adj,pipeline,wallet_pnl,lift_delta,hit_rate_delta,mean_gross_return_delta,mean_net_return_delta,net_ret_delta,std_weekly_delta,std_monthly_delta,sortino_delta,max_drawdown_delta,top,sid_short
bars_in_high_vol_state_log_norm_-0_61002535_dist_weekly_vwap_-0_38453856_loc_ema_stack_pos_48_0_66408622_loc_prev_day_range_pos_24_0_41419065_atr_compression_ratio_0_97724169_ema50_slope_0_00070510805,0.01,1.6911839426576054,0.7729083665338645,0.020349724863635458,0.01734972486363546,4.3547809407725,0.13382432343557643,0.2053282290144061,2.033696438447468,0.13478410404781016,251,True,MetaClfOnly_clf_ranknorm,1.7173362716677747,0.7848605577689243,0.022071152971640036,0.019071152971640037,4.786859395881649,0.14406189184670296,0.23004659500690808,2.1898922330188375,0.10240560156852041,251,True,MetaClfOnly_clf_ranknorm,meta_clf_only,1.2638517935694833,0.026152329010169284,0.01195219123505975,0.001721428108004578,0.001721428108004578,0.4320784551091492,0.010237568411126524,0.02471836599250199,0.15619579457136945,-0.03237850247928975,1%,bars_in_high_vol_state_log_norm_-0_61002535_dist_weekly_
bars_in_high_vol_state_log_norm_-0_61002535_dist_weekly_vwap_-0_38453856_loc_ema_stack_pos_48_0_66408622_loc_prev_day_range_pos_24_0_41419065_atr_compression_ratio_0_97724169_ema50_slope_0_00070510805,0.05,1.5075754062895599,0.6889952153110048,0.01626535212555583,0.01326535212555583,16.63475156544701,0.37859225682307135,0.7210513287780183,1.7166277059088213,0.3717374294530629,1254,True,MetaClfOnly_clf_ranknorm,1.5110651641744892,0.6905901116427432,0.01655407047068377,0.013554070470683771,16.99680437023745,0.3885672416066518,0.7319082440880811,1.743342893933783,0.3717374294530629,1254,True,MetaClfOnly_clf_ranknorm,meta_clf_only,1.2638517935694833,0.0034897578849293343,0.0015948963317383713,0.0002887183451279404,0.0002887183451279404,0.3620528047904372,0.009974984783580443,0.010856915310062831,0.026715188024961645,0.0,5%,bars_in_high_vol_state_log_norm_-0_61002535_dist_weekly_
bars_in_high_vol_state_log_norm_-0_61002535_dist_weekly_vwap_-0_38453856_loc_ema_stack_pos_48_0_66408622_loc_prev_day_range_pos_24_0_41419065_atr_compression_ratio_0_97724169_ema50_slope_0_00070510805,0.1,1.3950307145005822,0.6375598086124402,0.01375711202385278,0.010757112023852778,26.978836955822768,0.5558419078716397,1.1648601770079492,1.3924791110608543,0.5371024513300569,2508,True,MetaClfOnly_clf_ranknorm,1.39415827502935,0.6371610845295056,0.013813376704132779,0.010813376704132776,27.119948773965003,0.5561608845127329,1.1652646956824597,1.407397471670086,0.5371024513300569,2508,True,MetaClfOnly_clf_ranknorm,meta_clf_only,1.2638517935694833,-0.000872439471232278,-0.0003987240829346206,5.626468027999931e-05,5.626468027999758e-05,0.14111181814223528,0.0003189766410932604,0.00040451867451052337,0.014918360609231796,0.0,10%,bars_in_high_vol_state_log_norm_-0_61002535_dist_weekly_
bars_in_high_vol_state_log_norm_0_45356679_dist_prior_day_low_0_011585106_rvol_z_0_89040798_volume_trend_48_-1_0869701,0.01,1.6658127941516105,0.7633587786259542,0.016979446440920917,0.013979446440920914,1.8313074837606398,0.061095950161155654,0.08526579606089132,1.603035279195349,0.08452406230568887,131,False,MetaClfOnly_clf_ranknorm,1.6658127941516105,0.7633587786259542,0.016979446440920917,0.013979446440920914,1.8313074837606398,0.061095950161155654,0.08526579606089132,1.603035279195349,0.08452406230568887,131,False,MetaClfOnly_clf_ranknorm,meta_clf_only,0.429341825663853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1%,bars_in_high_vol_state_log_norm_0_45356679_dist_prior_da
bars_in_high_vol_state_log_norm_0_45356679_dist_prior_day_low_0_011585106_rvol_z_0_89040798_volume_trend_48_-1_0869701,0.05,1.424640972571289,0.65284178187404,0.01183386120913742,0.008833861209137418,5.750843647148459,0.15984911939893046,0.257746802801471,1.0884696602698776,0.24708680300415153,651,False,MetaClfOnly_clf_ranknorm,1.424640972571289,0.65284178187404,0.01183386120913742,0.008833861209137418,5.750843647148459,0.15984911939893046,0.257746802801471,1.0884696602698776,0.24708680300415153,651,False,MetaClfOnly_clf_ranknorm,meta_clf_only,0.429341825663853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5%,bars_in_high_vol_state_log_norm_0_45356679_dist_prior_da
bars_in_high_vol_state_log_norm_0_45356679_dist_prior_day_low_0_011585106_rvol_z_0_89040798_volume_trend_48_-1_0869701,0.1,1.3334825015136007,0.6110684089162183,0.009667321504102655,0.006667321504102653,8.674185276837552,0.23246723835999022,0.41635771319858766,0.7403955581906857,0.5493260614597375,1301,False,MetaClfOnly_clf_ranknorm,1.3334825015136007,0.6110684089162183,0.009667321504102655,0.006667321504102653,8.674185276837552,0.23246723835999022,0.41635771319858766,0.7403955581906857,0.5493260614597375,1301,False,MetaClfOnly_clf_ranknorm,meta_clf_only,0.429341825663853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10%,bars_in_high_vol_state_log_norm_0_45356679_dist_prior_da
bars_in_high_vol_state_log_norm_0_45356679_dist_prior_day_low_0_011585106_rvol_z_0_89040798_volume_trend_48_-1_0869701_tbm,0.01,1.6658127941516105,0.7633587786259542,0.016979446440920917,0.013979446440920914,1.8313074837606398,0.061095950161155654,0.08526579606089132,1.603035279195349,0.08452406230568887,131,False,MetaClfOnly_clf_ranknorm,1.6658127941516105,0.7633587786259542,0.016979446440920917,0.013979446440920914,1.8313074837606398,0.061095950161155654,0.08526579606089132,1.603035279195349,0.08452406230568887,131,False,MetaClfOnly_clf_ranknorm,meta_clf_only,0.429341825663853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1%,bars_in_high_vol_state_log_norm_0_45356679_dist_prior_da
bars_in_high_vol_state_log_norm_0_45356679_dist_prior_day_low_0_011585106_rvol_z_0_89040798_volume_trend_48_-1_0869701_tbm,0.05,1.424640972571289,0.65284178187404,0.01183386120913742,0.008833861209137418,5.750843647148459,0.15984911939893046,0.257746802801471,1.0884696602698776,0.24708680300415153,651,False,MetaClfOnly_clf_ranknorm,1.424640972571289,0.65284178187404,0.01183386120913742,0.008833861209137418,5.750843647148459,0.15984911939893046,0.257746802801471,1.0884696602698776,0.24708680300415153,651,False,MetaClfOnly_clf_ranknorm,meta_clf_only,0.429341825663853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5%,bars_in_high_vol_state_log_norm_0_45356679_dist_prior_da
bars_in_high_vol_state_log_norm_0_45356679_dist_prior_day_low_0_011585106_rvol_z_0_89040798_volume_trend_48_-1_0869701_tbm,0.1,1.3334825015136007,0.6110684089162183,0.009667321504102655,0.006667321504102653,8.674185276837552,0.23246723835999022,0.41635771319858766,0.7403955581906857,0.5493260614597375,1301,False,MetaClfOnly_clf_ranknorm,1.3334825015136007,0.6110684089162183,0.009667321504102655,0.006667321504102653,8.674185276837552,0.23246723835999022,0.41635771319858766,0.7403955581906857,0.5493260614597375,1301,False,MetaClfOnly_clf_ranknorm,meta_clf_only,0.429341825663853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10%,bars_in_high_vol_state_log_norm_0_45356679_dist_prior_da
dist_ema_fast_-0_0008298126_range_24h_pct_0_036314368_rsi_slope_1_1116575,0.01,1.5306472562161701,0.6692307692307692,0.01670802805142907,0.013708028051429066,1.7820436466857785,0.12101863591366332,0.17020358376822342,1.2516972307991134,0.25655335244536404,130,True,MetaClfOnly_clf_ranknorm,1.5482409028393447,0.676923076923077,0.018289444831987987,0.015289444831987981,1.9876278281584376,0.11665198951585067,0.16305977437734176,1.3883759909312563,0.2396652988493443,130,True,MetaClfOnly_clf_ranknorm,meta_clf_only,0.5692702043948572,0.01759364662317453,0.007692307692307776,0.0015814167805589183,0.0015814167805589148,0.2055841814726591,-0.00436664639781266,-0.007143809390881661,0.13667876013214286,-0.016888053596019748,1%,dist_ema_fast_-0_0008298126_range_24h_pct_0_036314368_rs
