strategy_id,model,rank,feature,importance,importance_std,importance_metric,winner_model
bars_in_high_vol_state_log_norm_0_45356679_dist_prior_day_low_0_011585106_rvol_z_0_89040798_volume_trend_48_-1_0869701_tbm,elasticnet,1,edge_x_volatility_zscore,0.04479258880019188,0.08175856620073318,abs_weight,ridge
bars_in_high_vol_state_log_norm_0_45356679_dist_prior_day_low_0_011585106_rvol_z_0_89040798_volume_trend_48_-1_0869701_tbm,elasticnet,2,edge_x_winrate_20,0.013628176413476467,0.02235165424644947,abs_weight,ridge
bars_in_high_vol_state_log_norm_0_45356679_dist_prior_day_low_0_011585106_rvol_z_0_89040798_volume_trend_48_-1_0869701_tbm,elasticnet,3,edge_tbm,0.0051636663265526295,0.0075912089087069035,abs_weight,ridge
bars_in_high_vol_state_log_norm_0_45356679_dist_prior_day_low_0_011585106_rvol_z_0_89040798_volume_trend_48_-1_0869701_tbm,elasticnet,4,oof_ebm_uncertainty_weighted,0.005163663066923618,0.007591207046061754,abs_weight,ridge
bars_in_high_vol_state_log_norm_0_45356679_dist_prior_day_low_0_011585106_rvol_z_0_89040798_volume_trend_48_-1_0869701_tbm,elasticnet,5,clf,0.00516364723443985,0.007591197267174721,abs_weight,ridge
bars_in_high_vol_state_log_norm_0_45356679_dist_prior_day_low_0_011585106_rvol_z_0_89040798_volume_trend_48_-1_0869701_tbm,elasticnet,6,edge_x_amihud_z,0.002033176366239786,0.005750690586864948,abs_weight,ridge
bars_in_high_vol_state_log_norm_0_45356679_dist_prior_day_low_0_011585106_rvol_z_0_89040798_volume_trend_48_-1_0869701_tbm,elasticnet,7,edge_x_brier_50,0.001711781951598823,0.00484165083616972,abs_weight,ridge
bars_in_high_vol_state_log_norm_0_45356679_dist_prior_day_low_0_011585106_rvol_z_0_89040798_volume_trend_48_-1_0869701_tbm,elasticnet,8,edge_x_rank_ic_50,0.0005270544206723571,0.0014907352160662413,abs_weight,ridge
bars_in_high_vol_state_log_norm_0_45356679_dist_prior_day_low_0_011585106_rvol_z_0_89040798_volume_trend_48_-1_0869701_tbm,elasticnet,9,base_H10,0.0,0.0,abs_weight,ridge
bars_in_high_vol_state_log_norm_0_45356679_dist_prior_day_low_0_011585106_rvol_z_0_89040798_volume_trend_48_-1_0869701_tbm,elasticnet,10,edge_x_vol_of_vol,-0.02301778458058834,0.058223530650138855,abs_weight,ridge
dist_ema_fast_-0_0008298126_range_24h_pct_0_036314368_rsi_slope_1_1116575,elasticnet,1,oof_ebm_uncertainty_weighted,0.9127814173698425,0.9153122901916504,abs_weight,ridge
dist_ema_fast_-0_0008298126_range_24h_pct_0_036314368_rsi_slope_1_1116575,elasticnet,2,edge_tbm,0.5751349925994873,0.507215678691864,abs_weight,ridge
dist_ema_fast_-0_0008298126_range_24h_pct_0_036314368_rsi_slope_1_1116575,elasticnet,3,clf,0.5710484981536865,0.5046510100364685,abs_weight,ridge
dist_ema_fast_-0_0008298126_range_24h_pct_0_036314368_rsi_slope_1_1116575,elasticnet,4,edge_x_volatility_zscore,0.3499026298522949,0.9621878266334534,abs_weight,ridge
dist_ema_fast_-0_0008298126_range_24h_pct_0_036314368_rsi_slope_1_1116575,elasticnet,5,base_H10,0.2304747849702835,0.8310592174530029,abs_weight,ridge
dist_ema_fast_-0_0008298126_range_24h_pct_0_036314368_rsi_slope_1_1116575,elasticnet,6,edge_x_vol_of_vol,-0.15095533430576324,0.7136566042900085,abs_weight,ridge
dist_ema_fast_-0_0008298126_range_24h_pct_0_036314368_rsi_slope_1_1116575,elasticnet,7,edge_x_winrate_20,-0.2512277364730835,0.44212445616722107,abs_weight,ridge
dist_ema_fast_-0_0008298126_range_24h_pct_0_036314368_rsi_slope_1_1116575,elasticnet,8,edge_x_amihud_z,-0.4852944016456604,1.0559812784194946,abs_weight,ridge
dist_ema_fast_-0_0008298126_range_24h_pct_0_036314368_rsi_slope_1_1116575,elasticnet,9,edge_x_rank_ic_50,-0.7784013748168945,1.2452890872955322,abs_weight,ridge
dist_ema_fast_-0_0008298126_range_24h_pct_0_036314368_rsi_slope_1_1116575,elasticnet,10,edge_x_brier_50,-1.3748724460601807,1.5916019678115845,abs_weight,ridge
dist_ema_fast_-0_0008298126_range_24h_pct_0_036314368_rsi_slope_1_1116575_tbm,elasticnet,1,oof_ebm_uncertainty_weighted,0.9127814173698425,0.9153122901916504,abs_weight,ridge
dist_ema_fast_-0_0008298126_range_24h_pct_0_036314368_rsi_slope_1_1116575_tbm,elasticnet,2,edge_tbm,0.5751349925994873,0.507215678691864,abs_weight,ridge
dist_ema_fast_-0_0008298126_range_24h_pct_0_036314368_rsi_slope_1_1116575_tbm,elasticnet,3,clf,0.5710484981536865,0.5046510100364685,abs_weight,ridge
dist_ema_fast_-0_0008298126_range_24h_pct_0_036314368_rsi_slope_1_1116575_tbm,elasticnet,4,edge_x_volatility_zscore,0.3499026298522949,0.9621878266334534,abs_weight,ridge
dist_ema_fast_-0_0008298126_range_24h_pct_0_036314368_rsi_slope_1_1116575_tbm,elasticnet,5,base_H10,0.2304747849702835,0.8310592174530029,abs_weight,ridge
dist_ema_fast_-0_0008298126_range_24h_pct_0_036314368_rsi_slope_1_1116575_tbm,elasticnet,6,edge_x_vol_of_vol,-0.15095533430576324,0.7136566042900085,abs_weight,ridge
dist_ema_fast_-0_0008298126_range_24h_pct_0_036314368_rsi_slope_1_1116575_tbm,elasticnet,7,edge_x_winrate_20,-0.2512277364730835,0.44212445616722107,abs_weight,ridge
dist_ema_fast_-0_0008298126_range_24h_pct_0_036314368_rsi_slope_1_1116575_tbm,elasticnet,8,edge_x_amihud_z,-0.4852944016456604,1.0559812784194946,abs_weight,ridge
dist_ema_fast_-0_0008298126_range_24h_pct_0_036314368_rsi_slope_1_1116575_tbm,elasticnet,9,edge_x_rank_ic_50,-0.7784013748168945,1.2452890872955322,abs_weight,ridge
dist_ema_fast_-0_0008298126_range_24h_pct_0_036314368_rsi_slope_1_1116575_tbm,elasticnet,10,edge_x_brier_50,-1.3748724460601807,1.5916019678115845,abs_weight,ridge
dist_prior_day_high_0_035536911_dist_prior_day_low_0_012770575_vol_z_0_6473701,elasticnet,1,edge_x_winrate_20,0.1264113038778305,0.12029565125703812,abs_weight,ridge
dist_prior_day_high_0_035536911_dist_prior_day_low_0_012770575_vol_z_0_6473701,elasticnet,2,edge_x_vol_of_vol,0.07721973210573196,0.11644180119037628,abs_weight,ridge
dist_prior_day_high_0_035536911_dist_prior_day_low_0_012770575_vol_z_0_6473701,elasticnet,3,edge_x_brier_50,0.07363531738519669,0.11228148639202118,abs_weight,ridge
dist_prior_day_high_0_035536911_dist_prior_day_low_0_012770575_vol_z_0_6473701,elasticnet,4,clf,0.07287704199552536,0.10813519358634949,abs_weight,ridge
dist_prior_day_high_0_035536911_dist_prior_day_low_0_012770575_vol_z_0_6473701,elasticnet,5,edge_tbm,0.07287703454494476,0.10813519358634949,abs_weight,ridge
dist_prior_day_high_0_035536911_dist_prior_day_low_0_012770575_vol_z_0_6473701,elasticnet,6,oof_ebm_uncertainty_weighted,0.0726073682308197,0.1073182225227356,abs_weight,ridge
dist_prior_day_high_0_035536911_dist_prior_day_low_0_012770575_vol_z_0_6473701,elasticnet,7,edge_x_rank_ic_50,0.04957788437604904,0.15355265140533447,abs_weight,ridge
dist_prior_day_high_0_035536911_dist_prior_day_low_0_012770575_vol_z_0_6473701,elasticnet,8,edge_x_volatility_zscore,0.003600992262363434,0.1331234872341156,abs_weight,ridge
dist_prior_day_high_0_035536911_dist_prior_day_low_0_012770575_vol_z_0_6473701,elasticnet,9,base_H5,-0.01957814209163189,0.06208337843418121,abs_weight,ridge
dist_prior_day_high_0_035536911_dist_prior_day_low_0_012770575_vol_z_0_6473701,elasticnet,10,edge_x_amihud_z,-0.0456249862909317,0.06374729424715042,abs_weight,ridge
dist_prior_day_high_0_035536911_dist_prior_day_low_0_012770575_vol_z_0_6473701_tbm,elasticnet,1,edge_x_winrate_20,0.1264113038778305,0.12029565125703812,abs_weight,ridge
dist_prior_day_high_0_035536911_dist_prior_day_low_0_012770575_vol_z_0_6473701_tbm,elasticnet,2,edge_x_vol_of_vol,0.07721973210573196,0.11644180119037628,abs_weight,ridge
dist_prior_day_high_0_035536911_dist_prior_day_low_0_012770575_vol_z_0_6473701_tbm,elasticnet,3,edge_x_brier_50,0.07363531738519669,0.11228148639202118,abs_weight,ridge
dist_prior_day_high_0_035536911_dist_prior_day_low_0_012770575_vol_z_0_6473701_tbm,elasticnet,4,clf,0.07287704199552536,0.10813519358634949,abs_weight,ridge
dist_prior_day_high_0_035536911_dist_prior_day_low_0_012770575_vol_z_0_6473701_tbm,elasticnet,5,edge_tbm,0.07287703454494476,0.10813519358634949,abs_weight,ridge
dist_prior_day_high_0_035536911_dist_prior_day_low_0_012770575_vol_z_0_6473701_tbm,elasticnet,6,oof_ebm_uncertainty_weighted,0.0726073682308197,0.1073182225227356,abs_weight,ridge
dist_prior_day_high_0_035536911_dist_prior_day_low_0_012770575_vol_z_0_6473701_tbm,elasticnet,7,edge_x_rank_ic_50,0.04957788437604904,0.15355265140533447,abs_weight,ridge
dist_prior_day_high_0_035536911_dist_prior_day_low_0_012770575_vol_z_0_6473701_tbm,elasticnet,8,edge_x_volatility_zscore,0.003600992262363434,0.1331234872341156,abs_weight,ridge
dist_prior_day_high_0_035536911_dist_prior_day_low_0_012770575_vol_z_0_6473701_tbm,elasticnet,9,base_H5,-0.01957814209163189,0.06208337843418121,abs_weight,ridge
dist_prior_day_high_0_035536911_dist_prior_day_low_0_012770575_vol_z_0_6473701_tbm,elasticnet,10,edge_x_amihud_z,-0.0456249862909317,0.06374729424715042,abs_weight,ridge
dist_prior_day_low_0_012672868_loc_prev_week_range_pos_48_0_22452639,elasticnet,1,edge_tbm,0.06401649117469788,0.08468855917453766,abs_weight,ridge
dist_prior_day_low_0_012672868_loc_prev_week_range_pos_48_0_22452639,elasticnet,2,oof_ebm_uncertainty_weighted,0.06401648372411728,0.08468840271234512,abs_weight,ridge
dist_prior_day_low_0_012672868_loc_prev_week_range_pos_48_0_22452639,elasticnet,3,clf,0.06401559710502625,0.08468742668628693,abs_weight,ridge
dist_prior_day_low_0_012672868_loc_prev_week_range_pos_48_0_22452639,elasticnet,4,edge_x_brier_50,0.052978649735450745,0.08092047274112701,abs_weight,ridge
dist_prior_day_low_0_012672868_loc_prev_week_range_pos_48_0_22452639,elasticnet,5,edge_x_rank_ic_50,0.045475900173187256,0.05313153192400932,abs_weight,ridge
dist_prior_day_low_0_012672868_loc_prev_week_range_pos_48_0_22452639,elasticnet,6,base_H5,0.029103364795446396,0.07883042842149734,abs_weight,ridge
dist_prior_day_low_0_012672868_loc_prev_week_range_pos_48_0_22452639,elasticnet,7,edge_x_amihud_z,0.022753672674298286,0.07501840591430664,abs_weight,ridge
dist_prior_day_low_0_012672868_loc_prev_week_range_pos_48_0_22452639,elasticnet,8,edge_x_winrate_20,0.0004240282578393817,0.047501884400844574,abs_weight,ridge
dist_prior_day_low_0_012672868_loc_prev_week_range_pos_48_0_22452639,elasticnet,9,edge_x_vol_of_vol,-0.024476319551467896,0.07369595021009445,abs_weight,ridge
dist_prior_day_low_0_012672868_loc_prev_week_range_pos_48_0_22452639,elasticnet,10,edge_x_volatility_zscore,-0.0714617371559143,0.10801252722740173,abs_weight,ridge
