stage,rows,symbols,fraction_of_prev
raw_panel,8571675,435,1.0
sliceplanner_keep_idx,475200,223,0.05543840614582331
event_frame_built,475200,223,1.0
robust_data_filter,467640,221,0.9840909090909091
