,RETURNS_REGIME_0,RETURNS_REGIME_1,RETURNS_REGIME_2,RETURNS_REGIME_3,RETURNS_REGIME_INTEGRITY,RETURNS_REGIME_0_VELOCITY,RETURNS_REGIME_1_VELOCITY,RETURNS_REGIME_2_VELOCITY,RETURNS_REGIME_3_VELOCITY,RETURNS_REGIME_INTEGRITY_VELOCITY
2022-12-12 01:30:00,0.017268527,0.22070827,0.00072121294,0.761302,0.60448956,-0.7755861,0.22008787,-0.17660713,0.7321054,0.13784152
2022-12-12 01:45:00,0.018763255,0.21156037,0.00077594677,0.76890045,0.61364406,0.0014947272,-0.00914789,5.473384e-05,0.007598429,0.00915448
2022-12-12 02:00:00,0.0070230043,3.689592e-08,0.9929767,2.530677e-07,0.056732457,-0.0117402505,-0.21156034,0.99220073,-0.76890016,-0.5569116
2022-12-12 02:15:00,0.014796351,0.23845877,0.0006302379,0.7461147,0.5878134,0.007773347,0.23845872,-0.99234647,0.7461144,0.5310809
2022-12-12 02:30:00,0.016184354,0.22804339,0.0006813965,0.75509083,0.5974338,0.0013880028,-0.010415367,5.1158608e-05,0.008976205,0.009620441
2022-12-12 02:45:00,0.017633708,0.21837641,0.00073460065,0.7632553,0.60678446,0.0014493542,-0.009666979,5.320412e-05,0.008164421,0.009350647
2022-12-12 03:00:00,0.7856668,0.00054881634,0.18788265,0.025901692,0.45503488,0.76803315,-0.2178276,0.18714805,-0.73735356,-0.1517496
2022-12-12 03:15:00,0.015423412,0.23359841,0.0006533786,0.7503248,0.592247,-0.7702434,0.2330496,-0.18722926,0.7244231,0.13721214
2022-12-12 03:30:00,0.0067714895,3.5137187e-08,0.99322826,2.3695537e-07,0.05609875,-0.008651922,-0.23359838,0.9925749,-0.75032455,-0.53614825
2022-12-12 03:45:00,0.8127849,0.0010589024,0.13758734,0.048568856,0.51942426,0.8060134,0.0010588672,-0.8556409,0.04856862,0.46332553
2022-12-12 04:00:00,7.383834e-08,0.997385,9.9833535e-08,0.0026148278,0.082476005,-0.81278485,0.9963261,-0.13758723,-0.04595403,-0.43694827
2022-12-12 04:15:00,0.80849737,0.0008929594,0.14921717,0.04139249,0.502229,0.8084973,-0.996492,0.14921708,0.03877766,0.419753
2022-12-12 04:30:00,0.81167257,0.0010045838,0.14108379,0.04623906,0.5140752,0.003175197,0.000111624366,-0.008133391,0.0048465696,0.011846239
2022-12-12 04:45:00,0.012026342,0.26371798,0.00052727945,0.7237284,0.5661794,-0.7996462,0.2627134,-0.14055651,0.67748934,0.05210414
2022-12-12 05:00:00,0.013280337,0.2514287,0.0005740581,0.73471695,0.5764259,0.0012539956,-0.012289293,4.6778645e-05,0.0109885195,0.010246543
2022-12-12 05:15:00,0.014597749,0.2400556,0.00062289793,0.74472374,0.5863772,0.0013174118,-0.011373077,4.8839855e-05,0.010006825,0.009951316
2022-12-12 05:30:00,0.01597772,0.22951671,0.0006737946,0.7538318,0.5960454,0.00137997,-0.010538891,5.0896615e-05,0.009108025,0.009668138
2022-12-12 05:45:00,0.017419288,0.21973756,0.0007267412,0.76211643,0.60544175,0.0014415692,-0.009779153,5.2946652e-05,0.008284638,0.009396409
2022-12-12 06:00:00,0.7662708,0.00041760504,0.21355733,0.019754257,0.42983276,0.74885154,-0.21931995,0.21283059,-0.74236214,-0.17560902
2022-12-12 06:15:00,0.77786356,0.00048778046,0.19858912,0.023059538,0.44404313,0.011592762,7.0175425e-05,-0.014968218,0.0033052808,0.014210371
2022-12-12 06:30:00,3.835551e-08,0.99822605,6.649024e-08,0.001773835,0.07409062,-0.7778635,0.9977383,-0.19858906,-0.021285702,-0.3699525
2022-12-12 06:45:00,0.77051115,0.00044102166,0.2081862,0.020861669,0.43478847,0.7705111,-0.99778503,0.20818612,0.019087832,0.36069784
2022-12-12 07:00:00,0.7813805,0.0005135723,0.19384176,0.024264226,0.44882527,0.010869326,7.255065e-05,-0.014344434,0.0034025572,0.014036808
2022-12-12 07:15:00,0.01435471,0.24204938,0.0006139081,0.742982,0.58459795,-0.7670257,0.24153581,-0.19322784,0.71871775,0.13577266
2022-12-12 07:30:00,0.015724443,0.23135783,0.00066447037,0.75225323,0.5943234,0.0013697331,-0.010691555,5.056225e-05,0.009271259,0.009725463
2022-12-12 07:45:00,0.01715606,0.22143991,0.0007170876,0.76068693,0.6037748,0.0014316177,-0.009917919,5.261722e-05,0.008433684,0.009451424
2022-12-12 08:00:00,0.74387556,0.00032292222,0.24057002,0.015231464,0.40700734,0.7267195,-0.22111699,0.23985294,-0.7454555,-0.19676748
2022-12-12 08:15:00,0.7591263,0.0003827672,0.2223925,0.018098444,0.42200115,0.015250701,5.9844988e-05,-0.018177528,0.0028669802,0.014993816
2022-12-12 08:30:00,2.3361967e-08,0.99868053,4.9059352e-08,0.0013193733,0.068273686,-0.75912625,0.9982978,-0.22239245,-0.01677907,-0.35372746
