group,raw_source_features,generated_booleans,retained,dropped,drop_reason_all_zeros,drop_reason_all_ones,drop_reason_low_support,drop_reason_duplicate,support_min,support_p25,support_median,support_p75,support_max
regime,39,44,39,5,0,0,0,5,467640.0,467640.0,467640.0,467640.0,467640.0
location,45,40,40,0,0,0,0,0,467640.0,467640.0,467640.0,467640.0,467640.0
