symbol,rows,n_features,nan_cells,nan_pct_overall,leading_nan_cells,interior_nan_cells,trailing_nan_cells,all_nan_features,constant_features,features_with_interior_nan
0G/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,41,0
1000CAT/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,46,0
1000CHEEMS/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,53,0
1000SATS/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,53,0
1INCH/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,41,0
1MBABYDOGE/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,46,0
2Z/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,48,0
A/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,44,0
A2Z/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,48,0
AAVE/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,44,0
ACE/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,41,0
ACH/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,43,0
ACM/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,42,0
ACT/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,44,0
ACX/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,42,0
ADA/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,41,0
ADX/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,41,0
AEUR/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,41,0
AEVO/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,41,0
AGLD/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,41,0
AI/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,42,0
AIXBT/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,42,0
ALCX/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,45,0
ALGO/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,42,0
ALICE/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,41,0
ALLO/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,43,0
ALPINE/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,42,0
ALT/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,41,0
AMP/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,43,0
ANIME/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,48,0
ANKR/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,45,0
APE/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,41,0
API3/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,41,0
APT/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,41,0
AR/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,42,0
ARB/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,41,0
ARDR/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,41,0
ARK/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,41,0
ARKM/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,42,0
ARPA/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,42,0
ASR/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,43,0
ASTER/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,41,0
ASTR/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,41,0
AT/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,48,0
ATA/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,42,0
ATM/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,42,0
ATOM/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,42,0
AUCTION/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,43,0
AUDIO/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,42,0
AVA/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,41,0
AVAX/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,46,0
AVNT/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,43,0
AWE/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,45,0
AXL/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,41,0
AXS/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,42,0
BABY/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,49,0
BANANA/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,45,0
BANANAS31/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,44,0
BAND/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,41,0
BANK/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,53,0
BAR/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,42,0
BARD/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,41,0
BAT/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,42,0
BB/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,42,0
BCH/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,51,0
BEAMX/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,48,0
BEL/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,41,0
BERA/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,42,0
BFUSD/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,42,0
BICO/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,42,0
BIGTIME/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,48,0
BIO/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,42,0
BLUR/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,42,0
BMT/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,46,0
BNB/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,51,0
BNSOL/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,49,0
BNT/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,41,0
BOME/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,46,0
BONK/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,53,0
BREV/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,52,0
BROCCOLI714/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,43,0
BTC/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,53,0
BTTC/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,52,0
C/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,45,0
C98/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,42,0
CAKE/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,42,0
CATI/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,41,0
CELO/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,41,0
CELR/USDT,35984,647,251888,1.0819165378670788,251888,0,0,7,47,0
