fold_id,seed,group,used_feature_count,split_count
0,42,location,20,142
0,42,regime,32,708
1,42,location,11,23
1,42,regime,16,67
2,42,location,21,181
2,42,regime,29,859
3,42,location,4,4
3,42,regime,7,10
4,42,location,28,454
4,42,regime,36,2821
