fold_id,seed,regime_family,gain,split
0,42,trend,110.43205919885077,89
0,42,volatility,555.5963502969282,597
0,42,volatility_term_structure,17.289668476332736,22
1,42,trend,5.067374020814896,7
1,42,volatility,103.53452341361844,58
1,42,volatility_term_structure,1.91532701253891,2
2,42,trend,78.24600043147802,76
2,42,volatility,669.9829718914461,759
2,42,volatility_term_structure,31.485144216872868,24
3,42,trend,1.4223400354385376,1
3,42,volatility,21.15755973989144,9
4,42,compression,0.049678198993206024,1
4,42,trend,283.9640235861664,467
4,42,volatility,977.3689969750512,2288
4,42,volatility_term_structure,35.684063953813165,65
