,share_mu,share_std,share_stab,freq_mu,freq_std,freq_stab,mdi_depth_mu,mdi_depth_std,mdi_depth_stab,mdi_cov_mu,mdi_cov_std,mdi_cov_stab,blended_mu,blended_std,blended_stab,composite_rank,top30_support,top30_lift,global_importance,stability_score,frequency_score,interaction_support,median_rank,mean_abs_rank_dev,final_score,final_rank
vp_in_lvn_above_zone,0.030243864,0.010748421,0.08510006,49.0,10.816654,221.97253,1581.3177,585.1993,4273.0156,0.2500584,0.09603289,0.6511228,0.33993113,0.095225886,1.2134639,2.0,0.49506316,0.87269276,1.0,0.9318182,1.0,0.0,1.0,3.5,0.93295455,1.0
dist_local_swing,0.024321431,0.006970212,0.08486572,37.666668,9.339284,151.91505,1236.6764,389.07413,3930.7893,0.1843273,0.05855381,0.58026206,0.26848954,0.059440035,1.2127622,3.0,0.13292591,0.5314109,0.79981446,0.9383117,1.0,0.0,3.0,3.1666667,0.8244759,2.0
mr_potential,0.019391986,0.0058522574,0.06425711,22.0,5.354126,90.39757,959.15515,316.26886,2908.8499,0.15902732,0.05175934,0.48860145,0.21461442,0.080025926,0.5755554,6.0,0.31587118,0.10765653,0.63319314,0.90584415,1.0,0.0,9.0,4.8333335,0.72471726,3.0
pb_accel,0.019990265,0.0058775577,0.067989245,11.5,2.9297326,45.140636,928.5935,366.65738,2351.7483,0.17300153,0.06853443,0.4367079,0.2051469,0.074454434,0.5652483,8.0,0.0,0.40614012,0.6534157,0.8214286,1.0,0.0,6.5,9.166667,0.71473575,4.0
compression_ratio_G_VOL_1,0.016264716,0.0034995875,0.075592056,22.833334,3.8042374,137.04747,836.27185,260.86493,2680.8916,0.13383065,0.041413542,0.4324828,0.17986247,0.03028422,1.0682299,5.0,0.6199491,0.2214236,0.5274875,0.8798701,1.0,0.0,8.0,6.1666665,0.6600857,5.0
ffd_rv_24_04,0.014046062,0.0035165553,0.056103725,13.666667,3.448027,54.169468,1003.34235,353.60687,2846.9353,0.15597957,0.057504475,0.42309105,0.22816403,0.08544159,0.60929143,10.0,0.05971255,0.40614012,0.4524943,0.91558444,1.0,0.16131508,5.0,4.3333335,0.63583374,6.0
range_12h_pct,0.014874969,0.0043753493,0.050570752,15.833333,3.8042374,65.898735,1078.8688,358.66318,3245.2676,0.16358095,0.052716494,0.5075969,0.25083086,0.10342535,0.608324,12.5,0.37093318,0.09824723,0.48051235,0.8798701,1.0,0.0,7.5,6.1666665,0.6342493,7.0
dist_prior_day_low,0.014305699,0.0038043498,0.053794473,21.333334,4.229526,107.60334,1003.9598,283.46942,3555.7107,0.14690529,0.044827614,0.48142564,0.22974016,0.082133085,0.6426222,7.0,0.0094775995,0.14337866,0.46127033,0.8896104,1.0,0.0,7.0,5.6666665,0.62610126,8.0
up_down_return_mass_ratio_tanh,0.013873688,0.0029497305,0.06525315,23.5,4.645787,118.87115,675.1648,170.29958,2676.7385,0.11218396,0.032823976,0.3834161,0.1473342,0.021611022,1.0044581,9.0,0.392551,0.7748629,0.44666785,0.91883117,1.0,0.0,16.5,4.1666665,0.62537515,9.0
bb_pos_24,0.014931282,0.0047416394,0.047018163,21.5,2.5,184.9,714.1833,274.71747,1856.6628,0.12339357,0.052667797,0.28909454,0.15676017,0.042268697,0.58136994,23.0,0.1191526,0.14065476,0.48241583,0.83116883,1.0,0.0,19.5,8.666667,0.6231209,10.0
ffd_rv_12_05,0.014289053,0.0033204746,0.06149032,14.333333,3.5901098,57.225113,892.4774,234.59685,3395.2542,0.14342213,0.034645323,0.5937281,0.19962999,0.04893086,0.814458,4.0,0.0,0.37351802,0.4607077,0.85714287,1.0,0.0,10.5,7.3333335,0.61767495,11.0
