families_combo,count
context|open_interest|perp_tradeability,226
context|open_interest,196
context|perp_tradeability,121
open_interest|perp_tradeability,114
context|open_interest|perp_tradeability|residual,86
context,72
open_interest,68
context|open_interest|residual,65
context|perp_tradeability|residual,63
context|open_interest|path_structure,58
open_interest|perp_tradeability|residual,52
compression|open_interest|perp_tradeability,48
context|residual,48
perp_tradeability|residual,47
context|open_interest|path_structure|perp_tradeability,39
context|open_interest|open_interest_location,38
open_interest|path_structure|perp_tradeability,38
context|path_structure|perp_tradeability,37
compression|context|perp_tradeability,36
compression|context|open_interest|perp_tradeability,35
compression|open_interest,33
compression|context|open_interest,33
context|path_structure,30
open_interest|residual,30
context|open_interest|trend,29
context|open_interest|open_interest_location|perp_tradeability,28
open_interest|path_structure,28
asset_state|context|open_interest,25
context|funding|open_interest,25
context|open_interest|volatility_term_structure,23
asset_state|context|open_interest|perp_tradeability,23
asset_state|perp_tradeability,22
open_interest|open_interest_location,22
context|liquidity|open_interest,22
context|funding|open_interest|perp_tradeability,22
context|open_interest|perp_tradeability|volatility_term_structure,20
open_interest|open_interest_location|perp_tradeability,20
asset_state|open_interest|perp_tradeability,20
compression|context,18
liquidity|open_interest,18
context|perp_tradeability|trend,18
path_structure|perp_tradeability,17
perp_tradeability,17
asset_state|open_interest,17
context|funding|perp_tradeability,17
context|volatility_term_structure,17
asset_state|context|perp_tradeability,17
path_structure|perp_tradeability|residual,17
open_interest|perp_tradeability|trend,17
open_interest|trend,16
context|open_interest_location,16
context|trend,15
context|open_interest|path_structure|residual,15
context|liquidity|open_interest|perp_tradeability,15
context|open_interest|perp_tradeability|trend,14
context|funding,14
liquidity|open_interest|perp_tradeability,14
open_interest|path_structure|perp_tradeability|residual,14
open_interest|perp_tradeability|residual|trend,13
context|path_structure|perp_tradeability|residual,13
compression|context|open_interest|residual,13
compression|residual,13
context|path_structure|residual,13
open_interest|perp_tradeability|volatility_term_structure,13
open_interest|volatility_term_structure,13
open_interest|path_structure|residual,12
context|open_interest_location|perp_tradeability,12
path_structure|residual,12
funding|open_interest,12
compression|perp_tradeability,12
funding|perp_tradeability,12
context|momentum|open_interest|perp_tradeability,11
compression|context|funding,11
asset_state|context,11
compression|open_interest|perp_tradeability|residual,11
funding|open_interest|perp_tradeability,11
context|open_interest|path_structure|perp_tradeability|volatility_term_structure,10
perp_tradeability|volatility_term_structure,10
open_interest|path_structure|trend,10
context|open_interest|orderbook|residual,10
asset_state|context|open_interest|trend,9
asset_state|open_interest|residual,9
path_structure,9
context|open_interest|path_structure|perp_tradeability|residual,9
open_interest|residual|trend,9
context|liquidity|residual,9
context|open_interest|orderbook|perp_tradeability|residual,9
compression|open_interest|path_structure,9
compression|open_interest|residual,9
asset_state|context|trend,9
context|open_interest_location|residual,9
context|open_interest|orderbook,9
open_interest|volatility,9
compression|context|residual,9
context|perp_tradeability|residual|trend,9
open_interest|residual|volatility_term_structure,8
compression|context|path_structure|perp_tradeability,8
liquidity,8
context|open_interest|open_interest_location|residual,8
context|open_interest|residual|volatility_term_structure,8
compression|context|funding|open_interest,8
funding,8
momentum|open_interest|perp_tradeability,8
open_interest|orderbook|perp_tradeability,8
compression|path_structure|perp_tradeability,8
context|liquidity|open_interest|volatility_term_structure,8
asset_relative_funding|open_interest|perp_tradeability,8
liquidity|perp_tradeability,8
context|residual|trend,8
asset_state|compression|context|open_interest,8
compression|context|open_interest|trend,7
compression|context|open_interest|path_structure,7
compression|context|open_interest|open_interest_location,7
context|funding|residual,7
volatility,7
open_interest|path_structure|perp_tradeability|trend,7
funding|open_interest|residual,7
perp_tradeability|trend,7
compression|open_interest|trend,7
perp_tradeability|residual|trend,7
context|liquidity,7
context|funding|open_interest|path_structure,7
compression|context|open_interest|path_structure|perp_tradeability,7
open_interest_location|perp_tradeability,7
context|funding|open_interest|residual,7
context|open_interest|volatility,7
compression|context|open_interest|perp_tradeability|trend,7
residual|volatility_term_structure,7
open_interest|open_interest_location|residual,6
compression|context|trend,6
asset_relative_funding|context|open_interest,6
compression|context|path_structure,6
funding|liquidity|perp_tradeability,6
asset_state|open_interest|path_structure|perp_tradeability,6
context|perp_tradeability|volatility_term_structure,6
context|perp_tradeability|volatility,6
context|orderbook|residual|trend,6
context|liquidity|volatility_term_structure,6
compression|open_interest|open_interest_location,6
open_interest|perp_tradeability|volatility,6
context|liquidity|perp_tradeability|residual,6
context|orderbook,6
compression|liquidity|open_interest|perp_tradeability,5
context|liquidity|perp_tradeability,5
open_interest|open_interest_location|trend,5
context|perp_tradeability|residual|volatility_term_structure,5
context|open_interest|open_interest_location|perp_tradeability|volatility_term_structure,5
asset_state|context|open_interest|path_structure,5
compression|context|funding|perp_tradeability,5
perp_tradeability|trend|volatility_term_structure,5
asset_state|context|path_structure,5
context|funding|trend,5
compression|perp_tradeability|residual,5
open_interest|orderbook|residual,5
open_interest|open_interest_location|volatility_term_structure,5
asset_state|context|liquidity|open_interest,5
context|momentum|open_interest|residual,5
compression|context|open_interest_location,5
context|open_interest_location|path_structure|perp_tradeability,5
context|funding|open_interest|perp_tradeability|volatility_term_structure,5
context|open_interest|path_structure|trend,5
liquidity|open_interest|residual,5
open_interest|open_interest_location|perp_tradeability|residual,5
open_interest|perp_tradeability|residual|volatility_term_structure,5
asset_relative_funding|context|open_interest|perp_tradeability,5
context|open_interest_location|path_structure,5
asset_state|context|perp_tradeability|residual,5
context|funding|path_structure,5
compression|perp_tradeability|trend,5
asset_state|compression|open_interest,5
context|open_interest|path_structure|volatility_term_structure,5
asset_state|context|open_interest|path_structure|perp_tradeability,5
context|open_interest|open_interest_location|perp_tradeability|residual,4
open_interest_location|residual,4
funding|open_interest|perp_tradeability|residual,4
compression|context|funding|residual,4
compression|context|open_interest_location|perp_tradeability,4
asset_state|open_interest|open_interest_location|perp_tradeability,4
perp_tradeability|volatility,4
context|funding|liquidity,4
asset_state|context|funding|open_interest,4
context|path_structure|residual|volatility_term_structure,4
open_interest|open_interest_location|path_structure|perp_tradeability,4
compression|open_interest|path_structure|trend,4
asset_state|context|open_interest|open_interest_location,4
compression|funding|perp_tradeability,4
context|funding|perp_tradeability|residual,4
