fold_id,seed,best_iteration,best_val_metric,max_depth,num_leaves,min_data_in_leaf,objective,alpha,metric,target_type,target_name,horizon
0,42,306,0.20232859128116948,6,64,3897,quantile,0.35,quantile,quantile,atr_norm_returns_target,5
1,42,278,0.1970148283051813,6,64,3781,quantile,0.35,quantile,quantile,atr_norm_returns_target,5
2,42,244,0.18839325095633833,6,64,3662,quantile,0.35,quantile,quantile,atr_norm_returns_target,5
3,42,669,0.2035139415031249,6,64,3745,quantile,0.35,quantile,quantile,atr_norm_returns_target,5
4,42,321,0.1978092702335675,6,64,3561,quantile,0.35,quantile,quantile,atr_norm_returns_target,5
