fold_id,seed,regime_family,gain,split
0,42,compression,19.031118,31.0
0,42,context,11.337478,14.0
0,42,liquidity,27.614307,30.0
0,42,momentum,8.537076,11.0
0,42,path_structure,34.717583,42.0
0,42,trend,39.913933,31.0
0,42,volatility,22.425371,28.0
0,42,volatility_term_structure,31.553818,32.0
1,42,compression,15.708576,14.0
1,42,context,12.279791,5.0
1,42,liquidity,19.677977,19.0
1,42,momentum,3.315502,3.0
1,42,path_structure,37.699173,25.0
1,42,trend,59.799892,31.0
1,42,volatility,46.029663,20.0
1,42,volatility_term_structure,25.77018,23.0
2,42,compression,4.5813,2.0
2,42,liquidity,2.237262,2.0
2,42,path_structure,1.05483,1.0
2,42,volatility,1.823035,2.0
