fold_id,seed,best_iteration,best_val_metric,max_depth,num_leaves,min_data_in_leaf,objective,alpha,metric,target_type,target_name,horizon,total_splits,total_gain,is_healthy_fold,health_reason
0,42,5,0.24255694240135234,6,64,43,quantile,0.35,quantile,quantile,atr_norm_returns_target,3,44,34.6798,True,healthy
1,42,1,0.247975659735875,6,64,54,quantile,0.35,quantile,quantile,atr_norm_returns_target,3,8,7.265191,False,low_iterations_or_gain
2,42,77,0.2459509336603895,6,64,55,quantile,0.35,quantile,quantile,atr_norm_returns_target,3,644,110.242516,True,healthy
