rejection_reason,count
b_support_too_low,187
b_min_fold_support_too_low,202
b_sign_consistency_too_low,1258
b_mask_ic_uplift_too_low,751
b_positive_ic_fraction_too_low,321
b_support_instability_too_high,14
b_support_too_high,31
b_oos_ic_too_low,77
b_decile_spread_too_low,4
low_support,1
