canonical_key,display_arity,structural_depth,groups_used,regime_families_used,location_families_used,all_families_used
(*)|(loc_bb_channel_pos_48>0.29922387&loc_ema_stack_pos_24<=0.21291944)|(price_rv_7d_robust_z<=0.59541273&price_trend_15d_vol_norm<=0.00000000000000000000000000000000001),4,4,location|regime,open_interest,compression|trend,compression|open_interest|trend
(*)|(loc_bb_channel_pos_48>0.29922387&loc_ema_stack_pos_24>0.21291944)|(price_rv_7d_robust_z<=0.59541273&price_trend_15d_vol_norm<=0.00000000000000000000000000000000001),4,4,location|regime,open_interest,compression|trend,compression|open_interest|trend
(*)|(loc_prev_week_range_pos_48<=0.4099189)|(funding_per_hour_mkt_resid>-0.80172265&oi_rank<=0.15327382),3,3,location|regime,open_interest|residual,context,context|open_interest|residual
(*)|(dist_prior_day_low<=0.070840061&loc_ema_stack_pos_48>-0.31134984&loc_prev_week_range_pos_48>0.4099189)|(funding_rank_30d>0.54972184&price_rv_10d_robust_z>-0.25344592),5,5,location|regime,funding|open_interest,context|trend,context|funding|open_interest|trend
(*)|(dist_prior_day_low>0.070840061&loc_prev_week_range_pos_48>0.4099189)|(*),2,2,location,,context,context
(*)|(loc_bb_channel_pos_48<=0.38386708&loc_initial_balance_pos_48<=0.10244274)|(price_trend_15d_vol_norm>-0.079074308),3,3,location|regime,open_interest,compression|context,compression|context|open_interest
(*)|(loc_bb_channel_pos_48>0.38386708&loc_pullback_depth_48>0.26022488)|(compression_score>-0.44420806&funding_mean_10d_robust_z<=0.94520414),4,4,location|regime,open_interest|volatility_term_structure,compression|path_structure,compression|open_interest|path_structure|volatility_term_structure
(*)|(loc_initial_balance_pos_48>0.2105362)|(oiw_entry_zone_1d_atr<=-0.52737319&price_trend_15d_vol_norm>-0.080030836),3,3,location|regime,open_interest|perp_tradeability,context,context|open_interest|perp_tradeability
(*)|(loc_prev_week_range_pos_24>0.38817301&zscore_price_50>0.77714229)|(funding_rank_30d>0.50938809&oiw_entry_zone_1d_atr>-0.52737319&prior_volatility<=0.93106502),5,5,location|regime,context|funding|perp_tradeability,context,context|funding|perp_tradeability
(*)|(loc_prev_week_range_pos_24>0.38817301)|(oiw_entry_zone_1d_atr>-0.52737319&prior_volatility>0.93106502),3,3,location|regime,context|perp_tradeability,context,context|perp_tradeability
