group,raw_source_features,generated_booleans,retained,dropped,drop_reason_all_zeros,drop_reason_all_ones,drop_reason_low_support,drop_reason_duplicate,support_min,support_p25,support_median,support_p75,support_max
regime,104,115,103,12,0,0,0,11,257136.0,257136.0,257136.0,257136.0,257136.0
location,58,47,47,0,0,0,0,0,257136.0,257136.0,257136.0,257136.0,257136.0
