fold_id,seed,group,used_feature_count,split_count
0,42,location,47,1265
0,42,regime,99,2853
1,42,location,47,647
1,42,regime,99,1524
2,42,location,44,317
2,42,regime,95,673
3,42,location,44,261
3,42,regime,96,542
4,42,location,47,2013
4,42,regime,100,4245
