rejection_reason,count
b_sign_consistency_too_low,572
b_support_too_low,198
b_min_fold_support_too_low,82
b_support_too_high,60
b_mask_ic_uplift_too_low,324
b_positive_ic_fraction_too_low,48
b_mean_net_ret_too_low,22
b_oos_ic_too_low,16
