regime_families_combo,count
trend|volatility,1300
volatility,482
trend|volatility|volatility_term_structure,76
volatility|volatility_term_structure,32
compression|trend|volatility,28
trend,26
compression|volatility,8
,4
compression|trend,3
compression|trend|volatility|volatility_term_structure,2
compression,1
trend|volatility_term_structure,1
