fold_id,seed,group,used_feature_count,split_count
0,42,location,4,4
0,42,regime,11,17
1,42,location,11,20
1,42,regime,14,78
2,42,location,2,3
2,42,regime,6,8
3,42,location,3,3
3,42,regime,6,11
4,42,location,29,281
4,42,regime,35,1677
