group,raw_source_features,generated_booleans,retained,dropped,drop_reason_all_zeros,drop_reason_all_ones,drop_reason_low_support,drop_reason_duplicate,support_min,support_p25,support_median,support_p75,support_max
regime,36,597,597,0,0,0,0,0,74263.0,111723.0,185665.0,223125.0,297395.0
location,39,702,702,0,0,0,0,0,74263.0,111723.0,185802.5,223125.0,297395.0
