canonical_key,display_arity,structural_depth,groups_used,regime_families_used,location_families_used,all_families_used
(*)|(dist_rolling_7d_high<=0.26793778&loc_ema_stack_pos_48<=-0.53202754&zscore_price_200<=-0.96531618)|(atr_compression_ratio>-0.13326477),4,4,location|regime,volatility_term_structure,context|trend,context|trend|volatility_term_structure
(*)|(dist_rolling_7d_high<=0.26793778&loc_ema_stack_pos_48<=-0.53202754&zscore_price_200>-0.96531618)|(atr_compression_ratio>-0.13326477),4,4,location|regime,volatility_term_structure,context|trend,context|trend|volatility_term_structure
(*)|(dist_rolling_7d_high>0.26793778&loc_ema_stack_pos_48<=-0.53202754)|(*),2,2,location,,context|trend,context|trend
(*)|(dist_weekly_vwap<=0.078731477&loc_ema_stack_pos_48>-0.53202754)|(atr_compression_ratio<=-0.28924492&variance_ratio_10_48<=-0.51965386&volatility_ratio_short_long<=-0.28789335),5,5,location|regime,volatility|volatility_term_structure,context|trend,context|trend|volatility|volatility_term_structure
(*)|(dist_weekly_vwap<=0.078731477&loc_ema_stack_pos_48>-0.53202754)|(atr_compression_ratio<=-0.28924492&variance_ratio_10_48>-0.51965386&volatility_ratio_short_long<=-0.28789335),5,5,location|regime,volatility|volatility_term_structure,context|trend,context|trend|volatility|volatility_term_structure
(*)|(dist_weekly_vwap<=0.078731477&loc_ema_stack_pos_48>-0.53202754)|(atr_compression_ratio<=-0.28924492&volatility_ratio_short_long>-0.28789335),4,4,location|regime,volatility|volatility_term_structure,context|trend,context|trend|volatility|volatility_term_structure
(*)|(dist_weekly_vwap<=0.078731477&loc_ema_stack_pos_48>-0.53202754)|(atr_compression_ratio>-0.28924492&direction_entropy_20<=0.6408987&rv_24h<=-0.22294158),5,5,location|regime,path_structure|volatility|volatility_term_structure,context|trend,context|path_structure|trend|volatility|volatility_term_structure
(*)|(dist_weekly_vwap<=0.078731477&loc_ema_stack_pos_48>-0.53202754)|(atr_compression_ratio>-0.28924492&direction_entropy_20<=0.6408987&range_24h_pct<=0.057320416&rv_24h>-0.22294158),6,6,location|regime,compression|path_structure|volatility|volatility_term_structure,context|trend,compression|context|path_structure|trend|volatility|volatility_term_structure
(*)|(dist_weekly_vwap<=0.078731477&loc_ema_stack_pos_48>-0.53202754)|(atr_compression_ratio>-0.28924492&direction_entropy_20<=0.6408987&range_24h_pct>0.057320416&rv_24h>-0.22294158),6,6,location|regime,compression|path_structure|volatility|volatility_term_structure,context|trend,compression|context|path_structure|trend|volatility|volatility_term_structure
(*)|(dist_weekly_vwap<=0.078731477&loc_ema_stack_pos_48>-0.53202754)|(atr_compression_ratio>-0.28924492&direction_entropy_20>0.6408987),4,4,location|regime,path_structure|volatility_term_structure,context|trend,context|path_structure|trend|volatility_term_structure
