regime_families_combo,count
trend|volatility,4552
volatility,1965
trend|volatility|volatility_term_structure,295
volatility|volatility_term_structure,102
trend,38
compression|trend|volatility,18
trend|volatility_term_structure,15
,13
compression|volatility,7
volatility_term_structure,1
