group,raw_source_features,generated_booleans,retained,dropped,drop_reason_all_zeros,drop_reason_all_ones,drop_reason_low_support,drop_reason_duplicate,support_min,support_p25,support_median,support_p75,support_max
regime,39,651,651,0,0,0,0,0,144.0,216.0,360.0,432.0,576.0
location,39,702,702,0,0,0,0,0,144.0,216.0,360.0,432.0,576.0
