regime_families_combo,count
trend|volatility,3065
volatility,851
trend|volatility|volatility_term_structure,242
trend,177
volatility|volatility_term_structure,63
trend|volatility_term_structure,15
compression|trend|volatility|volatility_term_structure,9
compression|trend|volatility,4
compression|volatility,2
volatility_term_structure,1
,1
compression|trend,1
