canonical_key,display_arity,structural_depth,groups_used,regime_families_used,location_families_used,all_families_used
(*)|(dist_rolling_7d_high<=0.027106296)|(rv_24h>-0.16972542),2,2,location|regime,volatility,context,context|volatility
(*)|(dist_ma100_atr>-0.025689028&dist_rolling_7d_high>0.027106296&dist_vwap_atr>-0.0092509463&loc_swing_range_pos_24>0.91489303&pullback_depth<=1.1887004)|(*),5,5,location,,context,context
(*)|(dist_rolling_7d_high>0.027106296&pullback_depth>1.1887004)|(prior_range>0.017407307),3,3,location|regime,context,context,context
(*)|(dist_prior_day_high>0.0024286667)|(range_24h_pct<=0.027781665),2,2,location|regime,compression,context,compression|context
(*)|(dist_prior_day_high>0.0024286667&zscore_price_200<=-1.6198413)|(range_24h_pct>0.027781665&rolling_range_20>0.21663997),4,4,location|regime,compression,context,compression|context
(*)|(dist_prior_day_high>0.015665118&loc_vwap_dev_z_48<=-0.098172195&zscore_price_200>-1.6198413)|(range_24h_pct>0.027781665&up_down_semivol_ratio_tanh>0.63922787),5,5,location|regime,compression|path_structure,context|liquidity,compression|context|liquidity|path_structure
(*)|(dist_prior_day_high<=0.023996081)|(bollinger_band_width>-0.0068153762&rv_24h<=-0.90320551),3,3,location|regime,compression|volatility,context,compression|context|volatility
(*)|(dist_prior_day_high<=0.023996081)|(bollinger_band_width>-0.0068153762&ema50_slope>0.55741477&rv_24h>-0.90320551),4,4,location|regime,compression|trend|volatility,context,compression|context|trend|volatility
(*)|(dist_prior_day_high>0.023996081&pullback_depth<=0.77240258)|(ema50_slope>0.10785543&volume_trend_48<=0.75987256),4,4,location|regime,liquidity|trend,context,context|liquidity|trend
(*)|(dist_prior_day_high>0.023996081&pullback_depth<=0.77240258)|(ema50_slope>0.10785543&volume_trend_48>0.75987256),4,4,location|regime,liquidity|trend,context,context|liquidity|trend
(*)|(zscore_price_50<=-1.0933599)|(atr_compression_ratio>0.99116194&up_down_return_mass_ratio_tanh<=1.2182752),3,3,location|regime,path_structure|volatility_term_structure,context,context|path_structure|volatility_term_structure
(*)|(zscore_price_200<=1.0245727&zscore_price_50>-1.0933599)|(atr_compression_ratio>-0.66952974&up_down_return_mass_ratio_tanh<=1.2182752&volume_autocorr_48<=0.25788608),5,5,location|regime,liquidity|path_structure|volatility_term_structure,context,context|liquidity|path_structure|volatility_term_structure
(*)|(dist_range_mid_atr<=0.00000080275879&zscore_price_50>-1.0933599)|(up_down_return_mass_ratio_tanh<=1.2182752&volume_autocorr_48>0.25788608),4,4,location|regime,liquidity|path_structure,context,context|liquidity|path_structure
(*)|(*)|(up_down_return_mass_ratio_tanh>1.2182752&volatility_ratio_short_long<=-0.24209547),2,2,regime,path_structure|volatility,,path_structure|volatility
(*)|(dist_weekly_vwap>-0.092930064&loc_vwap_dev_z_24<=-0.2074745)|(ema20_slope_5h<=0.78116965&range_24h_pct<=0.085939877&volatility_ratio_short_long<=-0.60190952),5,5,location|regime,compression|trend|volatility,context|liquidity,compression|context|liquidity|trend|volatility
(*)|(dist_weekly_vwap>-0.092930064)|(atr_compression_ratio<=-0.29423296&ema20_slope_5h>0.78116965&range_24h_pct<=0.085939877),4,4,location|regime,compression|trend|volatility_term_structure,context,compression|context|trend|volatility_term_structure
(*)|(dist_weekly_vwap>-0.092930064)|(atr_percentile>-0.056100555&range_24h_pct>0.085939877),3,3,location|regime,compression,context,compression|context
(*)|(dist_rolling_7d_high>0.02071419)|(ema50_slope<=-1.4144795),2,2,location|regime,trend,context,context|trend
(*)|(dist_prior_day_high>0.03361522&dist_rolling_7d_high>0.02071419&pullback_depth<=0.89782172)|(compression_score<=-0.29372665&ema50_slope>-1.4144795&volume_autocorr_48>-0.1584985),6,6,location|regime,liquidity|trend|volatility_term_structure,context,context|liquidity|trend|volatility_term_structure
(*)|(dist_prior_day_high>0.03361522&dist_rolling_7d_high>0.02071419&pullback_depth<=0.89782172)|(compression_score>-0.29372665&ema50_slope>-1.4144795&volume_autocorr_48>-0.1584985),6,6,location|regime,liquidity|trend|volatility_term_structure,context,context|liquidity|trend|volatility_term_structure
(*)|(dist_prior_day_low<=0.037192784&dist_rolling_7d_high<=0.08047165&loc_prev_day_range_pos_24<=0.85014057)|(volume_zscore_48h>-0.57951242),4,4,location|regime,liquidity,context,context|liquidity
(*)|(dist_rolling_7d_high<=0.08047165&loc_prev_day_range_pos_24>0.85014057)|(*),2,2,location,,context,context
(*)|(dist_ma100_atr<=0.0021924851&dist_rolling_7d_high>0.08047165)|(ema50_slope<=-1.4828932),3,3,location|regime,trend,context,context|trend
(*)|(bars_in_high_vol_state_log_norm>-0.37323463&dist_ma100_atr>0.0021924851&dist_rolling_7d_high>0.08047165)|(*),3,3,location,,context,context
(*)|(dist_ema50_atr<=-0.01730019&loc_prev_day_range_pos_24<=0.87755287)|(realized_volatility_24h>-0.49142891&variance_ratio_10_48>-0.27288631),4,4,location|regime,volatility,context,context|volatility
(*)|(dist_ema50_atr>-0.01730019&loc_prev_day_range_pos_24<=0.87755287&loc_prior_bar_pos_48<=-0.45454469)|(spectral_entropy_ret_24>0.3149676),4,4,location|regime,path_structure,context,context|path_structure
(*)|(dist_ema50_atr>-0.01730019&loc_prev_day_range_pos_24<=0.87755287&loc_prior_bar_pos_48>-0.45454469)|(realized_volatility_24h>0.86578739),4,4,location|regime,volatility,context,context|volatility
(*)|(loc_prev_day_range_pos_24>0.87755287)|(true_range_percentile<=0.029571291),2,2,location|regime,volatility,context,context|volatility
(*)|(dist_rolling_7d_high>0.053391937&loc_prev_week_range_pos_48<=0.17674685)|(volume_trend_48>-0.42727414),3,3,location|regime,liquidity,context,context|liquidity
(*)|(dist_rolling_7d_high>0.053391937&loc_prev_day_range_pos_48<=0.75789464&loc_prev_week_range_pos_48>0.17674685)|(bollinger_band_width<=-0.00000000000000000000000000000000001&dist_ema_fast<=-0.00049309887&range_expansion_ratio<=0.33867255),6,6,location|regime,compression|trend|volatility_term_structure,context,compression|context|trend|volatility_term_structure
(*)|(dist_rolling_7d_high>0.053391937&loc_prev_day_range_pos_48<=0.75789464&loc_prev_week_range_pos_48>0.17674685)|(bollinger_band_width>-0.00000000000000000000000000000000001&dist_ema_fast<=-0.00049309887&range_expansion_ratio<=0.33867255),6,6,location|regime,compression|trend|volatility_term_structure,context,compression|context|trend|volatility_term_structure
(*)|(dist_rolling_7d_high<=0.061192252&zscore_price_200>-1.9478459)|(realized_volatility_24h>-0.13167611),3,3,location|regime,volatility,context,context|volatility
(*)|(dist_rolling_7d_high>0.061192252&distance_to_ema<=0.16182835&loc_prev_week_range_pos_48>0.29478112&zscore_price_200>-1.9478459)|(true_range_percentile<=0.74960423),5,5,location|regime,volatility,context,context|volatility
(*)|(dist_rolling_7d_high>0.061192252&loc_prev_week_range_pos_48>0.29478112&zscore_price_200>-1.9478459)|(true_range_percentile>0.74960423),4,4,location|regime,volatility,context,context|volatility
(*)|(loc_range_pos_24<=0.8731423&zscore_price_200<=-1.3910763)|(ema50_slope<=-0.39070714&realized_volatility_24h>-0.17957805),4,4,location|regime,trend|volatility,context,context|trend|volatility
(*)|(loc_range_pos_24<=0.8731423&loc_range_pos_48<=0.46206102)|(ema50_slope>-0.39070714&realized_volatility_24h<=0.4295162),4,4,location|regime,trend|volatility,context,context|trend|volatility
(*)|(loc_range_pos_24<=0.8731423)|(direction_entropy_20>0.32708529&ema50_slope>-0.39070714&realized_volatility_24h>0.4295162),4,4,location|regime,path_structure|trend|volatility,context,context|path_structure|trend|volatility
(*)|(loc_range_pos_24>0.8731423)|(bollinger_band_width>-0.0034756672),2,2,location|regime,compression,context,compression|context
(*)|(dist_ma100_atr>-0.018744055&dist_prior_day_high<=0.033944007&loc_pullback_depth_24<=0.1159941)|(direction_entropy_20<=0.1814969),4,4,location|regime,path_structure,context|path_structure,context|path_structure
(*)|(dist_ma100_atr>-0.018744055&dist_prior_day_high<=0.033944007&loc_pivot_ladder_pos_24>0.080516346)|(atr_compression_ratio>-0.39326227&direction_entropy_20>0.1814969),5,5,location|regime,path_structure|volatility_term_structure,context,context|path_structure|volatility_term_structure
(*)|(dist_ma100_atr>0.00079406338&dist_prior_day_high>0.033944007)|(range_24h_pct<=0.074824274),3,3,location|regime,compression,context,compression|context
(*)|(dist_ma100_atr>0.00079406338&dist_prior_day_high>0.033944007)|(range_24h_pct>0.074824274),3,3,location|regime,compression,context,compression|context
(*)|(dist_prior_day_high>0.028178437&loc_pivot_ladder_pos_48<=0.26284009&zscore_price_200<=-1.7370204)|(*),3,3,location,,context,context
(*)|(dist_prior_day_high>0.028178437&loc_pivot_ladder_pos_48<=0.26284009&zscore_price_200>-1.7370204&zscore_price_50<=0.16798122)|(direction_entropy_20<=0.63146567&volume_trend_48>-0.73120528),6,6,location|regime,liquidity|path_structure,context,context|liquidity|path_structure
(*)|(dist_prior_day_high>0.028178437&loc_pivot_ladder_pos_48<=0.26284009&zscore_price_200>-1.7370204&zscore_price_50>0.16798122)|(direction_entropy_20<=0.63146567),5,5,location|regime,path_structure,context,context|path_structure
(*)|(dist_ma100_atr<=-0.013516833)|(path_efficiency_24<=0.13990058&up_down_semivol_ratio_tanh<=0.58831549&variance_ratio_10_48>-0.19121216),4,4,location|regime,path_structure|volatility,context,context|path_structure|volatility
(*)|(dist_ma100_atr<=-0.013516833)|(path_efficiency_24>0.13990058&up_down_semivol_ratio_tanh<=0.58831549),3,3,location|regime,path_structure,context,context|path_structure
(*)|(dist_ma100_atr>-0.013516833&dist_rolling_7d_high<=0.061192252&loc_prev_day_range_pos_24>0.88180405)|(*),3,3,location,,context,context
(*)|(dist_ma100_atr>-0.013516833&dist_rolling_7d_high>0.061192252)|(variance_ratio_10_48<=-0.23874713&volume_percentile>-0.46994993),4,4,location|regime,liquidity|volatility,context,context|liquidity|volatility
(*)|(dist_ma100_atr>0.013382831&dist_prior_day_high>0.03000346&loc_prev_day_range_pos_24<=0.73307574&zscore_price_200>-1.9268599)|(*),4,4,location,,context,context
(*)|(loc_prev_day_range_pos_24>0.73307574&zscore_price_200>-1.9268599)|(direction_entropy_20<=0.3506611&prior_volatility<=-0.25226742),4,4,location|regime,context|path_structure,context,context|path_structure
(*)|(loc_prev_day_range_pos_24>0.73307574&zscore_price_200>-1.9268599)|(direction_entropy_20>0.3506611),3,3,location|regime,path_structure,context,context|path_structure
(*)|(loc_bb_channel_pos_48<=0.61405236)|(atr_percentile>-0.94267839&up_down_return_mass_ratio_tanh<=1.1012216&up_down_semivol_ratio_tanh>0.63922787),4,4,location|regime,compression|path_structure,compression,compression|path_structure
(*)|(loc_bb_channel_pos_48>0.61405236)|(atr_percentile>-0.94267839&up_down_return_mass_ratio_tanh<=1.1012216&up_down_semivol_ratio_tanh>0.63922787),4,4,location|regime,compression|path_structure,compression,compression|path_structure
(*)|(*)|(direction_entropy_20<=0.071237154&up_down_return_mass_ratio_tanh>1.1012216),2,2,regime,path_structure,,path_structure
(*)|(dist_vwap_atr>-0.01984906&loc_prev_week_range_pos_48<=0.2715874)|(rolling_range_20>-0.26213008),3,3,location|regime,compression,context,compression|context
(*)|(loc_prev_week_range_pos_48>0.2715874&loc_swing_range_pos_48<=1.0355546)|(amihud_illiq<=-0.37929687&atr_percentile<=1.4551059&realized_volatility_24h<=1.5326473&spectral_entropy_ret_24<=0.22158901),6,6,location|regime,compression|liquidity|path_structure|volatility,context,compression|context|liquidity|path_structure|volatility
(*)|(loc_prev_week_range_pos_48>0.2715874&loc_swing_range_pos_48>1.0355546)|(realized_volatility_24h<=1.5326473),3,3,location|regime,volatility,context,context|volatility
(*)|(loc_prev_week_range_pos_48>0.2715874)|(realized_volatility_24h>1.5326473),2,2,location|regime,volatility,context,context|volatility
(*)|(dist_rolling_7d_high>0.035854526)|(direction_entropy_20>0.3770763&ema50_slope<=-0.46153784),3,3,location|regime,path_structure|trend,context,context|path_structure|trend
(*)|(dist_range_mid_atr<=0.051565289&dist_rolling_7d_high>0.035854526&loc_prior_bar_pos_24<=-0.17647333&loc_swing_range_pos_24<=0.88235247)|(atr_compression_ratio>-0.77945006&ema50_slope>-0.46153784),6,6,location|regime,trend|volatility_term_structure,context,context|trend|volatility_term_structure
(*)|(dist_range_mid_atr<=0.051565289&dist_rolling_7d_high>0.035854526&loc_prior_bar_pos_24>-0.17647333&loc_swing_range_pos_24<=0.88235247)|(atr_compression_ratio>-0.77945006&ema50_slope>-0.46153784),6,6,location|regime,trend|volatility_term_structure,context,context|trend|volatility_term_structure
(*)|(zscore_price_50<=-0.69535714)|(realized_volatility_24h>0.69899011),2,2,location|regime,volatility,context,context|volatility
(*)|(dist_prior_day_high<=0.011338446&zscore_price_50>-0.69535714)|(range_24h_pct<=0.034920454),3,3,location|regime,compression,context,compression|context
(*)|(dist_prior_day_high<=0.045878064&dist_prior_day_high>0.011338446&loc_prior_bar_pos_48>0.099997662&zscore_price_50>-0.69535714)|(atr_percentile>0.14697926),5,5,location|regime,compression,context,compression|context
(*)|(dist_prior_day_high>0.045878064&zscore_price_50>-0.69535714)|(variance_ratio_10_48<=-0.33824527),3,3,location|regime,volatility,context,context|volatility
(*)|(loc_prior_bar_pos_24>-0.77553827)|(prior_volatility>-0.75806773&realized_volatility_24h<=1.3532013&spectral_entropy_ret_24<=-0.035931174&tail_asymmetry_q90_q10_atr_norm>-0.06454429&up_down_return_mass_ratio_tanh<=1.3734314),6,6,location|regime,context|path_structure|volatility,context,context|path_structure|volatility
(*)|(*)|(ema50_slope>0.00000000000000000000000000000000001&realized_volatility_24h>1.3532013&up_down_return_mass_ratio_tanh<=1.3734314),3,3,regime,path_structure|trend|volatility,,path_structure|trend|volatility
(*)|(*)|(up_down_return_mass_ratio_tanh>1.3734314),1,1,regime,path_structure,,path_structure
(*)|(dist_prior_day_high>0.022575336)|(ema50_slope<=-1.2263079),2,2,location|regime,trend,context,context|trend
(*)|(dist_prior_day_high>0.022575336&zscore_price_200<=1.2407361)|(ema50_slope>-0.55511165&realized_volatility_24h>-0.19656752&volume_zscore_48h>-0.34734496),5,5,location|regime,liquidity|trend|volatility,context,context|liquidity|trend|volatility
(*)|(dist_prior_day_high>0.022575336&zscore_price_200>1.2407361)|(ema50_slope>-0.55511165),3,3,location|regime,trend,context,context|trend
(*)|(*)|(choppiness_index_20<=0.18992974&compression_ratio<=-0.43073261&range_expansion_ratio>-0.19177535),3,3,regime,path_structure|volatility_term_structure,,path_structure|volatility_term_structure
(*)|(dist_weekly_vwap<=-0.10001826)|(compression_ratio>-0.43073261),2,2,location|regime,volatility_term_structure,context,context|volatility_term_structure
(*)|(dist_prior_day_high>0.02673021&dist_weekly_vwap>-0.041589353)|(compression_ratio>-0.43073261&up_down_semivol_ratio_tanh>-0.18749784),4,4,location|regime,path_structure|volatility_term_structure,context,context|path_structure|volatility_term_structure
(*)|(loc_pullback_depth_48<=0.089551657)|(bollinger_band_width>-0.0065951906),2,2,location|regime,compression,path_structure,compression|path_structure
(*)|(loc_pullback_depth_48>0.089551657)|(atr_compression_ratio<=-1.0422782),2,2,location|regime,volatility_term_structure,path_structure,path_structure|volatility_term_structure
(*)|(dist_local_swing>0.010199998&loc_pullback_depth_48>0.089551657)|(atr_compression_ratio>-1.0422782&ema_slope_norm>-1.1754147&spectral_entropy_ret_24<=-0.042978864),5,5,location|regime,path_structure|trend|volatility_term_structure,context|path_structure,context|path_structure|trend|volatility_term_structure
(*)|(loc_pullback_depth_48>0.089551657)|(atr_compression_ratio>-1.0422782&ema_slope_norm>-1.1754147&rv_24h>-0.16972542&spectral_entropy_ret_24>-0.042978864&volume_autocorr_48<=-0.53875071),6,6,location|regime,liquidity|path_structure|trend|volatility|volatility_term_structure,path_structure,liquidity|path_structure|trend|volatility|volatility_term_structure
(*)|(dist_prior_day_high>0.0079364972&zscore_price_50>-0.72527939)|(range_expansion_ratio<=-0.98273808),3,3,location|regime,volatility_term_structure,context,context|volatility_term_structure
(*)|(dist_ema200_atr<=0.012433625&dist_prior_day_high>0.0079364972&dist_prior_day_low<=0.060346689&loc_prior_bar_pos_24>-0.74998862&zscore_price_50>-0.72527939)|(range_expansion_ratio>-0.98273808),6,6,location|regime,volatility_term_structure,context,context|volatility_term_structure
(*)|(dist_prior_day_high>0.0079364972&dist_prior_day_low>0.060346689&loc_prior_bar_pos_24>-0.74998862&zscore_price_50>-0.72527939)|(range_expansion_ratio>-0.98273808),5,5,location|regime,volatility_term_structure,context,context|volatility_term_structure
(*)|(dist_rolling_7d_high<=0.043962177&loc_swing_range_pos_24>0.69565314&zscore_price_200<=1.6746969)|(*),3,3,location,,context,context
(*)|(dist_rolling_7d_high>0.043962177&dist_weekly_vwap<=-0.078524537)|(realized_volatility_24h>0.47065207),3,3,location|regime,volatility,context,context|volatility
(*)|(dist_rolling_7d_high>0.043962177&dist_weekly_vwap>-0.078524537&loc_vwap_dev_z_48<=0.18326738)|(compression_ratio<=0.73889548&compression_ratio>-0.67945474&spectral_entropy_ret_24>0.4429177),6,6,location|regime,path_structure|volatility_term_structure,context|liquidity,context|liquidity|path_structure|volatility_term_structure
(*)|(dist_weekly_vwap<=-0.067728907)|(prior_volatility>0.15629567),2,2,location|regime,context,context,context
(*)|(dist_weekly_vwap>-0.067728907&distance_to_ema>-0.03846414&loc_prev_day_range_pos_24<=0.77784032)|(atr_percentile>-0.62941545&range_24h_pct<=0.097242996&rolling_range_20<=0.25975606),6,6,location|regime,compression,context,compression|context
(*)|(dist_weekly_vwap>-0.067728907&loc_prev_day_range_pos_24>0.77784032)|(range_24h_pct<=0.055204451),3,3,location|regime,compression,context,compression|context
(*)|(dist_weekly_vwap>-0.067728907)|(range_24h_pct>0.097242996),2,2,location|regime,compression,context,compression|context
(*)|(zscore_price_50<=-0.38202736)|(realized_volatility_24h>0.35204667),2,2,location|regime,volatility,context,context|volatility
(*)|(dist_prior_day_low<=0.044333838&dist_rolling_7d_high<=0.048737194&zscore_price_50>-0.38202736)|(volume_percentile<=-0.32841548),4,4,location|regime,liquidity,context,context|liquidity
(*)|(dist_rolling_7d_high>0.048737194&zscore_price_50>-0.38202736)|(atr_compression_ratio>-0.32134834&choppiness_index_20<=0.5750497),4,4,location|regime,path_structure|volatility_term_structure,context,context|path_structure|volatility_term_structure
(*)|(dist_rolling_7d_high>0.048737194&zscore_price_50>-0.38202736)|(choppiness_index_20>0.5750497),3,3,location|regime,path_structure,context,context|path_structure
(*)|(dist_ma100_atr<=0.0065512424&dist_prior_day_high<=0.039651796)|(efficiency_ratio_20>-0.5715012&up_down_semivol_ratio_tanh<=0.28781211),4,4,location|regime,path_structure,context,context|path_structure
(*)|(dist_prior_day_high<=0.0086623291)|(up_down_semivol_ratio_tanh>0.28781211),2,2,location|regime,path_structure,context,context|path_structure
