symbol,rows,n_features,nan_cells,nan_pct_overall,leading_nan_cells,interior_nan_cells,trailing_nan_cells,all_nan_features,constant_features,features_with_interior_nan
1INCH/USD:USD,32745,890,1061565,3.6426008945529036,710604,317870,33091,2,2,63
2Z/USD:USD,5382,890,531038,11.086434598891854,385136,124065,21837,2,12,83
AAVE/USD:USD,34137,890,891849,2.9354586756009247,749915,113774,28160,0,16,65
ADA/USD:USD,35029,890,1027861,3.296982500214108,792614,194941,40306,0,2,50
AEVO/USD:USD,17439,890,733834,4.728095557484162,415550,267588,50696,2,2,60
AIXBT/USD:USD,11602,890,582227,5.638576456209604,428434,129844,23949,2,3,51
AKT/USD:USD,13115,890,505357,4.329522332692217,372823,105887,26647,0,3,66
ALCH/USD:USD,11437,890,721774,7.090863185030254,483833,206063,31878,2,3,62
ALGO/USD:USD,33923,890,946017,3.133391650025653,727840,188739,29438,0,2,68
ALICE/USD:USD,32073,890,1585001,5.5526455273906405,723916,825369,35716,2,3,69
ALT/USD:USD,17292,890,790363,5.13560209696242,423246,302950,64167,2,6,63
ANIME/USD:USD,11526,890,892631,8.701684710873511,712333,134137,46161,2,12,69
ANKR/USD:USD,32231,890,1060457,3.6968282681304445,667378,321062,72017,1,7,66
APE/USD:USD,34475,890,990680,3.2287849035695952,770223,150588,69869,0,1,58
API3/USD:USD,20147,890,613702,3.422607877047521,401910,144920,66872,1,4,64
APT/USD:USD,31405,890,746711,2.67155269414267,592154,105428,49129,0,3,63
AR/USD:USD,17754,890,903816,5.719970685510972,817400,42725,43691,2,3,58
ARB/USD:USD,27683,890,559647,2.2714910014542653,373902,136072,49673,0,5,57
ARC/USD:USD,11433,890,713637,7.013376417761713,508893,182168,22576,2,5,61
ARKM/USD:USD,17622,890,629561,4.014140904053794,415150,190345,24066,0,1,68
ASTER/USD:USD,5656,890,503279,9.997914117254423,400733,53325,49221,0,7,53
ASTR/USD:USD,17940,890,676533,4.237176355642403,419140,216564,40829,2,11,66
ATH/USD:USD,13225,890,532529,4.524364393279667,377615,108588,46326,0,10,63
ATOM/USD:USD,35029,890,899313,2.884649989847898,791233,59216,48864,0,7,49
AUCTION/USD:USD,15395,890,757828,5.530965474709066,402680,295552,59596,2,3,63
AUD/USD:USD,8945,890,743041,9.333454757852293,443974,225411,73656,0,11,93
AVAX/USD:USD,35029,890,894247,2.8684002115742944,791222,54165,48860,0,11,47
AXS/USD:USD,33247,890,909795,3.0746881614392514,707768,149272,52755,0,8,65
B3/USD:USD,10356,890,657824,7.1371966964816576,417589,195113,45122,2,3,70
BAND/USD:USD,32073,890,1243459,4.356140503913649,670635,526612,46212,2,3,70
BAT/USD:USD,33582,890,1114918,3.7303223570144253,764008,324455,26455,2,3,64
BCH/USD:USD,35029,890,913797,2.9311090874623624,792389,72532,48876,0,28,50
BEAM/USD:USD,18275,890,554550,3.409520589003827,373149,99852,81549,0,19,66
BERA/USD:USD,11071,890,506129,5.136701920900744,393467,70212,42450,2,3,64
BICO/USD:USD,17957,890,789706,4.9413048524784235,409503,329738,50465,2,4,69
BIGTIME/USD:USD,16641,890,776311,5.241629412666293,416053,296423,63835,2,4,76
BIO/USD:USD,11431,890,577855,5.679951718125067,404551,128812,44492,2,2,62
BLUR/USD:USD,28521,890,779631,3.071385602329685,401503,276903,101225,0,6,67
BNB/USD:USD,21828,890,1079143,5.554884665196542,1000969,30426,47748,0,30,49
BNT/USD:USD,16810,890,908467,6.0722750636659555,429175,418663,60629,2,4,75
BONK/USD:USD,21127,890,575495,3.06065033135617,437813,88809,48873,3,22,52
BTC/USD:USD,35029,890,954920,3.063015844656482,790573,114355,49992,0,30,42
C98/USD:USD,17436,890,964816,6.217383123126374,448935,453052,62829,2,4,66
CAKE/USD:USD,13110,890,731730,6.271308461676909,586805,99921,45004,2,5,64
CAT/USD:USD,13568,890,873861,7.236632459720161,671256,131208,71397,5,20,72
CELO/USD:USD,13931,890,750417,6.052438220797687,598585,114727,37105,2,3,67
CELR/USD:USD,15248,890,740722,5.458236556350732,416096,250992,73634,2,12,61
CFX/USD:USD,24309,890,1697556,7.846337949462469,1607538,76385,13633,49,4,41
CHR/USD:USD,17783,890,791954,5.00385736409031,409150,332873,49931,2,2,65
CHZ/USD:USD,33582,890,1084092,3.6271839047001504,743236,246869,93987,1,3,62
COMP/USD:USD,33752,890,1005121,3.3460222748348163,770918,191607,42596,2,13,66
COOKIE/USD:USD,11260,890,754185,7.525744905901371,501554,162977,89654,2,4,76
COTI/USD:USD,17984,890,629139,3.930703696669199,411025,159853,58261,2,2,63
COW/USD:USD,12944,890,737078,6.398157664476882,452025,234345,50708,2,2,66
CRO/USD:USD,12367,890,565571,5.138457457005459,427924,94153,43494,0,6,69
CRV/USD:USD,34137,890,1018550,3.3524861652962796,762074,220651,35825,0,3,60
CTSI/USD:USD,17292,890,789316,5.128798925007862,423064,332788,33464,2,4,67
CVX/USD:USD,27514,890,788832,3.2213712651291724,430208,308974,49650,1,5,69
CYBER/USD:USD,13730,890,863153,7.063618583107605,546779,252925,63449,2,3,76
DASH/USD:USD,32747,890,917472,3.1479751297228358,694367,174177,48928,0,14,69
DEEP/USD:USD,13217,890,812305,6.905517494068331,632260,158080,21965,2,4,65
DEGEN/USD:USD,13230,890,852623,7.241144148046235,624284,180697,47642,2,7,65
DENT/USD:USD,12889,890,642784,5.603454212763954,426943,183138,32703,2,14,67
DOG/USD:USD,13231,890,797458,6.772127765997288,652102,67011,78345,0,15,72
