cell_key,bucket,config_id,rank,k_tp,sl_as_tp_pct,base_atr_window,tp_base_pct,tp_abs_lo_pct,sl_abs_lo_pct,mode,cell_auc,cell_auc_bound,cell_tp_sep,cell_ap_lift,cell_tp_over_sl,cell_sl_to_tp,cell_bind,cell_timeout,cell_brier,cell_ece,cell_monotonicity,cell_ic_std_time,cell_ic_std_asset,cell_ic_payoff,cell_ic_label,cell_barrier_ratio,cell_n
MR_long_H2,MR_long,CFG50D3D3341D,1,0.8,0.7,840,0.039,0.005,0.005,optuna_s2,0.528,0.5359,0.10058,1.0951,1.4363,2.1236,0.3737,0.6262985493682732,0.21649,0.32659,0.6,0.03013,0.03841,0.01057,-0.01032,0.8046,32055
MR_long_H2,MR_long,CFG0F156310D7,2,1.3,0.9,504,0.022,0.005,0.005,optuna_s2,0.5162,0.5209,0.03,1.0715,1.1427,1.3832,0.342,0.6580180409906607,0.24186,0.34091,0.6,0.03252,0.03993,0.00351,-0.00507,1.0127,31373
MR_long_H2,MR_long,CFG41C360B502,3,1.3,0.9,840,0.025,0.005,0.005,optuna_s2,0.515,0.5182,0.02288,1.0936,1.1521,1.3913,0.272,0.7280200031254883,0.24324,0.3744,0.6667,0.02915,0.03203,0.00101,-0.00417,1.0002,31995
MR_long_H4,MR_long,CFG50D3D3341D,1,0.8,0.7,840,0.039,0.005,0.005,optuna_s2,0.5308,0.5356,0.11539,1.1074,1.4488,2.0609,0.4014,0.5986121819583654,0.2189,0.31618,0.6,0.0472,0.04845,0.01167,0.00754,0.7778,32425
MR_long_H4,MR_long,CFG0F156310D7,2,1.3,0.9,504,0.022,0.005,0.005,optuna_s2,0.5149,0.5178,0.03037,1.0769,1.1457,1.3583,0.3694,0.6305769824128356,0.24231,0.32708,0.6,0.04839,0.05303,-0.00017,0.00283,0.9843,32410
MR_long_H4,MR_long,CFG41C360B502,3,1.3,0.9,840,0.025,0.005,0.005,optuna_s2,0.5193,0.521,0.02283,1.0967,1.1511,1.3515,0.2981,0.7018566493955095,0.24311,0.359,0.4,0.04871,0.04659,0.00126,0.00826,0.9752,32424
MR_long_H8,MR_long,CFG50D3D3341D,1,0.8,0.7,840,0.039,0.005,0.005,optuna_s2,0.4869,0.4879,-0.00565,0.9768,1.456,1.8852,0.4518,0.5482358746607451,0.28723,0.38602,0.8,0.05579,0.08427,-0.01009,-0.01529,0.7607,32424
MR_long_H8,MR_long,CFG0F156310D7,2,1.3,0.9,504,0.022,0.005,0.005,optuna_s2,0.5074,0.51,-0.00011,1.0078,1.1444,1.2633,0.404,0.5959533649990747,0.26455,0.33729,0.8,0.05668,0.08311,0.00731,-0.00114,0.9644,32422
MR_long_H8,MR_long,CFG41C360B502,3,1.3,0.9,840,0.025,0.005,0.005,optuna_s2,0.4983,0.5005,-0.01293,0.9945,1.1412,1.2415,0.3472,0.6528188995805576,0.26437,0.35917,0.6,0.05499,0.08468,0.00134,-0.01083,0.9593,32424
MR_short_H2,MR_short,CFG0F156310D7,1,1.3,0.9,504,0.022,0.005,0.005,optuna_s2,0.5173,0.5236,0.0097,1.0447,1.0961,1.4302,0.4045,0.5954619312906221,0.24071,0.31519,0.6,0.03518,0.03794,-0.00102,-0.0052,1.0197,34464
MR_short_H2,MR_short,CFG41C360B502,2,1.3,0.9,840,0.025,0.005,0.005,optuna_s2,0.5251,0.5311,0.01855,1.0689,1.1006,1.5198,0.3384,0.6616195985028921,0.23751,0.34344,0.2,0.03466,0.03481,-0.00162,-0.00371,1.0065,35268
MR_short_H2,MR_short,CFG854EA4BC23,3,1.3,0.8,840,0.025,0.005,0.005,optuna_s2,0.526,0.5326,0.01746,1.07,1.2342,1.8092,0.3723,0.6276805869074492,0.22736,0.32921,0.25,0.03252,0.03639,-0.00129,-0.00412,0.9068,35440
MR_short_H4,MR_short,CFG50D3D3341D,1,0.8,0.7,840,0.039,0.005,0.005,optuna_s2,0.5264,0.5343,0.01943,1.07,1.4054,2.1064,0.4614,0.5385820603211907,0.21949,0.29722,0.4,0.04057,0.04059,0.00568,-0.00185,0.7814,35742
MR_short_H4,MR_short,CFG0F156310D7,2,1.3,0.9,504,0.022,0.005,0.005,optuna_s2,0.5156,0.5205,0.0015,1.0414,1.0985,1.4391,0.434,0.5659573275016121,0.24,0.30119,0.2,0.03953,0.04525,0.00171,6e-05,0.9883,35667
MR_short_H4,MR_short,CFG41C360B502,3,1.3,0.9,840,0.025,0.005,0.005,optuna_s2,0.5203,0.5248,0.01233,1.0635,1.1005,1.521,0.3636,0.6363738108561835,0.23682,0.33217,0.4,0.04338,0.0482,-0.00371,0.00076,0.9786,35740
MR_short_H8,MR_short,CFG50D3D3341D,1,0.8,0.7,840,0.039,0.005,0.005,optuna_s2,0.5301,0.5375,0.02592,1.0755,1.4167,2.0364,0.4928,0.5072293536929832,0.2213,0.28668,0.4,0.03886,0.04431,0.00917,0.0069,0.7623,35757
MR_short_H8,MR_short,CFG0F156310D7,2,1.3,0.9,504,0.022,0.005,0.005,optuna_s2,0.5179,0.5224,-0.00552,1.042,1.1043,1.3859,0.4569,0.5430872933739826,0.24099,0.29038,0.8,0.03985,0.03808,0.00885,0.00581,0.9664,35753
