generated_boolean,group,source_feature,support,support_pct,usable_support,nan_rate_before,nan_rate_ts
loc_dist_ema20_atr_ts_top20,location,dist_ema20_atr,297411,0.8008633062529116,73952,0.0,0.0
loc_dist_ema20_atr_ts_bot20,location,dist_ema20_atr,74247,0.19993106475335454,74247,0.0,0.0
loc_dist_ema20_atr_ts_top30,location,dist_ema20_atr,260286,0.7008937347016262,111077,0.0,0.0
loc_dist_ema20_atr_ts_bot30,location,dist_ema20_atr,111369,0.2998925579554237,111369,0.0,0.0
loc_dist_ema20_atr_ts_top40,location,dist_ema20_atr,223162,0.6009268559334129,148201,0.0,0.0
loc_dist_ema20_atr_ts_bot40,location,dist_ema20_atr,148496,0.39986751507285323,148496,0.0,0.0
loc_dist_ema20_atr_ts_top50,location,dist_ema20_atr,186039,0.5009626699482717,185324,0.0,0.0
loc_dist_ema20_atr_ts_bot50,location,dist_ema20_atr,185620,0.49983439384106654,185620,0.0,0.0
loc_dist_ema20_atr_ts_top60,location,dist_ema20_atr,148803,0.4006941994759844,148803,0.0,0.0
loc_dist_ema20_atr_ts_bot60,location,dist_ema20_atr,222855,0.6001001715302817,148508,0.0,0.0
loc_dist_ema20_atr_ts_top70,location,dist_ema20_atr,111785,0.30101275571341246,111785,0.0,0.0
loc_dist_ema20_atr_ts_bot70,location,dist_ema20_atr,259870,0.6997735369436373,111493,0.0,0.0
loc_dist_ema20_atr_ts_top80,location,dist_ema20_atr,74702,0.2011562810511548,74702,0.0,0.0
loc_dist_ema20_atr_ts_bot80,location,dist_ema20_atr,296954,0.7996327043889672,74409,0.0,0.0
loc_dist_ema20_atr_ts_band20_80,location,dist_ema20_atr,223002,0.6004960106418787,148361,0.0,0.0
loc_dist_ema20_atr_ts_band25_75,location,dist_ema20_atr,185846,0.5004429628153586,185517,0.0,0.0
loc_dist_ema20_atr_ts_band30_70,location,dist_ema20_atr,148793,0.40066727164526356,148793,0.0,0.0
loc_dist_ema20_atr_ts_band40_60,location,dist_ema20_atr,74654,0.20102702746369455,74654,0.0,0.0
loc_dist_ema50_atr_ts_top20,location,dist_ema50_atr,297411,0.8008633062529116,73952,0.0,0.0
loc_dist_ema50_atr_ts_bot20,location,dist_ema50_atr,74247,0.19993106475335454,74247,0.0,0.0
loc_dist_ema50_atr_ts_top30,location,dist_ema50_atr,260286,0.7008937347016262,111077,0.0,0.0
loc_dist_ema50_atr_ts_bot30,location,dist_ema50_atr,111369,0.2998925579554237,111369,0.0,0.0
loc_dist_ema50_atr_ts_top40,location,dist_ema50_atr,223162,0.6009268559334129,148201,0.0,0.0
loc_dist_ema50_atr_ts_bot40,location,dist_ema50_atr,148496,0.39986751507285323,148496,0.0,0.0
loc_dist_ema50_atr_ts_top50,location,dist_ema50_atr,186039,0.5009626699482717,185324,0.0,0.0
loc_dist_ema50_atr_ts_bot50,location,dist_ema50_atr,185620,0.49983439384106654,185620,0.0,0.0
loc_dist_ema50_atr_ts_top60,location,dist_ema50_atr,148803,0.4006941994759844,148803,0.0,0.0
loc_dist_ema50_atr_ts_bot60,location,dist_ema50_atr,222855,0.6001001715302817,148508,0.0,0.0
loc_dist_ema50_atr_ts_top70,location,dist_ema50_atr,111785,0.30101275571341246,111785,0.0,0.0
loc_dist_ema50_atr_ts_bot70,location,dist_ema50_atr,259870,0.6997735369436373,111493,0.0,0.0
loc_dist_ema50_atr_ts_top80,location,dist_ema50_atr,74702,0.2011562810511548,74702,0.0,0.0
loc_dist_ema50_atr_ts_bot80,location,dist_ema50_atr,296954,0.7996327043889672,74409,0.0,0.0
loc_dist_ema50_atr_ts_band20_80,location,dist_ema50_atr,223002,0.6004960106418787,148361,0.0,0.0
loc_dist_ema50_atr_ts_band25_75,location,dist_ema50_atr,185846,0.5004429628153586,185517,0.0,0.0
loc_dist_ema50_atr_ts_band30_70,location,dist_ema50_atr,148793,0.40066727164526356,148793,0.0,0.0
loc_dist_ema50_atr_ts_band40_60,location,dist_ema50_atr,74654,0.20102702746369455,74654,0.0,0.0
loc_dist_ema200_atr_ts_top20,location,dist_ema200_atr,297411,0.8008633062529116,73952,0.0,0.0
loc_dist_ema200_atr_ts_bot20,location,dist_ema200_atr,74247,0.19993106475335454,74247,0.0,0.0
loc_dist_ema200_atr_ts_top30,location,dist_ema200_atr,260286,0.7008937347016262,111077,0.0,0.0
loc_dist_ema200_atr_ts_bot30,location,dist_ema200_atr,111369,0.2998925579554237,111369,0.0,0.0
loc_dist_ema200_atr_ts_top40,location,dist_ema200_atr,223162,0.6009268559334129,148201,0.0,0.0
