families_combo,count
context|cross_asset,90
context|cross_asset_orderbook,86
context,72
compression|context,69
context|cross_asset|cross_asset_orderbook,53
compression|context|path_structure,51
context|cross_asset_orderbook|path_structure,51
compression|context|cross_asset_orderbook,45
context|path_structure,44
context|trend,38
compression|context|liquidity,38
compression|context|cross_asset,38
context|cross_asset_orderbook|liquidity,36
context|cross_asset_orderbook|trend,36
context|liquidity,35
context|cross_asset|path_structure,34
compression|context|cross_asset|cross_asset_orderbook,30
compression|context|trend,29
compression|context|volatility_term_structure,27
context|cross_asset_orderbook|volatility,27
context|cross_asset|liquidity,27
compression|context|mark_index,26
compression|liquidity|path_structure,22
context|cross_asset|mark_index,21
compression|context|cross_asset_orderbook|trend,21
context|volatility_term_structure,21
context|cross_asset|cross_asset_orderbook|volatility_term_structure,21
context|cross_asset|cross_asset_orderbook|mark_index,20
compression|context|cross_asset|path_structure,18
context|volatility,18
compression|cross_asset|cross_asset_orderbook,17
compression|context|cross_asset_orderbook|liquidity,17
context|cross_asset|cross_asset_orderbook|path_structure,17
context|cross_asset|volatility_term_structure,17
compression|context|liquidity|path_structure,17
compression|context|cross_asset_orderbook|path_structure,16
context|cross_asset|cross_asset_orderbook|liquidity,16
context|cross_asset|trend,15
context|liquidity|path_structure,15
context|cross_asset_orderbook|volatility_term_structure,15
context|cross_asset|cross_asset_orderbook|cross_sectional,15
context|cross_asset_orderbook|mark_index,14
compression|context|volatility,14
context|cross_asset|volatility,14
context|cross_asset|cross_asset_orderbook|volatility,13
context|cross_asset_orderbook|liquidity|mark_index,13
compression|cross_asset_orderbook,13
compression|context|cross_asset|cross_asset_orderbook|path_structure,13
context|mark_index,13
context|path_structure|trend,12
context|trend|volatility,12
context|cross_asset_orderbook|mark_index|path_structure,11
compression|cross_asset_orderbook|liquidity,11
compression|context|path_structure|volatility,11
context|cross_asset_orderbook|path_structure|trend,11
context|cross_asset_orderbook|cross_sectional|liquidity,10
context|cross_asset|trend|volatility_term_structure,10
compression|cross_asset,10
context|cross_asset_orderbook|cross_sectional,10
compression|context|cross_asset|trend,10
cross_asset|cross_asset_orderbook,10
cross_asset_orderbook|trend,10
context|cross_asset|mark_index|path_structure,10
context|cross_asset|cross_sectional,9
context|cross_sectional|liquidity|volatility,9
context|mark_index|volatility_term_structure,9
compression|context|mark_index|path_structure,9
cross_asset_orderbook|path_structure|trend,9
context|cross_asset_orderbook|path_structure|volatility,9
compression|context|cross_asset_orderbook|volatility_term_structure,9
compression|path_structure,8
cross_asset|cross_asset_orderbook|trend,8
context|volatility|volatility_term_structure,8
context|cross_asset|mark_index|trend,8
context|trend|volatility_term_structure,8
context|mark_index|path_structure,8
context|cross_asset|cross_asset_orderbook|momentum,8
context|cross_sectional|path_structure,8
context|cross_sectional,8
compression|context|trend|volatility_term_structure,8
context|cross_asset_orderbook|path_structure|volatility_term_structure,8
context|cross_asset|liquidity|mark_index,8
compression|liquidity,8
compression|context|cross_asset_orderbook|volatility,8
context|path_structure|volatility_term_structure,8
compression|cross_asset|mark_index,7
context|liquidity|volatility,7
compression|context|liquidity|volatility,7
context|cross_asset_orderbook|trend|volatility,7
compression|context|cross_asset_orderbook|liquidity|mark_index,7
compression|volatility_term_structure,7
context|cross_asset|momentum,7
compression|context|path_structure|volatility_term_structure,7
context|liquidity|trend,7
cross_asset|cross_asset_orderbook|liquidity,7
context|cross_asset|liquidity|volatility,7
context|cross_asset_orderbook|liquidity|path_structure,7
context|cross_sectional|volatility,7
compression|context|mark_index|volatility_term_structure,6
compression|context|cross_asset|liquidity,6
compression|context|liquidity|orderbook,6
cross_asset_orderbook|liquidity|trend,6
context|cross_asset|path_structure|trend,6
cross_asset|cross_asset_orderbook|path_structure|volatility_term_structure,6
compression|cross_asset_orderbook|volatility,6
context|cross_sectional|liquidity,6
compression|context|cross_asset|volatility,6
compression|liquidity|trend,6
compression|mark_index,6
context|cross_asset_orderbook|mark_index|trend,6
context|mark_index|trend,6
compression|context|momentum,6
compression|context|cross_asset|cross_asset_orderbook|liquidity,5
cross_asset|liquidity|path_structure,5
cross_asset_orderbook|cross_sectional|path_structure|volatility,5
liquidity|volatility|volatility_term_structure,5
cross_asset_orderbook|mark_index|path_structure,5
compression|cross_asset|cross_asset_orderbook|path_structure,5
compression|mark_index|path_structure,5
context|cross_asset|liquidity|path_structure,5
context|liquidity|mark_index|path_structure,5
basis|context|cross_asset|cross_asset_orderbook,5
compression|context|cross_sectional|path_structure,5
compression|context|liquidity|mark_index,5
compression|context|cross_asset|path_structure|trend,5
context|cross_asset_orderbook|path_structure|volatility|volatility_term_structure,5
compression|cross_asset_orderbook|path_structure,5
context|momentum|trend,5
compression|cross_asset|liquidity|path_structure,5
compression|context|cross_asset_orderbook|liquidity|trend,5
context|cross_asset|liquidity|mark_index|volatility_term_structure,5
context|cross_asset|cross_sectional|path_structure,5
context|cross_asset|cross_asset_orderbook|liquidity|volatility_term_structure,5
cross_asset|liquidity|volatility|volatility_term_structure,5
context|liquidity|volatility_term_structure,5
compression|context|liquidity|mark_index|path_structure,5
compression|context|mark_index|volatility,4
compression|context|cross_asset_orderbook|trend|volatility,4
compression|context|path_structure|trend,4
cross_sectional|liquidity|volatility|volatility_term_structure,4
compression|context|volatility|volatility_term_structure,4
context|cross_asset|trend|volatility,4
context|cross_asset_orderbook|mark_index|volatility,4
compression|context|cross_asset|mark_index,4
compression|cross_asset_orderbook|volatility_term_structure,4
basis|context|liquidity,4
basis|context,4
cross_asset|mark_index|trend,4
basis|compression|context|cross_asset|cross_asset_orderbook,4
compression|context|cross_asset|cross_asset_orderbook|mark_index,4
basis|compression|liquidity,4
compression|cross_asset|volatility,4
context|liquidity|volatility|volatility_term_structure,4
compression|cross_asset_orderbook|liquidity|orderbook,4
compression|cross_asset|path_structure|volatility,4
compression,4
context|cross_asset|mark_index|trend|volatility_term_structure,4
context|cross_asset_orderbook|liquidity|volatility_term_structure,4
context|cross_asset|mark_index|volatility,4
compression|path_structure|trend|volatility,4
compression|cross_asset_orderbook|liquidity|mark_index|path_structure,4
context|mark_index|path_structure|volatility_term_structure,4
context|cross_asset|orderbook,4
compression|cross_asset_orderbook|liquidity|path_structure,4
context|cross_sectional|momentum,4
cross_sectional,4
context|cross_asset|cross_asset_orderbook|path_structure|trend,4
compression|context|cross_asset|liquidity|path_structure,4
context|liquidity|mark_index,4
compression|liquidity|volatility_term_structure,4
compression|context|cross_asset|volatility_term_structure,4
cross_asset|cross_asset_orderbook|path_structure,4
cross_asset|cross_asset_orderbook|cross_sectional|path_structure,4
context|cross_asset|cross_sectional|volatility_term_structure,4
context|cross_sectional|liquidity|volatility_term_structure,4
context|cross_asset_orderbook|mark_index|path_structure|volatility_term_structure,4
context|cross_asset_orderbook|cross_sectional|liquidity|mark_index,4
context|liquidity|orderbook|path_structure,4
basis|context|trend,3
context|cross_asset_orderbook|liquidity|volatility,3
context|momentum,3
compression|cross_asset|path_structure,3
compression|trend,3
liquidity|trend|volatility_term_structure,3
context|momentum|volatility,3
context|cross_asset|liquidity|trend,3
compression|cross_asset|cross_asset_orderbook|momentum,3
compression|path_structure|volatility,3
compression|context|cross_asset|cross_asset_orderbook|trend,3
context|cross_sectional|liquidity|mark_index,3
context|cross_asset|cross_sectional|liquidity|mark_index,3
