canonical_key,display_arity,structural_depth,groups_used,regime_families_used
(*)|(LOC_91_BelowPrevDayLow==1)|(reg_bollinger_band_width_ts_band25_75==0&reg_trend_persistence_ts_band40_60==1),3,3,location|regime,compression|trend
(*)|(LOC_75_BelowInitialBalanceMid==1)|(reg_bollinger_band_width_ts_band25_75==0&reg_ema20_gt_ema50_ts_top30==0),3,3,location|regime,compression|trend
(*)|(LOC_75_BelowInitialBalanceMid==1)|(reg_bollinger_band_width_ts_band25_75==0&reg_ema20_gt_ema50_ts_top30==1),3,3,location|regime,compression|trend
(*)|(LOC_130_ShallowPullback_Long==1)|(reg_bollinger_band_width_ts_band25_75==0&reg_volume_autocorr_48_ts_top50==0),3,3,location|regime,compression|liquidity
(*)|(LOC_130_ShallowPullback_Long==1)|(reg_bollinger_band_width_ts_band25_75==0&reg_volume_autocorr_48_ts_top50==1),3,3,location|regime,compression|liquidity
(*)|(LOC_42_MidRange==1)|(reg_bollinger_band_width_ts_band25_75==1&reg_volume_zscore_48h_ts_top40==0),3,3,location|regime,compression|liquidity
(*)|(LOC_42_MidRange==1)|(reg_bollinger_band_width_ts_band25_75==1&reg_volume_zscore_48h_ts_top40==1),3,3,location|regime,compression|liquidity
(*)|(LOC_170_NotTooExtendedAboveEMA==1)|(reg_bollinger_band_width_ts_band25_75==1&reg_volatility_autocorr_48_ts_band30_70==1&reg_volume_autocorr_48_ts_band40_60==0),4,4,location|regime,compression|liquidity|volatility
(*)|(LOC_170_NotTooExtendedAboveEMA==1)|(reg_bollinger_band_width_ts_band25_75==1&reg_volatility_autocorr_48_ts_band30_70==1&reg_volume_autocorr_48_ts_band40_60==1),4,4,location|regime,compression|liquidity|volatility
(*)|(LOC_91_BelowPrevDayLow==1)|(reg_bollinger_band_width_ts_band25_75==1&reg_ema50_gt_ema200_ts_top70==0&reg_return_autocorr_48_ts_band40_60==0),4,4,location|regime,compression|momentum|trend
(*)|(LOC_91_BelowPrevDayLow==1)|(reg_bollinger_band_width_ts_band25_75==1&reg_ema50_gt_ema200_ts_top70==1&reg_return_autocorr_48_ts_band40_60==0),4,4,location|regime,compression|momentum|trend
(*)|(LOC_91_BelowPrevDayLow==1)|(reg_bollinger_band_width_ts_band25_75==1&reg_compression_score_ts_band30_70==0&reg_return_autocorr_48_ts_band40_60==1),4,4,location|regime,compression|momentum|volatility_term_structure
