feature_name,group,source_name,source_family,model_split_count,extracted_rule_count,final_registry_count,used_in_model,used_in_extracted_rules,used_in_final_registry
LOC_01_AboveEMA,location,LOC_01_AboveEMA,LOC,214,46,0,True,True,False
LOC_02_BelowEMA,location,LOC_02_BelowEMA,LOC,41,6,0,True,True,False
LOC_03_BetweenFastMidEMA,location,LOC_03_BetweenFastMidEMA,LOC,29,14,0,True,True,False
LOC_04_BetweenMidSlowEMA,location,LOC_04_BetweenMidSlowEMA,LOC,72,48,0,True,True,False
LOC_05_StackedAboveAllEMAs,location,LOC_05_StackedAboveAllEMAs,LOC,138,50,0,True,True,False
LOC_06_StackedBelowAllEMAs,location,LOC_06_StackedBelowAllEMAs,LOC,128,42,0,True,True,False
LOC_07_TouchFastEMA_Long,location,LOC_07_TouchFastEMA_Long,LOC,307,355,0,True,True,False
LOC_08_TouchFastEMA_Short,location,LOC_08_TouchFastEMA_Short,LOC,42,50,0,True,True,False
LOC_09_TouchMidEMA_Long,location,LOC_09_TouchMidEMA_Long,LOC,30,11,0,True,True,False
LOC_10_TouchMidEMA_Short,location,LOC_10_TouchMidEMA_Short,LOC,176,166,0,True,True,False
LOC_11_DeepPullbackToSlowEMA_Long,location,LOC_11_DeepPullbackToSlowEMA_Long,LOC,18,17,0,True,True,False
LOC_12_DeepPullbackToSlowEMA_Short,location,LOC_12_DeepPullbackToSlowEMA_Short,LOC,26,16,0,True,True,False
LOC_13_EMAValueZone_Long,location,LOC_13_EMAValueZone_Long,LOC,5,4,0,True,True,False
LOC_14_EMAValueZone_Short,location,LOC_14_EMAValueZone_Short,LOC,145,201,0,True,True,False
LOC_20_AboveVWAP,location,LOC_20_AboveVWAP,LOC,117,28,0,True,True,False
LOC_21_BelowVWAP,location,LOC_21_BelowVWAP,LOC,104,24,0,True,True,False
LOC_22_AtVWAP_Long,location,LOC_22_AtVWAP_Long,LOC,160,22,0,True,True,False
LOC_23_AtVWAP_Short,location,LOC_23_AtVWAP_Short,LOC,123,48,0,True,True,False
LOC_24_VWAPPlus1Dev,location,LOC_24_VWAPPlus1Dev,LOC,2,1,0,True,True,False
LOC_25_VWAPMinus1Dev,location,LOC_25_VWAPMinus1Dev,LOC,4,6,0,True,True,False
LOC_26_VWAPPlus2Dev,location,LOC_26_VWAPPlus2Dev,LOC,0,0,0,False,False,False
LOC_27_VWAPMinus2Dev,location,LOC_27_VWAPMinus2Dev,LOC,1,0,0,True,False,False
LOC_28_BetweenVWAPAndPlus1Dev,location,LOC_28_BetweenVWAPAndPlus1Dev,LOC,60,27,0,True,True,False
LOC_29_BetweenVWAPAndMinus1Dev,location,LOC_29_BetweenVWAPAndMinus1Dev,LOC,30,3,0,True,True,False
LOC_30_ReclaimVWAPZone_Long,location,LOC_30_ReclaimVWAPZone_Long,LOC,5,0,0,True,False,False
LOC_31_LoseVWAPZone_Short,location,LOC_31_LoseVWAPZone_Short,LOC,16,12,0,True,True,False
LOC_40_UpperQuartileOfRange,location,LOC_40_UpperQuartileOfRange,LOC,135,109,0,True,True,False
LOC_41_LowerQuartileOfRange,location,LOC_41_LowerQuartileOfRange,LOC,83,40,0,True,True,False
LOC_42_MidRange,location,LOC_42_MidRange,LOC,112,54,0,True,True,False
LOC_43_NearRangeHigh,location,LOC_43_NearRangeHigh,LOC,115,46,0,True,True,False
LOC_44_NearRangeLow,location,LOC_44_NearRangeLow,LOC,35,12,0,True,True,False
LOC_45_AtRangeBreakoutZone_Long,location,LOC_45_AtRangeBreakoutZone_Long,LOC,86,35,0,True,True,False
LOC_46_AtRangeBreakdownZone_Short,location,LOC_46_AtRangeBreakdownZone_Short,LOC,63,31,0,True,True,False
