canonical_key,mask_score,is_structurally_sound,rejection_reason,avg_trades_per_day,density_dispersion,tail_ratio,lift,learn_eff_ratio,subset_oof_coverage,baseline_oof_coverage,entropy_reduction,path_efficiency,tp_rate,sl_rate,timeout_rate,ev_per_trade,win_rate_conditional,win_rate_unconditional
(*)|(LOC_40_UpperQuartileOfRange==1)|(reg_ema20_gt_ema50_ts_bot20==1),,False,missing_learnability,0.4656531083339966,2.241337072902921,1.5915470460522836,,,0.26666666666666666,0.5000397994109688,-0.06582555189626804,0.5,0.2717948717948718,0.3076923076923077,0.0,0.004266091622412205,0.4690265486684157,0.271794871793478
(*)|(LOC_112_AtBBUpper==1)|(reg_atr_change_rate_ts_top30==0&reg_bollinger_band_width_ts_band30_70==0),,False,missing_learnability,0.4298336384621507,1.9208154674855522,1.2057671298466157,,,0.18333333333333332,0.5000397994109688,-0.0178268472061196,0.3333333333333333,0.20555555555555555,0.2777777777777778,0.0,0.002175648231059313,0.4252873563169507,0.2055555555544136
Composite((*)|(LOC_76_NearInitialBalanceHigh==1)|(reg_atr_change_rate_ts_top50==1&reg_volume_zscore_48h_ts_band25_75==1))_OR_((*)|(LOC_76_NearInitialBalanceHigh==1)|(reg_bollinger_band_width_ts_band30_70==0&reg_return_autocorr_48_ts_bot80==1&reg_volume_zscore_48h_ts_band25_75==1)),0.29390405406443343,False,low_lift,2.485871209106105,0.8281651188167334,1.4087297251234352,0.0033667576566536184,1.0066148278843143,0.5100864553314121,0.5000397994109688,-0.06557999037714612,0.25,0.1690682036503362,0.26609029779058596,0.0,0.002217612462118268,0.3885209713015706,0.1690682036501738
(*)|(LOC_112_AtBBUpper==1)|(reg_trend_persistence_ts_top30==0),,False,missing_learnability,0.4728170023083658,1.8032383113291857,1.6932903868713125,,,0.3484848484848485,0.5000397994109688,-0.07518408409061483,0.5,0.14646464646464646,0.29292929292929293,0.0,0.0021374993957579136,0.3333333333295019,0.14646464646390675
(*)|(LOC_22_AtVWAP_Long==1)|(reg_return_autocorr_48_ts_bot80==0),0.2866915049460347,False,low_lift,1.1032396720528534,1.4403282098804768,1.2280489110357922,-0.005451727427316477,0.9892887283233097,0.5930735930735931,0.5000397994109688,-0.05325732158662766,0.5,0.14502164502164502,0.2748917748917749,0.0,0.0013918380718678236,0.34536082474048785,0.14502164502133114
Composite((*)|(LOC_70_AboveSessionOpen==1)|(reg_bollinger_band_width_ts_bot80==0&reg_compression_score_ts_top40==0&reg_volume_zscore_48h_ts_band30_70==0))_OR_((*)|(LOC_76_NearInitialBalanceHigh==1)|(reg_compression_score_ts_bot60==1)),0.2961127780083328,False,low_lift,4.914431266417257,0.6405119623867753,1.277133952395378,0.00417837426025125,1.008209449856841,0.5102040816326531,0.5000397994109688,-0.02754922602625265,0.25,0.16472303206997085,0.2813411078717201,0.0,0.0017747355159372091,0.3692810457512317,0.1647230320698908
Composite((*)|(LOC_76_NearInitialBalanceHigh==1)|(reg_atr_change_rate_ts_top50==0))_OR_((*)|(LOC_76_NearInitialBalanceHigh==1)|(reg_volatility_autocorr_48_ts_band20_80==1)),0.327312279550119,False,low_lift,5.2654620711613465,0.6552368944256746,1.263617186999508,0.023377984728485957,1.045931843140675,0.5052154195011338,0.5000397994109688,-0.03453141592830966,0.5,0.16780045351473924,0.26485260770975055,0.0,0.00122749712318182,0.38784067085913226,0.16780045351466313
(*)|(LOC_10_TouchMidEMA_Short==1)|(*),0.329717432848056,False,low_entropy_reduction,1.4733741940619276,1.1642970876452123,1.2908207999514967,0.06949674458527755,1.136543577163034,0.5072933549432739,0.5000397994109688,-0.015876949294890697,1.0,0.16531604538087522,0.2366288492706645,0.0,0.001719271531328559,0.41129032257898673,0.16531604538060726
Composite((*)|(LOC_113_AtBBLower==1)|(reg_ema50_gt_ema200_ts_band30_70==1&reg_volume_zscore_48h_ts_top30==1))_OR_((*)|(LOC_113_AtBBLower==1)|(reg_trend_persistence_ts_top20==1&reg_volatility_autocorr_48_ts_band25_75==0)),0.23966341949432382,False,low_lift,1.1796545411127914,1.1289253446442562,1.0526386548716238,0.02714932062196862,1.0533415672085025,0.5121457489878543,0.5000397994109688,-0.04928963979895751,0.3333333333333333,0.18421052631578946,0.27125506072874495,0.0,-0.0001098176944651641,0.40444444444264693,0.1842105263154166
(*)|(LOC_95_AbovePrevDayMid==1)|(reg_ema50_gt_ema200_ts_band40_60==0&reg_return_autocorr_48_ts_top80==1),0.21424966318086028,False,low_lift,0.6280347050863646,2.148212916069717,1.1314103849832924,0.03586561116559739,1.070466880266646,0.6615969581749049,0.5000397994109688,-0.09003170586259124,0.3333333333333333,0.1444866920152091,0.2965779467680608,0.0,0.0006553501007147133,0.3275862068937277,0.14448669201465975
