key_a,key_b,pair_retrieval_score,containment_score,overlap_coeff,jaccard,behavior_similarity,fold_similarity,child_candidate_name,child_selection_score,child_mean_net_ret,child_std_net_ret,child_sharpe,child_mean_ic,child_positive_fold_fraction,better_parent_name,parent_selection_score,parent_mean_net_ret,parent_std_net_ret,parent_sharpe,parent_mean_ic,worse_parent_name,worse_parent_std_net_ret,composite_selection_score,parent_a_selection_score,parent_b_selection_score,accept_merge,decision,decision_reason,ridge_mean_net_ret,ridge_positive_fold_fraction
(*)|(LOC_113_AtBBLower==1)|(reg_trend_persistence_ts_bot70==0),(*)|(LOC_113_AtBBLower==1)|(reg_trend_persistence_ts_top70==1),1.0,1.0,1.0,1.0,1.0000000000000002,1.0,parent_b_only,0.0019632562746009444,0.002710283105261624,0.01765039935708046,0.15355364206954294,0.012785475148233897,0.8,parent_a_only,0.0019632562746009444,0.002710283105261624,0.01765039935708046,0.15355364206954294,0.012785475148233897,parent_b_only,0.01765039935708046,0.0019632562746009444,0.0019632562746009444,0.0019632562746009444,False,keep_parent_b,composite_lost_to_parent,0.002710283105261624,0.8
(*)|(LOC_130_ShallowPullback_Long==1)|(reg_bollinger_band_width_ts_band30_70==0&reg_return_autocorr_48_ts_bot80==1),(*)|(LOC_130_ShallowPullback_Long==1)|(reg_bollinger_band_width_ts_band30_70==0&reg_return_autocorr_48_ts_top80==0),1.0,1.0,1.0,1.0,1.0,1.0,parent_b_only,-0.0,-0.0025325539812911303,0.021323922276496887,-0.11876586063542811,-0.014838601085953371,0.2,parent_a_only,-0.0,-0.0025325539812911303,0.021323922276496887,-0.11876586063542811,-0.014838601085953371,parent_b_only,0.021323922276496887,-inf,-0.0,-0.0,False,keep_parent_b,composite_lost_to_parent,,0.0
(*)|(LOC_130_ShallowPullback_Long==1)|(reg_bollinger_band_width_ts_bot40==0),(*)|(LOC_130_ShallowPullback_Long==1)|(reg_bollinger_band_width_ts_top40==1),1.0,1.0,1.0,1.0,1.0000000000000002,1.0,parent_b_only,0.002027394649276449,0.002002844167873263,0.01707428190857172,0.11730180973923036,0.017283575196183936,0.8,parent_a_only,0.002027394649276449,0.002002844167873263,0.01707428190857172,0.11730180973923036,0.017283575196183936,parent_b_only,0.01707428190857172,-inf,0.002027394649276449,0.002027394649276449,False,keep_parent_b,composite_lost_to_parent,,0.0
(*)|(LOC_130_ShallowPullback_Long==1)|(reg_bollinger_band_width_ts_bot40==1&reg_price_lt_ema200_ts_top60==0),(*)|(LOC_130_ShallowPullback_Long==1)|(reg_bollinger_band_width_ts_top40==0&reg_price_lt_ema200_ts_top60==0),1.0,1.0,1.0,1.0,1.0,1.0,parent_b_only,-0.0,-0.004853490041568875,0.022167876735329627,-0.21894248599071822,-0.027459426423882764,0.2,parent_a_only,-0.0,-0.004853490041568875,0.022167876735329627,-0.21894248599071822,-0.027459426423882764,parent_b_only,0.022167876735329627,-0.0,-0.0,-0.0,False,keep_parent_b,composite_lost_to_parent,-0.004325703892391175,0.25
(*)|(LOC_130_ShallowPullback_Long==1)|(reg_bollinger_band_width_ts_bot40==1),(*)|(LOC_130_ShallowPullback_Long==1)|(reg_bollinger_band_width_ts_top40==0),1.0,1.0,1.0,1.0,1.0000000000000002,1.0,parent_b_only,-0.0,-0.002604172530118376,0.022064800560474395,-0.11802384177373167,-0.016571821986291275,0.2,parent_a_only,-0.0,-0.002604172530118376,0.022064800560474395,-0.11802384177373167,-0.016571821986291275,parent_b_only,0.022064800560474395,-0.0,-0.0,-0.0,False,keep_parent_b,composite_lost_to_parent,-0.002604172530118376,0.2
(*)|(LOC_14_EMAValueZone_Short==1)|(reg_ema50_gt_ema200_ts_bot60==0),(*)|(LOC_14_EMAValueZone_Short==1)|(reg_ema50_gt_ema200_ts_top60==1),1.0,1.0,1.0,1.0,1.0,1.0,parent_b_only,-3.0920192227230046e-05,-0.0006425730185583234,0.0173712819814682,-0.036990535254900855,0.0008358946961475353,0.2,parent_a_only,-3.0920192227230046e-05,-0.0006425730185583234,0.0173712819814682,-0.036990535254900855,0.0008358946961475353,parent_b_only,0.0173712819814682,-inf,-3.0920192227230046e-05,-3.0920192227230046e-05,False,keep_parent_b,composite_lost_to_parent,,0.0
(*)|(LOC_40_UpperQuartileOfRange==1)|(reg_ema20_gt_ema50_ts_bot20==1),(*)|(LOC_40_UpperQuartileOfRange==1)|(reg_ema20_gt_ema50_ts_top20==0),1.0,1.0,1.0,1.0,1.0,1.0,parent_b_only,0.007171222058104016,0.004517837401363067,0.015395358577370644,0.29345450959510316,0.024437252874384457,0.8,parent_a_only,0.007171222058104016,0.004517837401363067,0.015395358577370644,0.29345450959510316,0.024437252874384457,parent_b_only,0.015395358577370644,0.007171222058104016,0.007171222058104016,0.007171222058104016,False,keep_parent_b,composite_lost_to_parent,0.004517837401363067,0.8
(*)|(LOC_40_UpperQuartileOfRange==1)|(reg_price_lt_ema200_ts_bot80==0),(*)|(LOC_40_UpperQuartileOfRange==1)|(reg_price_lt_ema200_ts_top80==1),1.0,1.0,1.0,1.0,1.0000000000000002,1.0,parent_b_only,0.0037692777293418787,0.0032095125767227727,0.014368877932429313,0.22336556770930463,0.016874927357860912,1.0,parent_a_only,0.0037692777293418787,0.0032095125767227727,0.014368877932429313,0.22336556770930463,0.016874927357860912,parent_b_only,0.014368877932429313,0.0037692777293418787,0.0037692777293418787,0.0037692777293418787,False,keep_parent_b,composite_lost_to_parent,0.0032095125767227727,1.0
(*)|(LOC_50_AbovePriorHigh==1)|(reg_ema20_gt_ema50_ts_bot30==0),(*)|(LOC_50_AbovePriorHigh==1)|(reg_ema20_gt_ema50_ts_top30==1),1.0,1.0,1.0,1.0,1.0,1.0,parent_b_only,-0.0,-0.005570354481460526,0.029106081649661063,-0.1913811191938779,-0.011058878937177328,0.2,parent_a_only,-0.0,-0.005570354481460526,0.029106081649661063,-0.1913811191938779,-0.011058878937177328,parent_b_only,0.029106081649661063,-inf,-0.0,-0.0,False,keep_parent_b,composite_lost_to_parent,,0.0
(*)|(LOC_56_BelowLastSwingLow==1)|(reg_compression_score_ts_band30_70==0&reg_ema20_gt_ema50_ts_bot20==0),(*)|(LOC_56_BelowLastSwingLow==1)|(reg_compression_score_ts_band30_70==0),1.0,1.0,1.0,1.0,1.0,1.0,parent_b_only,-0.0,-0.001402625028276816,0.01745404303073883,-0.08036103874653062,-0.02602306541451096,0.25,parent_a_only,-0.0,-0.001402625028276816,0.01745404303073883,-0.08036103874653062,-0.02602306541451096,parent_b_only,0.01745404303073883,-inf,-0.0,-0.0,False,keep_parent_b,composite_lost_to_parent,,0.0
