regime_families_combo,count
trend|volatility,293
compression|trend,245
liquidity|trend,241
compression|trend|volatility,226
liquidity|trend|volatility,226
trend,208
momentum|trend,197
compression|liquidity|trend|volatility,166
compression|liquidity|trend,145
momentum|trend|volatility,134
liquidity|momentum|trend,119
trend|volatility_term_structure,117
liquidity|momentum|trend|volatility,115
liquidity|trend|volatility_term_structure,114
compression|momentum|trend|volatility,100
compression|momentum|trend,99
trend|volatility|volatility_term_structure,94
liquidity|trend|volatility|volatility_term_structure,92
momentum|trend|volatility_term_structure,83
compression|liquidity|momentum|trend|volatility,75
compression|liquidity|momentum|trend,71
compression,70
compression|trend|volatility_term_structure,69
compression|volatility,68
volatility,63
liquidity|volatility,63
liquidity|momentum|trend|volatility_term_structure,60
compression|liquidity|volatility,56
liquidity|volatility_term_structure,55
compression|liquidity|trend|volatility|volatility_term_structure,54
compression|trend|volatility|volatility_term_structure,53
compression|momentum,52
compression|liquidity|trend|volatility_term_structure,52
momentum,52
compression|liquidity,49
liquidity|momentum,46
momentum|trend|volatility|volatility_term_structure,43
compression|liquidity|momentum,40
liquidity,38
compression|momentum|volatility,38
compression|liquidity|momentum|volatility,35
compression|momentum|trend|volatility_term_structure,35
liquidity|momentum|volatility,32
compression|volatility_term_structure,31
volatility_term_structure,31
liquidity|volatility|volatility_term_structure,31
momentum|volatility_term_structure,30
momentum|volatility,30
compression|volatility|volatility_term_structure,30
volatility|volatility_term_structure,29
compression|liquidity|volatility_term_structure,27
compression|momentum|volatility_term_structure,25
liquidity|momentum|volatility_term_structure,23
liquidity|momentum|trend|volatility|volatility_term_structure,22
compression|liquidity|volatility|volatility_term_structure,21
compression|momentum|trend|volatility|volatility_term_structure,20
,20
compression|liquidity|momentum|trend|volatility_term_structure,14
momentum|volatility|volatility_term_structure,11
compression|momentum|volatility|volatility_term_structure,10
compression|liquidity|momentum|volatility_term_structure,10
liquidity|momentum|volatility|volatility_term_structure,6
compression|liquidity|momentum|volatility|volatility_term_structure,4
compression|liquidity|momentum|trend|volatility|volatility_term_structure,2
