stage_order,stage_name,gate_name,metric_name,threshold,input_count,rejected_count,passed_count
1,scorer,below_hurdle,hurdle_excess,> 0,4426,790,809
1,scorer,low_presence,presence_freq,>= 0.4000,4426,5,809
1,scorer,low_sign_consistency,sign_consistency,>= 0.7500,4426,2652,809
1,scorer,low_support,min_support_actual,>= 10,4426,2277,809
1,scorer,non_positive_directional_ret,directional_mean_ret,> 0,4426,0,809
2,pruner,beats_hurdle,hurdle_excess,> 0,634,18,14
2,pruner,dominated_by_parent,dominated_by_parent,must be False,634,4,14
2,pruner,is_too_broad,mean_support_pct,<= 0.2000,634,21,14
2,pruner,low_discovery_count,discovery_count,>= 2,634,592,14
2,pruner,low_sign_consistency,sign_consistency,>= 0.7500,634,10,14
3,mask_assessor,insufficient_baseline_oof_coverage,baseline_oof_coverage,>= 0.2500,14,0,0
3,mask_assessor,insufficient_subset_oof_coverage,subset_oof_coverage,>= 0.2500,14,0,0
3,mask_assessor,low_entropy_reduction,entropy_reduction,>= 0.0500,14,2,0
3,mask_assessor,low_lift,learn_eff_ratio,>= 1.1000,14,9,0
3,mask_assessor,low_sign_consistency,sign_consistency,>= 0.7500,14,0,0
3,mask_assessor,low_trades_per_day,avg_trades_per_day,>= 0.1000,14,0,0
3,mask_assessor,missing_learnability,learn_eff_ratio,must be finite,14,3,0
3,mask_assessor,not_assessed_min_mask_support,mask_support_count,>= 20 rows,14,0,0
