canonical_key,mean_net_ret,directional_mean_ret,std_net_ret,mean_within_fold_std,mean_support_pct,std_support_pct,presence_freq,presence_freq_units,sign_consistency,min_support_actual,mean_uplift,mean_baseline_ret,mean_oos_ic,p25_oos_ic,p50_oos_ic,p75_oos_ic,mean_delta_ic,positive_ic_fraction,composite_score,required_hurdle,hurdle_excess,n_folds,discovery_count,n_instances,display_arity,structural_depth,pipeline_stage,parent_context_key,side,rule_type,accepted,rejection_reason,dominant_parent_key,dominated_by_parent,preset,preset,preset,preset,is_too_broad,comp_bonus,beats_hurdle
(*)|(LOC_40_UpperQuartileOfRange==1)|(reg_ema20_gt_ema50_ts_bot20==1),0.004517837401363067,0.004517837401363067,0.005041859005991221,0.01613154951483011,0.015281557038545926,0.004597176700747488,1.0,1.0,0.8,13,,,0.024437252874384457,0.006317135103332273,0.01419398071896289,0.0425582110289083,,0.8,0.00044454961325300635,0.0006875988193815357,0.0038302385819815312,5,2,2,2,2,stage_a_context,,long,2-way,True,,,False,production,production,production,production,False,0.15,True
(*)|(LOC_112_AtBBUpper==1)|(reg_atr_change_rate_ts_top30==0&reg_bollinger_band_width_ts_band30_70==0),0.004251346457749605,0.004251346457749605,0.008091523453980516,0.024019208922982215,0.01464385428859533,0.006048290099137787,1.0,1.0,0.8,12,,,0.018834657845078474,0.013457759167643154,0.020891898230869756,0.031270651174374414,,0.8,0.00040826694785127177,0.0005784560139354872,0.003672890443814118,5,2,2,3,3,stage_a_context,,long,3-way,True,,,False,production,production,production,production,False,0.3,True
Composite((*)|(LOC_76_NearInitialBalanceHigh==1)|(reg_atr_change_rate_ts_top50==1&reg_volume_zscore_48h_ts_band25_75==1))_OR_((*)|(LOC_76_NearInitialBalanceHigh==1)|(reg_bollinger_band_width_ts_band30_70==0&reg_return_autocorr_48_ts_bot80==1&reg_volume_zscore_48h_ts_band25_75==1)),0.003737611186807044,0.003737611186807044,0.002003251805873138,0.02019873056560755,0.08452766418882285,0.007493189583292746,1.0,1.0,1.0,92,,,0.03789649632583404,0.016363350269688045,0.04847505696548211,0.048672564497252234,,1.0,0.0010844871838030015,0.0003095587436849308,0.0034280524431221132,5,2,2,4,7,ridge_composite,,long,composite,True,,,,production,production,production,production,False,0.1,True
(*)|(LOC_112_AtBBUpper==1)|(reg_trend_persistence_ts_top30==0),0.0034582856111228465,0.0034582856111228465,0.006889421685632263,0.01732299029827118,0.015598888263938505,0.003977682695050107,1.0,1.0,0.8,12,,,0.011153619032129216,0.02519213907346228,0.0292775644882054,0.02952629118056355,,0.8,0.000343175195757732,0.000680568904520146,0.0027777167066027003,5,2,2,2,2,stage_a_context,,long,2-way,True,,,False,production,production,production,production,False,0.15,True
(*)|(LOC_22_AtVWAP_Long==1)|(reg_return_autocorr_48_ts_bot80==0),0.0027798909315606577,0.0027798909315606577,0.002162178104007136,0.02106629088521004,0.04664135617611439,0.022801659292081312,1.0,1.0,1.0,19,,,0.022619607741499802,0.008181704844392205,0.017099843459911113,0.03601111022725224,,0.8,0.0005990669124395767,0.0003935802894886105,0.0023863106420720474,5,2,2,2,2,stage_a_context,,long,2-way,True,,,False,production,production,production,production,False,0.15,True
Composite((*)|(LOC_70_AboveSessionOpen==1)|(reg_bollinger_band_width_ts_bot80==0&reg_compression_score_ts_top40==0&reg_volume_zscore_48h_ts_band30_70==0))_OR_((*)|(LOC_76_NearInitialBalanceHigh==1)|(reg_compression_score_ts_bot60==1)),0.0025303041329607368,0.0025303041329607368,0.0015636691094807714,0.022974485531449318,0.16714475371043175,0.021549834279470905,1.0,1.0,0.8,171,,,0.028855706937717607,0.012867889030810556,0.037315047903326674,0.04846076923295812,,0.8,0.0008262862468614257,0.0002201385667605845,0.002310165566200152,5,2,2,4,6,ridge_composite,,long,composite,True,,,,production,production,production,production,False,0.1,True
Composite((*)|(LOC_76_NearInitialBalanceHigh==1)|(reg_atr_change_rate_ts_top50==0))_OR_((*)|(LOC_76_NearInitialBalanceHigh==1)|(reg_volatility_autocorr_48_ts_band20_80==1)),0.001724897837266326,0.001724897837266326,0.002712534640527725,0.02172853946685791,0.177335329796452,0.02290047266001503,1.0,1.0,0.8,171,,,0.01841952072920743,0.023325213114012217,0.04133868843674971,0.04751452525790293,,0.8,0.0005795281739037495,0.00020184653209581095,0.001523051305170515,5,3,3,2,4,composite,,long,composite,True,,,,production,production,production,production,False,0.15,True
(*)|(LOC_10_TouchMidEMA_Short==1)|(*),0.0016896017710678279,0.0016896017710678279,0.00140155681223417,0.022136672213673592,0.049824676081459754,0.007370061526984116,1.0,1.0,0.8,50,,,0.02056069775427078,0.01073345102185021,0.015638214106025394,0.031987847755760045,,1.0,0.0003012925012531467,0.00044799973594335956,0.0012416020351244683,5,3,3,1,1,stage_a_context,,long,1-way,True,,,False,production,production,production,production,False,0.0,True
Composite((*)|(LOC_113_AtBBLower==1)|(reg_ema50_gt_ema200_ts_band30_70==1&reg_volume_zscore_48h_ts_top30==1))_OR_((*)|(LOC_113_AtBBLower==1)|(reg_trend_persistence_ts_top20==1&reg_volatility_autocorr_48_ts_band25_75==0)),0.0014308115700259806,0.0014308115700259806,0.00289190116253329,0.021186582930386066,0.040273702932368545,0.011935954987380693,1.0,1.0,0.8,30,,,0.005145598968525796,-0.012670922583889122,-0.0010557654575027223,0.02773342361142958,,0.4,0.00022904936246067613,0.0003488086600696526,0.001082002909956328,5,2,2,3,6,ridge_composite,,long,composite,True,,,,production,production,production,production,False,0.3,True
(*)|(LOC_95_AbovePrevDayMid==1)|(reg_ema50_gt_ema200_ts_band40_60==0&reg_return_autocorr_48_ts_top80==1),0.0014231774326617596,0.0014231774326617596,0.003948520828639643,0.019305346161127092,0.029449984545145906,0.01773066827766163,1.0,1.0,0.8,11,,,0.013538733921597757,-0.009516806819084246,0.02671978838766111,0.028182300782714303,,0.6,0.00019461671018027938,0.00040790168975355935,0.0010152757429082002,5,2,2,3,3,stage_a_context,,long,3-way,True,,,False,production,production,production,production,False,0.3,True
Composite((*)|(LOC_10_TouchMidEMA_Short==1)|(reg_compression_score_ts_band30_70==0&reg_ema20_gt_ema50_ts_top20==1&reg_volume_zscore_48h_ts_band40_60==0))_OR_((*)|(LOC_10_TouchMidEMA_Short==1)|(reg_compression_score_ts_band30_70==0)),0.0013524602400138974,0.0013524602400138974,0.0021897715717006097,0.021317775174975396,0.030723236499804914,0.005295128897932709,1.0,1.0,0.8,27,,,0.010964664606946587,0.0037364281823351027,0.0069738790921298885,0.02731154863700896,,0.8,0.00018923349452750244,0.0005134628504825862,0.0008389973895313112,5,2,2,4,6,composite,,long,composite,True,,,,production,production,production,production,False,0.1,True
Composite((*)|(LOC_70_AboveSessionOpen==1)|(reg_atr_change_rate_ts_top30==1&reg_ema20_gt_ema50_ts_top30==0))_OR_((*)|(LOC_70_AboveSessionOpen==1)|(reg_compression_score_ts_top80==0&reg_ema20_gt_ema50_ts_top30==0&reg_return_autocorr_48_ts_band30_70==1&reg_volatility_autocorr_48_ts_top80==0)),0.000987219443777576,0.000987219443777576,0.002186486736723384,0.018253177218139172,0.11859712995758782,0.06444844514557799,1.0,1.0,0.8,51,,,-0.00018883624610826488,-0.018149118118110832,-0.006548313424348631,0.012311316273050515,,0.4,0.0002713889961052565,0.0002613397190068151,0.0007258797247707609,5,2,2,5,8,composite,,long,composite,True,,,,production,production,production,production,False,0.1,True
(*)|(LOC_07_TouchFastEMA_Long==1)|(reg_volatility_autocorr_48_ts_band30_70==1),0.0011502710171043874,0.0011502710171043874,0.003419054452338929,0.023887988924980164,0.03358745167191118,0.004219165239708475,1.0,1.0,0.8,36,,,0.006712013754534849,0.0011866191117147656,0.015002999807421544,0.03158510810884658,,0.8,0.0001680723790991072,0.00046379963064156223,0.0006864713864628252,5,2,2,2,2,stage_a_context,,long,2-way,True,,,False,production,production,production,production,False,0.15,True
Composite((*)|(LOC_90_AbovePrevDayHigh==1)|(reg_atr_change_rate_ts_bot50==1&reg_bollinger_band_width_ts_band25_75==0&reg_price_lt_ema200_ts_bot80==1&reg_return_autocorr_48_ts_band20_80==1&reg_volume_autocorr_48_ts_bot20==0))_OR_((*)|(LOC_90_AbovePrevDayHigh==1)|(reg_atr_change_rate_ts_top60==0&reg_price_lt_ema200_ts_top70==0&reg_return_autocorr_48_ts_band30_70==1)),0.000626095908228308,0.000626095908228308,0.0034090436541493623,0.027599149942398073,0.09535087585951792,0.013851474572091618,1.0,1.0,0.8,89,,,0.0028059927604558626,-0.025215127377209313,0.020805607945789693,0.02388074500314724,,0.6,0.00015413993974251153,0.0002914608090497261,0.0003346350991785819,5,2,2,6,10,composite,,long,composite,True,,,,production,production,production,production,False,0.1,True
