model,n,ic,auc,prec_at_10,u_ic,mae_ic,mfe_ic,dur_ic
long_mr_H2,7551,-0.03155388079881591,,,,,,
long_mr_H4,7551,0.04282442327481075,,,,,,
long_mr_H8,44443,0.06660326600045122,,,0.06660326600045122,,,
long_mr_clf,104878,0.06567379853498359,,,,,,
long_mr_early_inval,104878,-0.045064457438710494,,,,,,
long_tf_H2,5167,0.25082702609686813,,,,,,
long_tf_H4,5167,0.13293190508618424,,,,,,
long_tf_H8,13412,0.1532357502118087,,,,,,
long_tf_clf,52899,0.10130175616383445,,,,,,
long_tf_early_inval,52899,-0.06511352742127653,,,,,,
short_mr_H2,5167,0.17791769113542064,,,,,,
short_mr_H4,5167,0.15744611366855155,,,,,,
short_mr_H8,12212,0.12006228489689164,,,,,,
short_mr_clf,49786,0.10149791746975871,,,,,,
short_mr_early_inval,49786,-0.06178025813650835,,,,,,
short_tf_H2,7551,0.04164030197888932,,,,,,
short_tf_H4,7551,0.09839758119288955,,,,,,
short_tf_H8,44443,0.0669586066720005,,,0.0669586066720005,,,
short_tf_clf,105024,0.054980613471457225,,,0.01312474069883725,0.11418308105812126,0.06766124206424279,0.00893131229089834
short_tf_early_inval,105024,-0.03634657307476258,,,0.01312474069883725,0.11418308105812126,0.06766124206424279,0.00893131229089834
