dataset,side,kind,H,n,tp_pct,sl_pct,timeout_pct,bind,balance,tp_over_sl
train_long_mr_2,long,mr,2,44443,0.7087055329298202,0.18830862003015097,0.1029858470400288,0.8970141529599711,0.26570784519160556,3.7635320826861034
train_long_mr_4,long,mr,4,44443,0.7087055329298202,0.18830862003015097,0.1029858470400288,0.8970141529599711,0.26570784519160556,3.7635320826861034
train_long_mr_8,long,mr,8,44443,0.7087055329298202,0.18830862003015097,0.1029858470400288,0.8970141529599711,0.26570784519160556,3.7635320826861034
train_long_tf_2,long,tf,2,15256,0.7078526481384373,0.2224042999475616,0.06974305191400104,0.9302569480859989,0.31419575886656176,3.1827291482463895
train_long_tf_4,long,tf,4,15256,0.7078526481384373,0.2224042999475616,0.06974305191400104,0.9302569480859989,0.31419575886656176,3.1827291482463895
train_long_tf_8,long,tf,8,15256,0.7078526481384373,0.2224042999475616,0.06974305191400104,0.9302569480859989,0.31419575886656176,3.1827291482463895
train_short_mr_2,short,mr,2,15256,0.7078526481384373,0.2224042999475616,0.06974305191400104,0.9302569480859989,0.31419575886656176,3.1827291482463895
train_short_mr_4,short,mr,4,15256,0.7078526481384373,0.2224042999475616,0.06974305191400104,0.9302569480859989,0.31419575886656176,3.1827291482463895
train_short_mr_8,short,mr,8,15256,0.7078526481384373,0.2224042999475616,0.06974305191400104,0.9302569480859989,0.31419575886656176,3.1827291482463895
train_short_tf_2,short,tf,2,44443,0.7087055329298202,0.18830862003015097,0.1029858470400288,0.8970141529599711,0.26570784519160556,3.7635320826861034
train_short_tf_4,short,tf,4,44443,0.7087055329298202,0.18830862003015097,0.1029858470400288,0.8970141529599711,0.26570784519160556,3.7635320826861034
train_short_tf_8,short,tf,8,44443,0.7087055329298202,0.18830862003015097,0.1029858470400288,0.8970141529599711,0.26570784519160556,3.7635320826861034
