fold_id,seed,group,gain,split
0,42,location,31.59208,21.0
0,42,regime,23.944838,14.0
1,42,location,339.13516,489.0
1,42,regime,284.4555,413.0
2,42,location,148.83691,89.0
2,42,regime,151.56921,87.0
