canonical_key,display_arity,structural_depth,groups_used,regime_families_used,location_families_used,all_families_used
(*)|(dist_ema200_atr<=0.615049)|(ema50_slope>-1.6016079&true_range_percentile<=-0.56371677&volume_trend_48<=-1.0577788),4,4,location|regime,liquidity|trend|volatility,context,context|liquidity|trend|volatility
(*)|(dist_ema200_atr<=0.615049)|(efficiency_ratio_20>-1.0026497&ema50_slope>-1.6016079&true_range_percentile<=-0.56371677&volume_trend_48>-1.0577788),5,5,location|regime,liquidity|path_structure|trend|volatility,context,context|liquidity|path_structure|trend|volatility
(*)|(dist_ema200_atr<=0.615049&dist_range_mid_atr<=-0.305035&loc_bb_channel_pos_24<=-0.37813598)|(ema50_slope>-1.6016079&true_range_percentile>-0.56371677),5,5,location|regime,trend|volatility,compression|context,compression|context|trend|volatility
(*)|(dist_ema200_atr<=0.615049&dist_range_mid_atr>-0.305035&loc_bb_channel_pos_24<=-0.0068580341)|(ema50_slope>-1.6016079&true_range_percentile>-0.56371677&volatility_ratio_short_long>-0.26549253),6,6,location|regime,trend|volatility,compression|context,compression|context|trend|volatility
(*)|(dist_ema200_atr>0.615049&loc_initial_balance_pos_24<=1.2743636)|(ema50_slope>-1.6016079),3,3,location|regime,trend,context,context|trend
(*)|(dist_ema200_atr>0.615049&loc_initial_balance_pos_24>1.2743636)|(ema50_slope>-1.6016079),3,3,location|regime,trend,context,context|trend
(*)|(dist_ema50_atr>-1.7443497&dist_prior_day_high<=0.71902543&dist_range_mid_atr<=0.615049&loc_prior_bar_pos_24>0.3931331&loc_swing_range_pos_24>0.33962366)|(*),5,5,location,,context,context
(*)|(dist_ema50_atr>-1.7443497&dist_prior_day_high>0.71902543&dist_prior_day_low<=1.1464615&zscore_price_50<=1.242982)|(*),4,4,location,,context,context
(*)|(dist_ema50_atr>-1.7443497&dist_prior_day_high>0.71902543&zscore_price_50>1.242982)|(bollinger_band_width>1.3928763),4,4,location|regime,compression,context,compression|context
(*)|(loc_initial_balance_pos_48>-1.7443497)|(choppiness_index_20<=-1.1384138),2,2,location|regime,path_structure,context,context|path_structure
(*)|(dist_rolling_7d_high<=-0.60412878)|(choppiness_index_20>-1.1384138&up_down_return_mass_ratio_tanh>-1.0775248&variance_ratio_10_48<=0.71902543),4,4,location|regime,path_structure|volatility,context,context|path_structure|volatility
(*)|(dist_rolling_7d_high>-0.60412878&loc_bb_channel_pos_24<=-0.31374326)|(choppiness_index_20>-1.1384138&ema_slope_norm>-0.51823759&variance_ratio_10_48<=0.71902543),5,5,location|regime,path_structure|trend|volatility,compression|context,compression|context|path_structure|trend|volatility
(*)|(*)|(choppiness_index_20>-1.1384138&up_down_semivol_ratio_tanh<=1.0866529&up_down_semivol_ratio_tanh>0.74415958&variance_ratio_10_48>0.71902543),4,4,regime,path_structure|volatility,,path_structure|volatility
(*)|(*)|(choppiness_index_20>-1.1384138&up_down_semivol_ratio_tanh>1.0866529&variance_ratio_10_48>0.71902543),3,3,regime,path_structure|volatility,,path_structure|volatility
(*)|(loc_bb_channel_pos_24<=0.70187229&loc_bb_channel_pos_48<=-0.67945594&loc_prev_week_range_pos_24>-1.5794224&loc_swing_range_pos_48<=0.20745166)|(true_range_percentile<=-0.57116795&volume_zscore_48h<=0.2423265),6,6,location|regime,liquidity|volatility,compression|context,compression|context|liquidity|volatility
(*)|(dist_ma100_atr>0.29221848&loc_bb_channel_pos_24<=0.70187229&loc_initial_balance_pos_24>0.24922277&loc_prev_week_range_pos_24>-1.5794224)|(volume_zscore_48h>0.2423265),5,5,location|regime,liquidity,compression|context,compression|context|liquidity
(*)|(loc_bb_channel_pos_24>0.70187229&loc_prev_week_range_pos_24>-1.5794224)|(range_expansion_ratio<=1.9127398&return_autocorr_48>0.85203367),4,4,location|regime,momentum|volatility_term_structure,compression|context,compression|context|momentum|volatility_term_structure
(*)|(dist_rolling_7d_high<=0.70187229&loc_session_pos_48<=0.038709547)|(atr_compression_ratio>-1.4493812&bars_since_ema20_ema50_cross_log_norm<=-0.95261252&compression_ratio<=-0.23841751),5,5,location|regime,trend|volatility_term_structure,context,context|trend|volatility_term_structure
(*)|(dist_rolling_7d_high<=0.70187229&loc_session_pos_48<=0.038709547)|(atr_compression_ratio>-1.4493812&bars_since_ema20_ema50_cross_log_norm<=-0.40930668&bars_since_ema20_ema50_cross_log_norm>-0.95261252&compression_ratio<=-0.23841751),6,6,location|regime,trend|volatility_term_structure,context,context|trend|volatility_term_structure
(*)|(dist_rolling_7d_high<=0.70187229&loc_session_pos_48<=0.038709547)|(atr_compression_ratio>-1.4493812&bars_since_ema20_ema50_cross_log_norm>-0.40930668&compression_ratio<=-0.23841751),5,5,location|regime,trend|volatility_term_structure,context,context|trend|volatility_term_structure
(*)|(dist_rolling_7d_high<=0.70187229&loc_session_pos_48<=0.038709547)|(atr_compression_ratio>-1.4493812&compression_ratio>-0.23841751&rolling_range_20>-0.23081738),5,5,location|regime,compression|volatility_term_structure,context,compression|context|volatility_term_structure
(*)|(dist_rolling_7d_high<=0.70187229&distance_to_ema>0.074863024&loc_session_pos_48>0.038709547)|(atr_compression_ratio>-1.4493812&volume_percentile<=0.2423265),5,5,location|regime,liquidity|volatility_term_structure,context,context|liquidity|volatility_term_structure
