config_id,bucket,prod_admissible_tier0,tp_eff_p50_prod,tp_eff_p75_prod,tp_eff_p90_prod,tp_eff_tradeable_rule_p50,tp_eff_tradeable_rule_tail,tp_eff_tradeable_ok,tp_floor_bind_prod_agg,max_cell_tp_floor_bind_prod,tp_hit_agg,sl_to_tp_agg,tp_over_sl_median_cell,min_cell_auc_bound,min_cell_tp_sep,missing_cells
CFG4E480D167D,optuna_s2_refine_0,False,0.02800139971077442,0.05999999865889549,0.05999999865889549,True,True,True,0.41104665604862867,0.6272150931866789,0.21186784926282567,2.4231,1.8436,0.5964,0.03572,0
CFG4B85CC3C1F,optuna_s2_refine_0,False,0.026021502912044525,0.05999999865889549,0.05999999865889549,True,True,True,0.4199383800214073,0.6334734220561912,0.2407111726128172,1.8238,1.5078,0.5259,0.03069,0
CFGF55DCB1273,optuna_s2_refine_3,False,0.03125408664345741,0.05999999865889549,0.05999999865889549,True,True,True,0.23532855685401596,0.6151672694394213,0.24448154331292896,1.2094,1.105,0.4967,0.00862,0
CFG35A6C3DC8D,optuna_stage1,False,0.03676951676607132,0.05999999865889549,0.05999999865889549,True,True,True,0.22627691960762206,0.59941110991418,0.19701488330138686,2.0052,1.5908,0.4989,0.01673,0
CFGA7747CC1D6,optuna_stage1,False,0.04342557117342949,0.05999999865889549,0.05999999865889549,True,True,True,0.051711479588302925,0.08599713342888571,0.174361744864176,1.7387,1.4032,0.5004,0.02706,0
CFGFAC4CAC355,optuna_s2_refine_2,False,0.043982937932014465,0.05999999865889549,0.05999999865889549,True,True,True,0.0400676505116673,0.06843355754107687,0.14533066733852595,2.2126,1.6238,0.4937,0.01943,0
CFG00BD3190B8,optuna_stage1,False,0.023758763447403908,0.0415053628385067,0.05999999865889549,True,True,True,0.37732649939773294,0.6960226327175902,0.24578148125907376,2.078,1.6168,0.441,-0.00259,0
CFGE8A3F3F154,optuna_s2_refine_1,False,0.047517526894807816,0.05999999865889549,0.05999999865889549,True,True,True,0.044259554207698816,0.07091044674937293,0.16360051261305353,1.7579,1.4044,0.4891,0.00891,0
CFGC8F6871CD7,optuna_stage1,False,0.04661017283797264,0.05999999865889549,0.05999999865889549,True,True,True,0.033218085819195414,0.05594293242505061,0.14691377877837636,1.2311,1.1055,0.4982,0.02175,0
CFG4380DCD426,optuna_stage1,False,0.05105305835604668,0.05999999865889549,0.05999999865889549,True,True,True,0.03927783553515734,0.06266001886538203,0.1570014622478045,1.4693,1.2368,0.4935,0.00802,0
CFG396CDD5194,optuna_stage1,False,0.01880902238190174,0.05999999865889549,0.05999999865889549,True,True,True,0.5839693924148756,0.6688037469287469,0.24766970209793968,2.2392,1.7527,0.3849,-0.11206,3
CFG146DDD9E83,optuna_s2_refine_2,False,0.05240382440388203,0.05999999865889549,0.05999999865889549,True,True,True,0.027880221064937826,0.04716234921890449,0.1254410670634499,1.8596,1.4055,0.5048,0.02587,4
CFGAA4B9062F1,optuna_s2_refine_2,False,0.048807963728904724,0.05999999865889549,0.05999999865889549,True,True,True,0.0318198784259358,0.05428694528220594,0.13310227151541004,1.8449,1.4034,0.4977,0.01974,3
CFG3F6BAA3DCF,optuna_stage1,False,0.04349995777010918,0.05999999865889549,0.05999999865889549,True,True,True,0.029439374586417568,0.05091513080141821,0.14120281312999183,1.2345,1.1055,0.4923,0.01513,1
CFGAA81A8C6FE,optuna_s2_refine_4,False,0.023758763447403908,0.042856681160628796,0.05999999865889549,True,True,True,0.36618725729900764,0.6889305177111716,0.2972565798935711,1.1918,1.1063,0.4518,-0.01906,0
CFG4E95AE55F4,optuna_stage1,False,0.026661979034543037,0.05999999865889549,0.05999999865889549,True,True,True,0.4395055549473179,0.6219293660867617,0.22663455172018288,1.8261,1.4283,0.4482,-0.01139,3
CFGE254CAC633,optuna_stage1,False,0.026455575600266457,0.05999999865889549,0.05999999865889549,True,True,True,0.4399682132030987,0.6228083377229288,0.23556963624115865,1.616,1.3288,0.3885,-0.03634,3
CFG7B24427562,optuna_s2_refine_4,False,0.017504768446087837,0.05999999865889549,0.05999999865889549,True,True,True,0.5414535201221483,0.706952636282395,0.25662286714144017,1.7768,1.4702,0.4412,-0.02584,3
CFG822ADDBB32,optuna_stage1,False,0.018277553841471672,0.05999999865889549,0.05999999865889549,True,True,True,0.5282841484946459,0.7012390670553936,0.2928561601430832,1.207,1.1122,0.3543,-0.06276,3
