config_id,bucket,prod_admissible_tier0,tp_eff_p50_prod,tp_eff_p75_prod,tp_eff_p90_prod,tp_eff_tradeable_rule_p50,tp_eff_tradeable_rule_tail,tp_eff_tradeable_ok,tp_floor_bind_prod_agg,max_cell_tp_floor_bind_prod,tp_hit_agg,sl_to_tp_agg,tp_over_sl_median_cell,min_cell_auc_bound,min_cell_tp_sep,missing_cells
CFG2D058933B4,optuna_s2_refine_4,False,0.020364655181765556,0.03918322175741196,0.05999999865889549,True,True,True,0.39213816643787336,0.7128208754684958,0.26047193262345564,1.9723,1.5278,0.4317,0.00019,1
CFG76FB8B5E59,optuna_stage1,False,0.020364655181765556,0.05999999865889549,0.05999999865889549,True,True,True,0.3132840577744626,0.601037862771478,0.24842717539537232,1.6128,1.3685,0.4265,-0.01285,3
CFGFF047B8525,optuna_stage1,False,0.01779400371015072,0.05999999865889549,0.05999999865889549,True,True,True,0.5375652398032604,0.6998656365468593,0.24754612427242853,1.9689,1.5718,0.4174,-0.01222,3
CFG27B71D9F9C,optuna_s2_refine_0,False,0.03365824744105339,0.05999999865889549,0.05999999865889549,True,True,True,0.23458689020482454,0.6129338345315865,0.17850866324295533,3.1166,2.2518,0.583,0.02722,0
CFG409321255B,optuna_s2_refine_3,False,0.03606240823864937,0.05999999865889549,0.05999999865889549,True,True,True,0.22854826270097098,0.6041058887088061,0.1693001364526272,3.2767,2.3616,0.5717,0.02495,0
CFG17A5200BC4,optuna_s2_refine_0,False,0.03577956557273865,0.05999999865889549,0.05999999865889549,True,True,True,0.22943157430420658,0.6057272694485519,0.17034391691478562,3.2581,2.3503,0.5733,0.02553,0
CFG94F9735631,optuna_s2_refine_3,False,0.03800347074866295,0.05999999865889549,0.05999999865889549,True,True,True,0.2217644663493267,0.5911574586621906,0.17160790260752348,2.9015,2.2032,0.5283,0.02851,0
CFG5B98323ABE,optuna_s2_refine_3,False,0.03909917175769806,0.05999999865889549,0.05999999865889549,True,True,True,0.21785723283997413,0.5827110447336605,0.1564957406126911,3.5297,2.5233,0.5516,0.02435,0
CFGFFBBC4232E,optuna_s2_refine_4,False,0.02383328415453434,0.03393030911684036,0.05999999865889549,True,True,True,0.2807712062596988,0.7069273663139835,0.20977586169212947,2.7114,2.072,0.581,0.01345,0
CFGFB09B20D38,optuna_stage1,False,0.036400001496076584,0.05269819125533104,0.05999999865889549,True,True,True,0.04732592636582639,0.08906080767445458,0.1417118305778829,3.3641,2.2959,0.4811,0.01669,0
CFG025A5FEA5A,optuna_s2_refine_1,False,0.03959793969988823,0.05999999865889549,0.05999999865889549,True,True,True,0.19806454981637592,0.5468321600592813,0.20325417868103943,1.0379,1.0047,0.4893,0.00266,0
CFG426AFD386B,optuna_s2_refine_3,False,0.05152507685124874,0.05999999865889549,0.05999999865889549,True,True,True,0.02751290447910307,0.04519490930955006,0.15761225509241272,0.9016,0.9351,0.5115,0.0235,0
CFG5748DB09C2,optuna_s2_refine_1,False,0.0432748906314373,0.05999999865889549,0.05999999865889549,True,True,True,0.03540202198005814,0.054898773459435495,0.18934059825595534,0.9145,0.9287,0.5037,0.0119,0
CFGA6BD4B3C74,optuna_s2_refine_2,False,0.03871019184589386,0.05999999865889549,0.05999999865889549,True,True,True,0.04708798695435666,0.087968651413011,0.18832185090536985,1.0311,1.003,0.4936,0.01614,0
CFG83F897D542,optuna_s2_refine_1,False,0.0432748906314373,0.05999999865889549,0.05999999865889549,True,True,True,0.041650367029477414,0.0655640668523677,0.18827231516211426,1.0332,1.004,0.4794,0.00467,0
CFGD24DB649F0,optuna_s2_refine_1,False,0.050487373024225235,0.05999999865889549,0.05999999865889549,True,True,True,0.04021875484516611,0.06365690009777808,0.12394886323593668,4.3053,2.8812,0.5114,0.02385,3
CFGF911B27330,optuna_stage1,False,0.04560820758342743,0.05999999865889549,0.05999999865889549,True,True,True,0.03695528872907838,0.06269622605241237,0.11613640255126065,4.5645,2.9413,0.5141,0.02022,4
CFG7445862039,optuna_s2_refine_0,False,0.05371840298175812,0.05999999865889549,0.05999999865889549,True,True,True,0.03342838042484685,0.05374770236231193,0.10985988512490279,4.7475,2.9379,0.5058,0.01961,5
CFG196768B916,optuna_s2_refine_2,False,0.04630585014820099,0.05999999865889549,0.05999999865889549,True,True,True,0.03574264015974723,0.06017081987140527,0.13114188793635773,2.8202,1.9129,0.4919,0.0201,3
CFG62C9B61A6A,optuna_stage1,False,0.05999999865889549,0.05999999865889549,0.05999999865889549,True,True,True,0.1924415960305975,0.22595023907934192,0.15469919371511268,2.3725,1.5956,0.4255,-0.0268,4
CFG0C331BFAB8,optuna_stage1,False,0.05999999865889549,0.05999999865889549,0.05999999865889549,True,True,True,0.236233128564194,0.2881904563015558,0.16556575731554263,2.3301,1.577,0.3839,-0.04029,3
CFG5CFFE0DB0A,optuna_stage1,False,0.05939994007349014,0.05999999865889549,0.05999999865889549,True,True,True,0.018381384606033592,0.03209274710165307,0.10864213789330794,1.5352,1.2432,0.5107,0.01906,7
CFG3A89116080,optuna_stage1,False,0.05515427514910698,0.05999999865889549,0.05999999865889549,True,True,True,0.024465664663795697,0.040880931309142894,0.149778435945009,0.9066,0.9422,0.5047,0.01297,1
CFG6AFB76559A,optuna_stage1,False,0.05999999865889549,0.05999999865889549,0.05999999865889549,True,True,True,0.044615569726868004,0.06275067925993014,0.12000962579713632,0.9528,0.9493,0.4606,-0.03269,7
CFGFAE48179F7,optuna_s2_refine_4,False,0.05999999865889549,0.05999999865889549,0.05999999865889549,True,True,True,0.13970445265409295,0.17993405558172398,0.1756392183550457,0.9643,0.9565,0.4081,-0.05131,4
CFGD39B427CE1,optuna_stage1,False,0.031987085938453674,0.05999999865889549,0.05999999865889549,True,True,True,0.39055241152124337,0.5889868837630031,0.26302897204155756,0.9554,0.9334,0.3989,-0.05571,3
