base_atr_window,fee_pct,horizon_alpha,horizon_base,horizon_scaling,k_tp,max_timeout_rate,min_coverage_threshold,min_ess_events,min_keep_fraction,min_net_rr,min_raw_events,min_tp_hit_rate,mix_weight,mode,oof_auc_flip_enable,oof_auc_flip_threshold,prod_adm_floor_bind_agg_max,prod_adm_floor_bind_cell_max,prod_adm_tradeable_tp_min,prod_adm_tradeable_tp_min_hi,prod_adm_tradeable_tp_min_lo,prod_aligned_tp,prod_sl_tp_drop_on_violation,prod_sl_tp_pct_grid,prod_sl_tp_superiority_add,prod_sl_tp_wide_enable,prod_tp_abs_lo_pct,quantile_basis,quantile_hi,quantile_lo,rr_weight_power,sl_abs_hi_pct,sl_abs_lo_pct,sl_activation_minutes,sl_as_tp_pct,sl_method,sl_min_abs_pct,sl_min_bps,sl_mult_hi,sl_mult_lo,sl_noise_buffer,slip_buffer,tbm_prod_aligned_alpha,tbm_prod_aligned_base_horizon_hi,tbm_prod_aligned_base_horizon_lo,tbm_prod_aligned_fee_pct_total,tbm_prod_aligned_hard_min_tp,tbm_prod_aligned_inflate,tbm_prod_aligned_margin_mult,tbm_prod_aligned_q,tbm_prod_aligned_tp_enable,tbm_prod_aligned_worst_horizon,timeout_penalty,tp_abs_hi_pct,tp_abs_lo_pct,tp_abs_pct,tp_anchor,tp_base_pct,tp_hit_weight,tp_method,tp_min_abs_pct,tp_min_bps,tp_mult_hi,tp_mult_lo,tp_regime_model,tp_side_skew,tp_time_decay,trail_sl_mult,use_quantile_filter,weighting_scheme,cell_key,bucket,horizon,config_id,rank_in_cell,cell_auc,cell_auc_bound,cell_tp_sep,cell_ap_lift,cell_ece,cell_brier,cell_bind,cell_timeout,cell_ic_std_time,cell_ic_std_asset,stage2_score,cell_score,market_mode
840,0.5,0.5,4,sqrt,1.102973,0.0,0.2,30,0.5,0.4,50,0.1,0.5,optuna_s1_TF_long_H10,True,0.5,0.2,0.35,0.015,0.022,0.012,"{'alpha': 0.45, 'atr_q': 0.013918, 'atr_quantiles': {'q50': 0.018548, 'q75': 0.029505, 'q90': 0.081109}, 'fee_pct_total': 0.003, 'margin_mult': 4.0, 'q': 0.25, 's_base': 0.866025, 'scaling': {'s10': 1.581139, 's3': 0.866025, 's5': 1.118034}, 'tp_abs_lo_pct_final': 0.02, 'tp_abs_lo_pre_override': 0.005, 'tp_atr_anchor': 0.006263, 'tp_base_pct_final': 0.012965, 'tp_base_pre_override': 0.012965, 'tp_eff_bands': {'H10': [0.01825741858350554, 0.07302967433402216], 'H3': [0.01, 0.04], 'H5': [0.012909944487358058, 0.05163977794943223]}, 'tp_eff_targets': {'H10': 0.040166, 'H3': 0.022, 'H5': 0.028402}, 'tp_min_tradeable': 0.02, 'worst_horizon': 3}",True,"[0.2, 0.25, 0.3, 0.35, 0.4, 0.5, 0.6, 0.75, 0.9, 1.0, 1.25]",0.0075,True,0.02,composite,0.8,0.2,1.0,0.06,0.005,0,0.75,tp_pct,0.01,100,2.0,0.3,True,0.1,0.45,0.04,0.01,0.003,0.02,1.1,4.0,0.25,True,3,0.5,0.06,0.005,0.012965,0.0143,0.012965,0.5,atr_norm,0.005,50,3.0,0.5,none,0.0,none,0.0,False,combined,long_H10,MR_long,H10,CFGAD67088D9C,1,,,,,,,,,,,,-inf,perps
840,0.5,0.5,4,sqrt,1.102973,0.0,0.2,30,0.5,0.4,50,0.1,0.5,optuna_s1_TF_long_H10,True,0.5,0.2,0.35,0.015,0.022,0.012,"{'alpha': 0.45, 'atr_q': 0.013918, 'atr_quantiles': {'q50': 0.018548, 'q75': 0.029505, 'q90': 0.081109}, 'fee_pct_total': 0.003, 'margin_mult': 4.0, 'q': 0.25, 's_base': 0.866025, 'scaling': {'s10': 1.581139, 's3': 0.866025, 's5': 1.118034}, 'tp_abs_lo_pct_final': 0.02, 'tp_abs_lo_pre_override': 0.005, 'tp_atr_anchor': 0.006263, 'tp_base_pct_final': 0.012965, 'tp_base_pre_override': 0.012965, 'tp_eff_bands': {'H10': [0.01825741858350554, 0.07302967433402216], 'H3': [0.01, 0.04], 'H5': [0.012909944487358058, 0.05163977794943223]}, 'tp_eff_targets': {'H10': 0.040166, 'H3': 0.022, 'H5': 0.028402}, 'tp_min_tradeable': 0.02, 'worst_horizon': 3}",True,"[0.2, 0.25, 0.3, 0.35, 0.4, 0.5, 0.6, 0.75, 0.9, 1.0, 1.25]",0.0075,True,0.02,composite,0.8,0.2,1.0,0.06,0.005,0,0.75,tp_pct,0.01,100,2.0,0.3,True,0.1,0.45,0.04,0.01,0.003,0.02,1.1,4.0,0.25,True,3,0.5,0.06,0.005,0.012965,0.0143,0.012965,0.5,atr_norm,0.005,50,3.0,0.5,none,0.0,none,0.0,False,combined,long_H5,MR_long,H5,CFGAD67088D9C,1,,,,,,,,,,,,-inf,perps
840,0.5,0.5,4,sqrt,1.102973,0.0,0.2,30,0.5,0.4,50,0.1,0.5,optuna_s1_TF_long_H10,True,0.5,0.2,0.35,0.015,0.022,0.012,"{'alpha': 0.45, 'atr_q': 0.013918, 'atr_quantiles': {'q50': 0.018548, 'q75': 0.029505, 'q90': 0.081109}, 'fee_pct_total': 0.003, 'margin_mult': 4.0, 'q': 0.25, 's_base': 0.866025, 'scaling': {'s10': 1.581139, 's3': 0.866025, 's5': 1.118034}, 'tp_abs_lo_pct_final': 0.02, 'tp_abs_lo_pre_override': 0.005, 'tp_atr_anchor': 0.006263, 'tp_base_pct_final': 0.012965, 'tp_base_pre_override': 0.012965, 'tp_eff_bands': {'H10': [0.01825741858350554, 0.07302967433402216], 'H3': [0.01, 0.04], 'H5': [0.012909944487358058, 0.05163977794943223]}, 'tp_eff_targets': {'H10': 0.040166, 'H3': 0.022, 'H5': 0.028402}, 'tp_min_tradeable': 0.02, 'worst_horizon': 3}",True,"[0.2, 0.25, 0.3, 0.35, 0.4, 0.5, 0.6, 0.75, 0.9, 1.0, 1.25]",0.0075,True,0.02,composite,0.8,0.2,1.0,0.06,0.005,0,0.75,tp_pct,0.01,100,2.0,0.3,True,0.1,0.45,0.04,0.01,0.003,0.02,1.1,4.0,0.25,True,3,0.5,0.06,0.005,0.012965,0.0143,0.012965,0.5,atr_norm,0.005,50,3.0,0.5,none,0.0,none,0.0,False,combined,short_H10,MR_short,H10,CFGAD67088D9C,1,,,,,,,,,,,,-inf,perps
840,0.5,0.5,4,sqrt,1.102973,0.0,0.2,30,0.5,0.4,50,0.1,0.5,optuna_s1_TF_long_H10,True,0.5,0.2,0.35,0.015,0.022,0.012,"{'alpha': 0.45, 'atr_q': 0.013918, 'atr_quantiles': {'q50': 0.018548, 'q75': 0.029505, 'q90': 0.081109}, 'fee_pct_total': 0.003, 'margin_mult': 4.0, 'q': 0.25, 's_base': 0.866025, 'scaling': {'s10': 1.581139, 's3': 0.866025, 's5': 1.118034}, 'tp_abs_lo_pct_final': 0.02, 'tp_abs_lo_pre_override': 0.005, 'tp_atr_anchor': 0.006263, 'tp_base_pct_final': 0.012965, 'tp_base_pre_override': 0.012965, 'tp_eff_bands': {'H10': [0.01825741858350554, 0.07302967433402216], 'H3': [0.01, 0.04], 'H5': [0.012909944487358058, 0.05163977794943223]}, 'tp_eff_targets': {'H10': 0.040166, 'H3': 0.022, 'H5': 0.028402}, 'tp_min_tradeable': 0.02, 'worst_horizon': 3}",True,"[0.2, 0.25, 0.3, 0.35, 0.4, 0.5, 0.6, 0.75, 0.9, 1.0, 1.25]",0.0075,True,0.02,composite,0.8,0.2,1.0,0.06,0.005,0,0.75,tp_pct,0.01,100,2.0,0.3,True,0.1,0.45,0.04,0.01,0.003,0.02,1.1,4.0,0.25,True,3,0.5,0.06,0.005,0.012965,0.0143,0.012965,0.5,atr_norm,0.005,50,3.0,0.5,none,0.0,none,0.0,False,combined,short_H5,MR_short,H5,CFGAD67088D9C,1,,,,,,,,,,,,-inf,perps
