name,family,z_hours,param,duration_hours,conditioner_mode,total_events,active_days_fraction,events_per_day_mean,events_per_day_std,events_per_day_per_asset,bars_to_peak_dispersion,speed_dispersion,monotonicity_dispersion,impulse_shape_dispersion,post_event_vol_dispersion,regime_distinctness_score,fold_base_rate_stability,fold_continuation_rate_std,fold_event_count_std,basic_directionality_edge_event_vs_non_event,primary_predictability_gain,continuation_predictability_gain,reversal_predictability_gain,bucket_primary_delta_fold_mean,bucket_primary_delta_fold_std,bucket_primary_delta_fold_count,bucket_primary_delta_fold_min,MAE_predictability_gain,MFE_predictability_gain,reversal_utility_gain,mae_event_oos_r2,mfe_event_oos_r2,magnitude_delta_r,magnitude_positive_fold_fraction,magnitude_stability_score,magnitude_fold_count,magnitude_delta_fold_mean,magnitude_delta_fold_std,selected_delta_metric,incremental_information_delta_auc,incremental_information_delta_auc_fold_mean,incremental_information_delta_auc_fold_std,incremental_information_positive_fold_fraction,incremental_information_positive_fold_count,incremental_information_fold_count,dispersion_to_edge_ratio,edge_to_dispersion_ratio,return_uplift,primary_predictability_gain_is_nan,predictability_gain,D_r,N_r,bucket_primary_predictability_gain,delta_r_raw,delta_r_fallback,delta_r,delta_r_fold_mean,delta_r_fold_std,positive_fold_fraction_r,S_r,delta_r_shrunk,uplift_anchor,primary_multiplier,worst_fold_multiplier,noise_penalty,disagreement_penalty,learnability_support,effective_edge,score_r,score_ml,feature_learnability_gain,feature_positive_fold_fraction,top_feature_lifts,conditional_predictability_gain,conditional_predictability_positive_fold_fraction,conditional_predictability_regime_r2,conditional_predictability_baseline_r2,feature_conditioned_spread,economic_gain_r,geometry_weighted_mfe_coverage,fixed_tp_mfe_coverage,aggregate_mfe_coverage,per_geometry_metrics,tbm_lgbm_auc_regime,tbm_lgbm_auc_baseline,tbm_lgbm_auc_lift_vs_baseline,tbm_lgbm_top_bucket_lift_vs_baseline,tbm_lgbm_positive_fold_fraction,tbm_lgbm_stability,tbm_lgbm_selected_geometry,coverage_multiplier,predictability_anchor,predictability_positive_multiplier,spread_multiplier,difference_prior,tbm_auc_support,tbm_lift_support,score_ml_trading,shortlist_score,decision,regime_id,regime_definition,rationale
"std_plus_abs|z=6|p=(1.6, 4.0)|d=2",std_plus_abs,6,"(1.6, 4.0)",2,none,3243,1.0,216.2,144.07090846755517,0.9161016949152543,1.5631542205810547,0.02126290090382099,0.37217333912849426,1.95659046061337,0.25505807995796204,0.8712747514263844,0.0932135060429573,0.0932135060429573,176.61013793945312,0.006719727534800768,0.06596266752947688,0.07381801698927692,0.07381801698927704,0.0,0.0,6.0,0.0,0.00814195749690616,0.008650327284039472,0.027787753500823298,-0.0027336090795895274,-0.0025835800835687373,-0.0025835800835687373,0.0,0.0,9.0,-0.01305246353149414,0.01631196402013302,return_uplift,0.03539899785928968,0.02158622443675995,0.04139101505279541,0.6666666666666666,6.0,9.0,291.17110038768567,0.003434406775495678,0.006719727534800768,0.0,0.07381801698927704,-0.054859765,3243.0,0.07381802,0.0067197275,0.017699499,0.0067197275,0.0,0.0,0.6666667,0.8333333,0.005822088,0.005822088,1.6280444,1.0,6.6773396,1.0,0.035398997,0.007898848,0.0022297997,0.0024776957,0.0,0.0,,0.072712936,0.8333333,-0.017835192,-0.09054813,0.0,0.027466469,0.015691822,0.017707663,0.015691822,"[{'tp_atr': 1.25, 'sl_atr': 0.5, 'tp_first_rate_g': 0.0103026400515132, 'sl_first_rate_g': 0.008048937540244688, 'timeout_rate_g': 0.9816484224082421, 'trade_opportunity_rate_g': 0.018351577591757887, 'ev_net_per_trade_g': 0.4794561403508772, 'lift_g': 0.26589968053399016, 'mfe_coverage_g': 0.017707662588538314, 'mae_breach_pressure_g': 0.014166130070830651, 'econ_stability_g': 0.3347013998290815, 'geometry_score_g': 0.01642660368676914, 'ev_net_per_trade_g_fold': [0.7085384615384615, 0.33033333333333326, 0.3303333333333333, 0.0, 0.0, 1.2469999999999999], 'lift_g_fold': [0.5769775550228806, 0.000535905680600246, 0.07317708333333334, -0.27870028818443804, -0.317, 1.1489361702127658], 'trade_opportunity_rate_g_fold': [0.02155887230514096, 0.036020583190394515, 0.03677758318739054, 0.0, 0.0, 0.008680555555555556]}, {'tp_atr': 1.5, 'sl_atr': 0.6, 'tp_first_rate_g': 0.009336767546683838, 'sl_first_rate_g': 0.008048937540244688, 'timeout_rate_g': 0.9826142949130715, 'trade_opportunity_rate_g': 0.017385705086928528, 'ev_net_per_trade_g': 0.5247777777777777, 'lift_g': 0.2653777777777777, 'mfe_coverage_g': 0.015775917578879587, 'mae_breach_pressure_g': 0.013844172569220863, 'econ_stability_g': 0.33580694591693167, 'geometry_score_g': 0.016455810479773045, 'ev_net_per_trade_g_fold': [0.8669999999999998, 0.39699999999999996, 0.397, 0.0, 0.0, 1.4969999999999999], 'lift_g_fold': [0.7465243902439022, 0.037209302325581284, 0.12045454545454554, -0.3875660377358491, -0.447, 1.3956521739130434], 'trade_opportunity_rate_g_fold': [0.01658374792703151, 0.036020583190394515, 0.03677758318739054, 0.0, 0.0, 0.008680555555555556]}, {'tp_atr': 1.75, 'sl_atr': 0.7, 'tp_first_rate_g': 0.009336767546683838, 'sl_first_rate_g': 0.008048937540244688, 'timeout_rate_g': 0.9826142949130715, 'trade_opportunity_rate_g': 0.017385705086928528, 'ev_net_per_trade_g': 0.6127407407407407, 'lift_g': 0.32076257480187603, 'mfe_coverage_g': 0.015453960077269801, 'mae_breach_pressure_g': 0.013844172569220863, 'econ_stability_g': 0.33594055095629954, 'geometry_score_g': 0.019471419016271117, 'ev_net_per_trade_g_fold': [1.0119999999999998, 0.46366666666666684, 0.4636666666666667, 0.0, 0.0, 1.747], 'lift_g_fold': [0.8529629629629627, 0.049268018018018056, 0.16402640264026402, -0.4579477124183006, -0.5337412140575081, 1.64874213836478], 'trade_opportunity_rate_g_fold': [0.01658374792703151, 0.036020583190394515, 0.03677758318739054, 0.0, 0.0, 0.008680555555555556]}, {'tp_atr': 2.0, 'sl_atr': 0.9, 'tp_first_rate_g': 0.009980682549903412, 'sl_first_rate_g': 0.007405022537025113, 'timeout_rate_g': 0.9826142949130715, 'trade_opportunity_rate_g': 0.017385705086928525, 'ev_net_per_trade_g': 0.7618148148148147, 'lift_g': 0.454422991986876, 'mfe_coverage_g': 0.014810045074050225, 'mae_breach_pressure_g': 0.013200257566001287, 'econ_stability_g': 0.3333333333333333, 'geometry_score_g': 0.02633497987387666, 'ev_net_per_trade_g_fold': [1.1269999999999998, 0.47795238095238096, 0.4779523809523809, 0.0, 0.0, 1.9969999999999999], 'lift_g_fold': [1.0173015873015872, 0.042490842490842506, 0.1991030658838877, -0.5665945945945946, -0.6823333333333335, 1.9493377483443708], 'trade_opportunity_rate_g_fold': [0.01658374792703151, 0.036020583190394515, 0.03677758318739054, 0.0, 0.0, 0.008680555555555556]}, {'tp_atr': 2.5, 'sl_atr': 1.1, 'tp_first_rate_g': 0.009658725048293626, 'sl_first_rate_g': 0.006117192530585963, 'timeout_rate_g': 0.9842240824211204, 'trade_opportunity_rate_g': 0.01577591757887959, 'ev_net_per_trade_g': 1.101081632653061, 'lift_g': 0.7374149659863944, 'mfe_coverage_g': 0.014488087572440437, 'mae_breach_pressure_g': 0.011912427559562138, 'econ_stability_g': 0.39597032773886937, 'geometry_score_g': 0.0468723499939052, 'ev_net_per_trade_g_fold': [1.2970000000000002, 1.0146470588235292, 1.0146470588235295, 0.0, 0.0, 2.497], 'lift_g_fold': [1.1806451612903228, 0.5336470588235293, 0.7106048053024028, -0.6255198555956677, -0.7741428571428571, 2.457337883959044], 'trade_opportunity_rate_g_fold': [0.014925373134328358, 0.029159519725557463, 0.0297723292469352, 0.0, 0.0, 0.008680555555555556]}]",0.5,0.5,0.0,0.0,0.0,0.0,tp=1.25|sl=0.50,0.83844334,0.072712936,0.9583333,1.0,0.85033447,0.0,0.0,0.00051935186,0.00051935186,ranked,"std_plus_abs|z=6|p=(1.6, 4.0)|d=2","std_plus_abs|z=6|p=(1.6, 4.0)|d=2",positive bucket OOS delta_r=0.0067; shrunk delta=0.0058; stability=0.833; positive-fold fraction=0.667; delta-auc=0.0354; delta-auc positive folds=0.667; dispersion/edge=291.171; dispersion=-0.055
"std_plus_abs|z=6|p=(1.5, 4.0)|d=2",std_plus_abs,6,"(1.5, 4.0)",2,none,3285,1.0,219.0,144.36527745040817,0.9279661016949152,1.563978910446167,0.021177023649215698,0.3746967613697052,1.959852695465088,0.2534976601600647,0.8746350323635966,0.09487225860357285,0.09487225860357285,179.45721435546875,0.00654476135969162,0.06497033315817213,0.074389988520279,0.074389988520279,0.0,0.0,6.0,0.0,0.008185315675515392,0.008690615281682579,0.030760654263394915,-0.0026902509009802955,-0.0025432920859256303,-0.0025432920859256303,0.0,0.0,9.0,-0.012135895900428295,0.014076605439186096,return_uplift,0.036330938739640994,0.022301292046904564,0.042102131992578506,0.6666666666666666,6.0,9.0,299.4536527390562,0.003339414934007833,0.00654476135969162,0.0,0.074389988520279,0.01777651,3285.0,0.07438999,0.0065447614,0.01816547,0.0065447614,0.0,0.0,0.6666667,0.8333333,0.0056801955,0.0056801955,1.6314956,1.0,6.7052937,1.0,0.03633094,0.0077226786,0.0021978132,0.0024289354,0.0,0.0,,0.07123845,0.8333333,-0.019309675,-0.09054813,0.0,0.027289722,0.015492308,0.017482517,0.015492308,"[{'tp_atr': 1.25, 'sl_atr': 0.5, 'tp_first_rate_g': 0.010171646535282899, 'sl_first_rate_g': 0.007946598855689765, 'timeout_rate_g': 0.9818817546090274, 'trade_opportunity_rate_g': 0.018118245390972662, 'ev_net_per_trade_g': 0.4794561403508773, 'lift_g': 0.26589968053399027, 'mfe_coverage_g': 0.017482517482517484, 'mae_breach_pressure_g': 0.013986013986013986, 'econ_stability_g': 0.3347013998290815, 'geometry_score_g': 0.01632012972685011, 'ev_net_per_trade_g_fold': [0.7085384615384616, 0.3303333333333333, 0.33033333333333337, 0.0, 0.0, 1.2469999999999999], 'lift_g_fold': [0.5769775550228807, 0.000535905680600135, 0.07317708333333345, -0.27870028818443804, -0.31700000000000006, 1.1489361702127658], 'trade_opportunity_rate_g_fold': [0.021035598705501618, 0.03559322033898305, 0.03633217993079585, 0.0, 0.0, 0.00859106529209622]}, {'tp_atr': 1.5, 'sl_atr': 0.6, 'tp_first_rate_g': 0.009218054672600126, 'sl_first_rate_g': 0.007946598855689765, 'timeout_rate_g': 0.9828353464717101, 'trade_opportunity_rate_g': 0.017164653528289893, 'ev_net_per_trade_g': 0.5247777777777777, 'lift_g': 0.26537777777777766, 'mfe_coverage_g': 0.015575333757151939, 'mae_breach_pressure_g': 0.013668150031786395, 'econ_stability_g': 0.33580694591693167, 'geometry_score_g': 0.016349331341671283, 'ev_net_per_trade_g_fold': [0.8669999999999998, 0.397, 0.397, 0.0, 0.0, 1.4969999999999999], 'lift_g_fold': [0.7465243902439022, 0.03720930232558134, 0.12045454545454548, -0.3875660377358491, -0.44700000000000006, 1.3956521739130434], 'trade_opportunity_rate_g_fold': [0.016181229773462785, 0.03559322033898305, 0.03633217993079585, 0.0, 0.0, 0.00859106529209622]}, {'tp_atr': 1.75, 'sl_atr': 0.7, 'tp_first_rate_g': 0.009218054672600126, 'sl_first_rate_g': 0.007946598855689765, 'timeout_rate_g': 0.9828353464717101, 'trade_opportunity_rate_g': 0.017164653528289893, 'ev_net_per_trade_g': 0.6127407407407406, 'lift_g': 0.3207625748018759, 'mfe_coverage_g': 0.015257469802924348, 'mae_breach_pressure_g': 0.013668150031786395, 'econ_stability_g': 0.33594055095629954, 'geometry_score_g': 0.019345706875834263, 'ev_net_per_trade_g_fold': [1.0119999999999998, 0.46366666666666667, 0.4636666666666667, 0.0, 0.0, 1.747], 'lift_g_fold': [0.8529629629629627, 0.04926801801801817, 0.16402640264026408, -0.4579477124183006, -0.5337412140575081, 1.64874213836478], 'trade_opportunity_rate_g_fold': [0.016181229773462785, 0.03559322033898305, 0.03633217993079585, 0.0, 0.0, 0.00859106529209622]}, {'tp_atr': 2.0, 'sl_atr': 0.9, 'tp_first_rate_g': 0.009853782581055308, 'sl_first_rate_g': 0.007310870947234584, 'timeout_rate_g': 0.9828353464717101, 'trade_opportunity_rate_g': 0.017164653528289893, 'ev_net_per_trade_g': 0.7618148148148146, 'lift_g': 0.4544229919868759, 'mfe_coverage_g': 0.014621741894469168, 'mae_breach_pressure_g': 0.013032422123331213, 'econ_stability_g': 0.3333333333333333, 'geometry_score_g': 0.02616542651000108, 'ev_net_per_trade_g_fold': [1.127, 0.4779523809523808, 0.47795238095238096, 0.0, 0.0, 1.997], 'lift_g_fold': [1.0173015873015872, 0.04249084249084245, 0.19910306588388782, -0.5665945945945945, -0.6823333333333333, 1.949337748344371], 'trade_opportunity_rate_g_fold': [0.016181229773462785, 0.03559322033898305, 0.03633217993079585, 0.0, 0.0, 0.00859106529209622]}, {'tp_atr': 2.5, 'sl_atr': 1.1, 'tp_first_rate_g': 0.009535918626827717, 'sl_first_rate_g': 0.006039415130324221, 'timeout_rate_g': 0.9844246662428481, 'trade_opportunity_rate_g': 0.015575333757151939, 'ev_net_per_trade_g': 1.101081632653061, 'lift_g': 0.7374149659863944, 'mfe_coverage_g': 0.014303877940241577, 'mae_breach_pressure_g': 0.011760966306420852, 'econ_stability_g': 0.39597032773886937, 'geometry_score_g': 0.04657176509558454, 'ev_net_per_trade_g_fold': [1.297, 1.0146470588235292, 1.0146470588235295, 0.0, 0.0, 2.497], 'lift_g_fold': [1.1806451612903226, 0.5336470588235294, 0.7106048053024026, -0.6255198555956676, -0.7741428571428571, 2.457337883959044], 'trade_opportunity_rate_g_fold': [0.014563106796116504, 0.0288135593220339, 0.029411764705882353, 0.0, 0.0, 0.00859106529209622]}]",0.5,0.5,0.0,0.0,0.0,0.0,tp=1.25|sl=0.50,0.8309616,0.07123845,0.9583333,1.0,0.8503297,0.0,0.0,0.000504588,0.000504588,ranked,"std_plus_abs|z=6|p=(1.5, 4.0)|d=2","std_plus_abs|z=6|p=(1.5, 4.0)|d=2",positive bucket OOS delta_r=0.0065; shrunk delta=0.0057; stability=0.833; positive-fold fraction=0.667; delta-auc=0.0363; delta-auc positive folds=0.667; dispersion/edge=299.454; dispersion=0.018
"std_plus_abs|z=6|p=(1.4, 4.0)|d=2",std_plus_abs,6,"(1.4, 4.0)",2,none,3324,1.0,221.6,145.33492353870076,0.9389830508474576,1.5663878917694092,0.021149350330233574,0.3746136724948883,1.962150914594531,0.2520870864391327,0.8728069706723212,0.09288699179887772,0.09288699179887772,181.21664428710938,0.006417970638722181,0.06186444469540997,0.07086151910609972,0.07086151910609972,0.0,0.0,6.0,0.0,0.008222481651009472,0.00872544303740952,0.02865552922406467,-0.0026530849254862154,-0.0025084643301986898,-0.0025084643301986898,0.0,0.01926339920587683,9.0,-0.010495111346244812,0.01009076926857233,return_uplift,0.03662879962089538,0.022252552211284637,0.04173753038048744,0.6666666666666666,6.0,9.0,305.7276240492736,0.0032708853284348026,0.006417970638722181,0.0,0.07086151910609972,-0.06534069,3324.0,0.07086152,0.0064179706,0.0183144,0.0064179706,0.0,0.0,0.6666667,0.8333333,0.0055788006,0.0055788006,1.6098077,1.0,6.7259603,1.0,0.0366288,0.0074839965,0.0021316274,0.0023627582,0.0,0.0,,0.07204399,0.8333333,-0.018504137,-0.09054813,0.0,0.027124936,0.015307413,0.01727387,0.015307413,"[{'tp_atr': 1.25, 'sl_atr': 0.5, 'tp_first_rate_g': 0.010050251256281407, 'sl_first_rate_g': 0.007851758793969849, 'timeout_rate_g': 0.9820979899497487, 'trade_opportunity_rate_g': 0.017902010050251257, 'ev_net_per_trade_g': 0.4794561403508772, 'lift_g': 0.26589968053399005, 'mfe_coverage_g': 0.017273869346733667, 'mae_breach_pressure_g': 0.013819095477386936, 'econ_stability_g': 0.3347013998290815, 'geometry_score_g': 0.016220873200728445, 'ev_net_per_trade_g_fold': [0.7085384615384616, 0.3303333333333334, 0.3303333333333333, 0.0, 0.0, 1.247], 'lift_g_fold': [0.5769775550228808, 0.000535905680600357, 0.07317708333333334, -0.2787002881844379, -0.31700000000000006, 1.148936170212766], 'trade_opportunity_rate_g_fold': [0.02073365231259968, 0.0347682119205298, 0.03547297297297297, 0.0, 0.0, 0.008561643835616438]}, {'tp_atr': 1.5, 'sl_atr': 0.6, 'tp_first_rate_g': 0.009108040201005025, 'sl_first_rate_g': 0.007851758793969849, 'timeout_rate_g': 0.9830402010050251, 'trade_opportunity_rate_g': 0.01695979899497487, 'ev_net_per_trade_g': 0.5247777777777779, 'lift_g': 0.26537777777777793, 'mfe_coverage_g': 0.015389447236180905, 'mae_breach_pressure_g': 0.01350502512562814, 'econ_stability_g': 0.33580694591693167, 'geometry_score_g': 0.01625006685465582, 'ev_net_per_trade_g_fold': [0.8670000000000001, 0.39700000000000013, 0.397, 0.0, 0.0, 1.497], 'lift_g_fold': [0.7465243902439026, 0.03720930232558156, 0.12045454545454548, -0.38756603773584913, -0.4470000000000001, 1.3956521739130436], 'trade_opportunity_rate_g_fold': [0.01594896331738437, 0.0347682119205298, 0.03547297297297297, 0.0, 0.0, 0.008561643835616438]}, {'tp_atr': 1.75, 'sl_atr': 0.7, 'tp_first_rate_g': 0.009108040201005025, 'sl_first_rate_g': 0.007851758793969849, 'timeout_rate_g': 0.9830402010050251, 'trade_opportunity_rate_g': 0.01695979899497487, 'ev_net_per_trade_g': 0.6127407407407408, 'lift_g': 0.32076257480187614, 'mfe_coverage_g': 0.01507537688442211, 'mae_breach_pressure_g': 0.01350502512562814, 'econ_stability_g': 0.33594055095629954, 'geometry_score_g': 0.01922850777644208, 'ev_net_per_trade_g_fold': [1.012, 0.4636666666666668, 0.4636666666666668, 0.0, 0.0, 1.747], 'lift_g_fold': [0.8529629629629629, 0.04926801801801811, 0.16402640264026414, -0.4579477124183007, -0.533741214057508, 1.64874213836478], 'trade_opportunity_rate_g_fold': [0.01594896331738437, 0.0347682119205298, 0.03547297297297297, 0.0, 0.0, 0.008561643835616438]}, {'tp_atr': 2.0, 'sl_atr': 0.9, 'tp_first_rate_g': 0.009736180904522614, 'sl_first_rate_g': 0.007223618090452261, 'timeout_rate_g': 0.9830402010050251, 'trade_opportunity_rate_g': 0.016959798994974875, 'ev_net_per_trade_g': 0.7618148148148148, 'lift_g': 0.4544229919868763, 'mfe_coverage_g': 0.014447236180904523, 'mae_breach_pressure_g': 0.012876884422110553, 'econ_stability_g': 0.3333333333333333, 'geometry_score_g': 0.02600734699304644, 'ev_net_per_trade_g_fold': [1.127, 0.47795238095238113, 0.4779523809523809, 0.0, 0.0, 1.997], 'lift_g_fold': [1.0173015873015874, 0.04249084249084267, 0.19910306588388782, -0.5665945945945946, -0.6823333333333335, 1.949337748344371], 'trade_opportunity_rate_g_fold': [0.01594896331738437, 0.0347682119205298, 0.03547297297297297, 0.0, 0.0, 0.008561643835616438]}, {'tp_atr': 2.5, 'sl_atr': 1.1, 'tp_first_rate_g': 0.009422110552763818, 'sl_first_rate_g': 0.005967336683417085, 'timeout_rate_g': 0.9846105527638191, 'trade_opportunity_rate_g': 0.015389447236180904, 'ev_net_per_trade_g': 1.1010816326530612, 'lift_g': 0.7374149659863946, 'mfe_coverage_g': 0.014133165829145729, 'mae_breach_pressure_g': 0.011620603015075377, 'econ_stability_g': 0.39597032773886937, 'geometry_score_g': 0.046291500607425734, 'ev_net_per_trade_g_fold': [1.2970000000000002, 1.0146470588235295, 1.0146470588235292, 0.0, 0.0, 2.497], 'lift_g_fold': [1.1806451612903228, 0.5336470588235295, 0.7106048053024026, -0.6255198555956677, -0.774142857142857, 2.4573378839590445], 'trade_opportunity_rate_g_fold': [0.014354066985645932, 0.028145695364238412, 0.028716216216216218, 0.0, 0.0, 0.008561643835616438]}]",0.5,0.5,0.0,0.0,0.0,0.0,tp=1.25|sl=0.50,0.824028,0.07204399,0.9583333,1.0,0.85031974,0.0,0.0,0.00048674474,0.00048674474,ranked,"std_plus_abs|z=6|p=(1.4, 4.0)|d=2","std_plus_abs|z=6|p=(1.4, 4.0)|d=2",positive bucket OOS delta_r=0.0064; shrunk delta=0.0056; stability=0.833; positive-fold fraction=0.667; delta-auc=0.0366; delta-auc positive folds=0.667; dispersion/edge=305.728; dispersion=-0.065
"std_plus_abs|z=6|p=(1.6, 4.0)|d=1",std_plus_abs,6,"(1.6, 4.0)",1,none,2248,1.0,149.86666666666667,105.0427637784832,0.6350282485875707,1.5054210424423218,0.02468748576939106,0.3029422461986542,1.833050774410367,0.28224655985832214,0.9040474135544249,0.09743771702051163,0.09743771702051163,117.00569915771484,0.00726298987865448,0.07673418308110702,0.08084091016411232,0.08084091016411232,0.0,0.0,6.0,0.0,0.008682908627047237,0.008933553120067605,0.02790747555944284,-0.002192657949448451,-0.0023003542475406036,-0.002192657949448451,0.0,0.0,9.0,-0.1234423965215683,0.3255709409713745,return_uplift,0.025268924559627592,0.01505185291171074,0.029840007424354553,0.6666666666666666,6.0,9.0,252.3823941704229,0.0039622415156452765,0.00726298987865448,0.0,0.08084091016411232,-0.19947594,2248.0,0.08084091,0.00726299,0.012634463,0.00726299,0.0,0.0,0.6666667,0.8333333,0.005941485,0.005941485,1.6687117,1.0,6.5348997,1.0,0.025268925,0.008262187,0.002063016,0.0022716154,0.0,0.0,,0.070251785,0.8333333,-0.020296352,-0.09054813,0.0,0.03221804,0.0151900975,0.017297802,0.0151900975,"[{'tp_atr': 1.25, 'sl_atr': 0.5, 'tp_first_rate_g': 0.010285179990649837, 'sl_first_rate_g': 0.0074801309022907905, 'timeout_rate_g': 0.9822346891070594, 'trade_opportunity_rate_g': 0.017765310892940627, 'ev_net_per_trade_g': 0.5101578947368421, 'lift_g': 0.29464404083256, 'mfe_coverage_g': 0.01729780271154745, 'mae_breach_pressure_g': 0.014025245441795231, 'econ_stability_g': 0.4021488865919352, 'geometry_score_g': 0.02136993716574252, 'ev_net_per_trade_g_fold': [0.8095000000000001, 0.49700000000000005, 0.4970000000000001, 0.0, 0.0, 1.2469999999999999], 'lift_g_fold': [0.67213687150838, 0.17452830188679247, 0.2454128440366974, -0.2787002881844379, -0.3170000000000001, 1.1419939577039273], 'trade_opportunity_rate_g_fold': [0.02030456852791878, 0.035623409669211195, 0.03636363636363636, 0.0, 0.0, 0.007425742574257425]}, {'tp_atr': 1.5, 'sl_atr': 0.6, 'tp_first_rate_g': 0.008882655446470314, 'sl_first_rate_g': 0.007947639083683964, 'timeout_rate_g': 0.9831697054698457, 'trade_opportunity_rate_g': 0.016830294530154277, 'ev_net_per_trade_g': 0.5053333333333333, 'lift_g': 0.24304014791336492, 'mfe_coverage_g': 0.015427769985974754, 'mae_breach_pressure_g': 0.014025245441795231, 'econ_stability_g': 0.3945818223977467, 'geometry_score_g': 0.017768017933278698, 'ev_net_per_trade_g_fold': [0.797, 0.5970000000000001, 0.5970000000000001, 0.0, 0.0, 1.4969999999999999], 'lift_g_fold': [0.6662650602409639, 0.24545454545454554, 0.3266666666666668, -0.38756603773584913, -0.44699999999999995, 1.3870370370370368], 'trade_opportunity_rate_g_fold': [0.015228426395939085, 0.035623409669211195, 0.03636363636363636, 0.0, 0.0, 0.007425742574257425]}, {'tp_atr': 1.75, 'sl_atr': 0.7, 'tp_first_rate_g': 0.008882655446470314, 'sl_first_rate_g': 0.007947639083683964, 'timeout_rate_g': 0.9831697054698457, 'trade_opportunity_rate_g': 0.016830294530154277, 'ev_net_per_trade_g': 0.5900555555555557, 'lift_g': 0.2945150150150152, 'mfe_coverage_g': 0.014960261804581581, 'mae_breach_pressure_g': 0.014025245441795231, 'econ_stability_g': 0.3946573640693989, 'geometry_score_g': 0.02103641236277198, 'ev_net_per_trade_g_fold': [0.9303333333333333, 0.6970000000000001, 0.697, 0.0, 0.0, 1.7469999999999999], 'lift_g_fold': [0.759400406504065, 0.29224422442244213, 0.40419354838709676, -0.4579477124183007, -0.5337412140575082, 1.6384374999999998], 'trade_opportunity_rate_g_fold': [0.015228426395939085, 0.035623409669211195, 0.03636363636363636, 0.0, 0.0, 0.007425742574257425]}, {'tp_atr': 2.0, 'sl_atr': 0.9, 'tp_first_rate_g': 0.009817671809256662, 'sl_first_rate_g': 0.0070126227208976155, 'timeout_rate_g': 0.9831697054698457, 'trade_opportunity_rate_g': 0.016830294530154277, 'ev_net_per_trade_g': 0.7886666666666666, 'lift_g': 0.47722034851039913, 'mfe_coverage_g': 0.014025245441795231, 'mae_breach_pressure_g': 0.013090229079008883, 'econ_stability_g': 0.3848573265372158, 'geometry_score_g': 0.03143191249165917, 'ev_net_per_trade_g_fold': [1.030333333333333, 0.7541428571428573, 0.7541428571428572, 0.0, 0.0, 1.9969999999999999], 'lift_g_fold': [0.9060606060606058, 0.3308629936616287, 0.4835642618251315, -0.5665945945945946, -0.6823333333333333, 1.9365131578947368], 'trade_opportunity_rate_g_fold': [0.015228426395939085, 0.035623409669211195, 0.03636363636363636, 0.0, 0.0, 0.007425742574257425]}, {'tp_atr': 2.5, 'sl_atr': 1.1, 'tp_first_rate_g': 0.009817671809256662, 'sl_first_rate_g': 0.005610098176718092, 'timeout_rate_g': 0.9845722300140253, 'trade_opportunity_rate_g': 0.015427769985974754, 'ev_net_per_trade_g': 1.1879090909090908, 'lift_g': 0.8190395510139248, 'mfe_coverage_g': 0.014025245441795231, 'mae_breach_pressure_g': 0.01168770453482936, 'econ_stability_g': 0.44232769305844755, 'geometry_score_g': 0.057799825085130534, 'ev_net_per_trade_g_fold': [1.297, 1.5151818181818184, 1.5151818181818184, 0.0, 0.0, 2.497], 'lift_g_fold': [1.169329073482428, 1.0423811064380462, 1.2154231974921632, -0.6255198555956678, -0.774142857142857, 2.440677966101695], 'trade_opportunity_rate_g_fold': [0.015228426395939085, 0.027989821882951654, 0.02857142857142857, 0.0, 0.0, 0.007425742574257425]}]",0.5,0.5,0.0,0.0,0.0,0.0,tp=1.50|sl=0.60,0.8196287,0.070251785,0.9583333,1.0,0.8503095,0.0,0.0,0.0004654703,0.0004654703,ranked,"std_plus_abs|z=6|p=(1.6, 4.0)|d=1","std_plus_abs|z=6|p=(1.6, 4.0)|d=1",positive bucket OOS delta_r=0.0073; shrunk delta=0.0059; stability=0.833; positive-fold fraction=0.667; delta-auc=0.0253; delta-auc positive folds=0.667; dispersion/edge=252.382; dispersion=-0.199
