name,family,z_hours,param,duration_hours,conditioner_mode,total_events,active_days_fraction,events_per_day_mean,events_per_day_std,events_per_day_per_asset,bars_to_peak_dispersion,speed_dispersion,monotonicity_dispersion,impulse_shape_dispersion,post_event_vol_dispersion,regime_distinctness_score,fold_base_rate_stability,fold_continuation_rate_std,fold_event_count_std,basic_directionality_edge_event_vs_non_event,primary_predictability_gain,continuation_predictability_gain,reversal_predictability_gain,bucket_primary_delta_fold_mean,bucket_primary_delta_fold_std,bucket_primary_delta_fold_count,bucket_primary_delta_fold_min,MAE_predictability_gain,MFE_predictability_gain,reversal_utility_gain,mae_event_oos_r2,mfe_event_oos_r2,magnitude_delta_r,magnitude_positive_fold_fraction,magnitude_stability_score,magnitude_fold_count,magnitude_delta_fold_mean,magnitude_delta_fold_std,selected_delta_metric,incremental_information_delta_auc,incremental_information_delta_auc_fold_mean,incremental_information_delta_auc_fold_std,incremental_information_positive_fold_fraction,incremental_information_positive_fold_count,incremental_information_fold_count,dispersion_to_edge_ratio,edge_to_dispersion_ratio,return_uplift,primary_predictability_gain_is_nan,predictability_gain,D_r,N_r,bucket_primary_predictability_gain,delta_r_raw,delta_r_fallback,delta_r,delta_r_fold_mean,delta_r_fold_std,positive_fold_fraction_r,S_r,delta_r_shrunk,uplift_anchor,primary_multiplier,worst_fold_multiplier,noise_penalty,disagreement_penalty,learnability_support,effective_edge,score_r,score_ml,feature_learnability_gain,feature_positive_fold_fraction,top_feature_lifts,conditional_predictability_gain,conditional_predictability_positive_fold_fraction,conditional_predictability_regime_r2,conditional_predictability_baseline_r2,feature_conditioned_spread,economic_gain_r,geometry_weighted_mfe_coverage,fixed_tp_mfe_coverage,aggregate_mfe_coverage,per_geometry_metrics,tbm_lgbm_auc_regime,tbm_lgbm_auc_baseline,tbm_lgbm_auc_lift_vs_baseline,tbm_lgbm_top_bucket_lift_vs_baseline,tbm_lgbm_positive_fold_fraction,tbm_lgbm_stability,tbm_lgbm_selected_geometry,coverage_multiplier,predictability_anchor,predictability_positive_multiplier,spread_multiplier,difference_prior,tbm_auc_support,tbm_lift_support,score_ml_trading,shortlist_score,decision,regime_id,regime_definition,rationale,bucket,mode
abs_move_threshold|z=4|p=6.0|d=2,abs_move_threshold,4,6.0,2,none,1395,1.0,93.0,41.39726238935774,0.3940677966101695,1.165773630142212,0.07302862405776978,0.5615110993385315,1.8003133535385132,1.0749070644378662,1.36591025859293,0.10763918608427048,0.10763918608427048,37.28903579711914,0.010580251924693584,0.051108634565053546,0.052233735564260586,0.052233735564260586,0.0,0.0,6.0,0.0,0.00911407351232274,0.0024382294920897163,0.015336430550097369,-0.002119833855285469,-0.008437337084405971,-0.002119833855285469,0.0,0.0,9.0,-0.2059682458639145,0.25086188316345215,return_uplift,0.002432161872954919,0.011368273757398129,0.017298905178904533,0.6666666666666666,6.0,9.0,170.15789097958103,0.005876894654976654,0.010580251924693584,0.0,0.052233735564260586,-0.25032585859298706,1395.0,0.05223373696208,0.010580251924693584,0.0012160809710621834,0.010580251924693584,0.0,0.0,0.6666666865348816,0.8333333134651184,0.007788628805428743,0.007788628805428743,1.4795019626617432,1.0,6.142586708068848,1.0,0.0024321619421243668,0.009602743200957775,0.001658361405134201,0.0012925181072205305,0.0,0.0,,-0.022488733753561974,0.6666666865348816,-0.11187542229890823,-0.0893867015838623,0.0,0.0,0.0,0.0,0.0,"[{'tp_atr': 1.25, 'sl_atr': 0.5, 'tp_first_rate_g': 0.0, 'sl_first_rate_g': 0.0, 'timeout_rate_g': 1.0, 'trade_opportunity_rate_g': 0.0, 'ev_net_per_trade_g': 0.0, 'lift_g': -0.22104844290657436, 'mfe_coverage_g': 0.0, 'mae_breach_pressure_g': 0.0, 'econ_stability_g': 0.5, 'geometry_score_g': -0.0, 'ev_net_per_trade_g_fold': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'lift_g_fold': [-0.15205464480874323, -0.3298313253012048, -0.26166275659824045, -0.278700288184438, -0.317, -0.1152634730538922], 'trade_opportunity_rate_g_fold': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}, {'tp_atr': 1.5, 'sl_atr': 0.6, 'tp_first_rate_g': 0.0, 'sl_first_rate_g': 0.0, 'timeout_rate_g': 1.0, 'trade_opportunity_rate_g': 0.0, 'ev_net_per_trade_g': 0.0, 'lift_g': -0.26682892690513216, 'mfe_coverage_g': 0.0, 'mae_breach_pressure_g': 0.0, 'econ_stability_g': 0.5, 'geometry_score_g': -0.0, 'ev_net_per_trade_g_fold': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'lift_g_fold': [-0.14256213017751485, -0.3622173913043479, -0.2842340425531915, -0.3875660377358491, -0.44699999999999995, -0.12268807339449539], 'trade_opportunity_rate_g_fold': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}, {'tp_atr': 1.75, 'sl_atr': 0.7, 'tp_first_rate_g': 0.0, 'sl_first_rate_g': 0.0, 'timeout_rate_g': 1.0, 'trade_opportunity_rate_g': 0.0, 'ev_net_per_trade_g': 0.0, 'lift_g': -0.30116224814422055, 'mfe_coverage_g': 0.0, 'mae_breach_pressure_g': 0.0, 'econ_stability_g': 0.5, 'geometry_score_g': -0.0, 'ev_net_per_trade_g_fold': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'lift_g_fold': [-0.18457485029940124, -0.4176624605678233, -0.31027160493827177, -0.45794771241830057, -0.533741214057508, -0.123780185758514], 'trade_opportunity_rate_g_fold': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}, {'tp_atr': 2.0, 'sl_atr': 0.9, 'tp_first_rate_g': 0.0, 'sl_first_rate_g': 0.0, 'timeout_rate_g': 1.0, 'trade_opportunity_rate_g': 0.0, 'ev_net_per_trade_g': 0.0, 'lift_g': -0.3209118457300275, 'mfe_coverage_g': 0.0, 'mae_breach_pressure_g': 0.0, 'econ_stability_g': 0.5, 'geometry_score_g': -0.0, 'ev_net_per_trade_g_fold': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'lift_g_fold': [-0.14100000000000007, -0.4383680781758958, -0.2922076677316293, -0.5665945945945945, -0.6823333333333332, -0.07941042345276873], 'trade_opportunity_rate_g_fold': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}, {'tp_atr': 2.5, 'sl_atr': 1.1, 'tp_first_rate_g': 0.0, 'sl_first_rate_g': 0.0, 'timeout_rate_g': 1.0, 'trade_opportunity_rate_g': 0.0, 'ev_net_per_trade_g': 0.0, 'lift_g': -0.3843142857142856, 'mfe_coverage_g': 0.0, 'mae_breach_pressure_g': 0.0, 'econ_stability_g': 0.5, 'geometry_score_g': -0.0, 'ev_net_per_trade_g_fold': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'lift_g_fold': [-0.14966457680250797, -0.5120684931506849, -0.34417607973421926, -0.6255198555956679, -0.7741428571428571, -0.08089261744966433], 'trade_opportunity_rate_g_fold': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}]",0.5,0.5,0.0,0.0,0.0,0.0,tp=2.50|sl=1.10,0.25,0.0,0.9166666865348816,1.0,0.8502487540245056,0.0,0.0,8.078238170128316e-05,8.078238170128316e-05,ranked,abs_move_threshold|z=4|p=6.0|d=2,abs_move_threshold|z=4|p=6.0|d=2,positive bucket OOS delta_r=0.0106; shrunk delta=0.0078; stability=0.833; positive-fold fraction=0.667; delta-auc=0.0024; delta-auc positive folds=0.667; dispersion/edge=170.158; dispersion=-0.250,price_up_mr,price_up_mr
std_threshold|z=4|p=1.6|d=1,std_threshold,4,1.6,1,none,9750,1.0,650.0,383.00269798875655,2.7542372881355934,1.1225085258483887,0.03224368020892143,0.4932928681373596,1.6480450741946697,0.6157764196395874,1.09290225542918,0.1553954929113388,0.1553954929113388,295.73040771484375,0.006825760006904602,-0.07663196043240494,-0.034105199060579294,-0.034105199060579294,0.0,0.0,6.0,0.0,0.003047827101883005,0.0018222252650728077,-0.12938932168435957,-0.008186080265725204,-0.00905334131142288,-0.008186080265725204,0.0,0.27211385645158825,9.0,-0.007439563050866127,0.003390747122466564,return_uplift,-0.020726170956446632,-0.008279230445623398,0.0433676540851593,0.3333333333333333,3.0,9.0,241.44491932438126,0.004141731384525429,0.006825760006904602,0.0,0.003047827101883005,-0.11227268725633621,9750.0,-0.034105200320482254,0.006825760006904602,-0.010363085195422173,0.006825760006904602,0.0,0.0,0.3333333432674408,0.6666666865348816,0.006492795888334513,0.006492795888334513,0.6715837717056274,1.0,6.490774631500244,0.6499999761581421,0.0,0.001889531034976244,0.0002911102492362261,0.00021652437862940133,0.0,0.0,,-0.09873896837234497,0.5,-0.1662275195121765,-0.06748855859041214,0.0,0.05003762245178223,0.0411335825920105,0.0446014329791069,0.0411335825920105,"[{'tp_atr': 1.25, 'sl_atr': 0.5, 'tp_first_rate_g': 0.024251370729649935, 'sl_first_rate_g': 0.029628848587094053, 'timeout_rate_g': 0.946119780683256, 'trade_opportunity_rate_g': 0.053880219316743985, 'ev_net_per_trade_g': 0.2846712328767123, 'lift_g': 0.08512493658041603, 'mfe_coverage_g': 0.044601433994095316, 'mae_breach_pressure_g': 0.04850274145929987, 'econ_stability_g': 0.8429835427492746, 'geometry_score_g': 0.03034717186819406, 'ev_net_per_trade_g_fold': [0.247, 0.19302272727272732, 0.15582352941176475, 0.346264705882353, 0.37199999999999994, 0.20714492753623187], 'lift_g_fold': [0.12322695035460994, -0.18614940387481368, -0.14098115808823525, 0.08403173097195865, 0.06924460431654672, 0.11580530489472239], 'trade_opportunity_rate_g_fold': [0.05991440798858773, 0.04787812840043526, 0.046961325966850834, 0.055150040551500405, 0.056162246489859596, 0.06641000962463908]}, {'tp_atr': 1.5, 'sl_atr': 0.6, 'tp_first_rate_g': 0.023196963306621677, 'sl_first_rate_g': 0.02762547448334036, 'timeout_rate_g': 0.9491775622100379, 'trade_opportunity_rate_g': 0.05082243778996204, 'ev_net_per_trade_g': 0.3555062240663901, 'lift_g': 0.11821596836493878, 'mfe_coverage_g': 0.04228173766343315, 'mae_breach_pressure_g': 0.045444959932517924, 'econ_stability_g': 0.8058908615190472, 'geometry_score_g': 0.036328680791169646, 'ev_net_per_trade_g_fold': [0.2930000000000001, 0.18133734939759036, 0.16788607594936705, 0.4297868852459017, 0.46315384615384625, 0.23700000000000004], 'lift_g_fold': [0.19333840304182517, -0.24369612340575694, -0.1531139240506329, 0.0522421381641896, 0.02020790020790031, 0.14267175572519092], 'trade_opportunity_rate_g_fold': [0.05349500713266762, 0.04515778019586507, 0.04364640883977901, 0.04947283049472831, 0.05070202808112324, 0.06256015399422521]}, {'tp_atr': 1.75, 'sl_atr': 0.7, 'tp_first_rate_g': 0.0228806410797132, 'sl_first_rate_g': 0.027098270771826232, 'timeout_rate_g': 0.9500210881484605, 'trade_opportunity_rate_g': 0.04997891185153944, 'ev_net_per_trade_g': 0.41862447257383967, 'lift_g': 0.15689359438687078, 'mfe_coverage_g': 0.04112188949810207, 'mae_breach_pressure_g': 0.04407423028258119, 'econ_stability_g': 0.8190260688413415, 'geometry_score_g': 0.044787132739295965, 'ev_net_per_trade_g_fold': [0.3895675675675676, 0.2710963855421688, 0.22737974683544304, 0.4811666666666668, 0.522, 0.19144444444444442], 'lift_g_fold': [0.26333679833679835, -0.19855318710740383, -0.10962025316455698, 0.028882113821138367, -0.014759036144578408, 0.08405982905982896], 'trade_opportunity_rate_g_fold': [0.05278174037089872, 0.04515778019586507, 0.04364640883977901, 0.048661800486618, 0.0499219968798752, 0.06063522617901829]}, {'tp_atr': 2.0, 'sl_atr': 0.9, 'tp_first_rate_g': 0.022142555883593422, 'sl_first_rate_g': 0.02488401518346689, 'timeout_rate_g': 0.9529734289329397, 'trade_opportunity_rate_g': 0.04702657106706031, 'ev_net_per_trade_g': 0.4624708520179373, 'lift_g': 0.18767684179149458, 'mfe_coverage_g': 0.03943483762125685, 'mae_breach_pressure_g': 0.04112188949810207, 'econ_stability_g': 0.7822881483743084, 'geometry_score_g': 0.04782485642190247, 'ev_net_per_trade_g_fold': [0.3998985507246377, 0.28674358974358966, 0.2093287671232877, 0.4969999999999999, 0.547, 0.1292033898305085], 'lift_g_fold': [0.32867980072463776, -0.20326951069309157, -0.10808789954337897, -0.08655462184873952, -0.1705882352941177, 0.061638873701476346], 'trade_opportunity_rate_g_fold': [0.04921540656205421, 0.04243743199129489, 0.04033149171270718, 0.047039740470397405, 0.0483619344773791, 0.05678537054860443]}, {'tp_atr': 2.5, 'sl_atr': 1.1, 'tp_first_rate_g': 0.021088148460565163, 'sl_first_rate_g': 0.02340784479122733, 'timeout_rate_g': 0.9555040067482075, 'trade_opportunity_rate_g': 0.044495993251792494, 'ev_net_per_trade_g': 0.6031611374407583, 'lift_g': 0.28839005310340904, 'mfe_coverage_g': 0.037431463517503163, 'mae_breach_pressure_g': 0.0392239561366512, 'econ_stability_g': 0.7788399950455327, 'geometry_score_g': 0.06425151412343133, 'ev_net_per_trade_g_fold': [0.48523529411764704, 0.2855714285714285, 0.24028358208955206, 0.49699999999999994, 0.5728620689655173, 0.11842857142857127], 'lift_g_fold': [0.42648230606983834, -0.2979150579150579, -0.13363949483352486, -0.15964125560538117, -0.2538676607642124, 0.046221959858323405], 'trade_opportunity_rate_g_fold': [0.04850213980028531, 0.03808487486398259, 0.037016574585635356, 0.043795620437956206, 0.0452418096723869, 0.05389797882579403]}]",0.5,0.5,0.0,0.0,0.0,0.0,tp=1.25|sl=0.50,1.0,0.0,0.875,1.0,0.8500437140464783,0.0,0.0,5.413109465735033e-05,5.413109465735033e-05,ranked,std_threshold|z=4|p=1.6|d=1,std_threshold|z=4|p=1.6|d=1,positive bucket OOS delta_r=0.0068; shrunk delta=0.0065; stability=0.667; positive-fold fraction=0.333; delta-auc=-0.0207; delta-auc positive folds=0.333; dispersion/edge=241.445; dispersion=-0.112,price_up_tf,price_up_tf
"std_plus_abs|z=6|p=(1.6, 4.0)|d=2",std_plus_abs,6,"(1.6, 4.0)",2,none,3243,1.0,216.2,144.07090846755517,0.9161016949152543,1.5631542205810547,0.02126290090382099,0.37217333912849426,1.95659046061337,0.25505807995796204,0.8712747514263844,0.0932135060429573,0.0932135060429573,176.61013793945312,0.006719727534800768,0.06596266752947688,0.07381801698927692,0.07381801698927704,0.0,0.0,6.0,0.0,0.00814195749690616,0.008650327284039472,0.027787753500823298,-0.0027336090795895274,-0.0025835800835687373,-0.0025835800835687373,0.0,0.0,9.0,-0.01305246353149414,0.01631196402013302,return_uplift,0.03539899785928968,0.02158622443675995,0.04139101505279541,0.6666666666666666,6.0,9.0,291.17110038768567,0.003434406775495678,0.006719727534800768,0.0,0.07381801698927704,-0.054859764873981476,3243.0,0.07381802052259445,0.006719727534800768,0.017699498683214188,0.006719727534800768,0.0,0.0,0.6666666865348816,0.8333333134651184,0.005822088103741407,0.005822088103741407,1.6280443668365479,1.0,6.677339553833008,1.0,0.035398997366428375,0.007898847572505474,0.002229799749329686,0.0024776956997811794,0.0,0.0,,0.07271293550729752,0.8333333134651184,-0.017835192382335663,-0.09054812788963318,0.0,0.027466468513011932,0.01569182239472866,0.017707662656903267,0.01569182239472866,"[{'tp_atr': 1.25, 'sl_atr': 0.5, 'tp_first_rate_g': 0.0103026400515132, 'sl_first_rate_g': 0.008048937540244688, 'timeout_rate_g': 0.9816484224082421, 'trade_opportunity_rate_g': 0.018351577591757887, 'ev_net_per_trade_g': 0.4794561403508772, 'lift_g': 0.26589968053399016, 'mfe_coverage_g': 0.017707662588538314, 'mae_breach_pressure_g': 0.014166130070830651, 'econ_stability_g': 0.3347013998290815, 'geometry_score_g': 0.01642660368676914, 'ev_net_per_trade_g_fold': [0.7085384615384615, 0.33033333333333326, 0.3303333333333333, 0.0, 0.0, 1.2469999999999999], 'lift_g_fold': [0.5769775550228806, 0.000535905680600246, 0.07317708333333334, -0.27870028818443804, -0.317, 1.1489361702127658], 'trade_opportunity_rate_g_fold': [0.02155887230514096, 0.036020583190394515, 0.03677758318739054, 0.0, 0.0, 0.008680555555555556]}, {'tp_atr': 1.5, 'sl_atr': 0.6, 'tp_first_rate_g': 0.009336767546683838, 'sl_first_rate_g': 0.008048937540244688, 'timeout_rate_g': 0.9826142949130715, 'trade_opportunity_rate_g': 0.017385705086928528, 'ev_net_per_trade_g': 0.5247777777777777, 'lift_g': 0.2653777777777777, 'mfe_coverage_g': 0.015775917578879587, 'mae_breach_pressure_g': 0.013844172569220863, 'econ_stability_g': 0.33580694591693167, 'geometry_score_g': 0.016455810479773045, 'ev_net_per_trade_g_fold': [0.8669999999999998, 0.39699999999999996, 0.397, 0.0, 0.0, 1.4969999999999999], 'lift_g_fold': [0.7465243902439022, 0.037209302325581284, 0.12045454545454554, -0.3875660377358491, -0.447, 1.3956521739130434], 'trade_opportunity_rate_g_fold': [0.01658374792703151, 0.036020583190394515, 0.03677758318739054, 0.0, 0.0, 0.008680555555555556]}, {'tp_atr': 1.75, 'sl_atr': 0.7, 'tp_first_rate_g': 0.009336767546683838, 'sl_first_rate_g': 0.008048937540244688, 'timeout_rate_g': 0.9826142949130715, 'trade_opportunity_rate_g': 0.017385705086928528, 'ev_net_per_trade_g': 0.6127407407407407, 'lift_g': 0.32076257480187603, 'mfe_coverage_g': 0.015453960077269801, 'mae_breach_pressure_g': 0.013844172569220863, 'econ_stability_g': 0.33594055095629954, 'geometry_score_g': 0.019471419016271117, 'ev_net_per_trade_g_fold': [1.0119999999999998, 0.46366666666666684, 0.4636666666666667, 0.0, 0.0, 1.747], 'lift_g_fold': [0.8529629629629627, 0.049268018018018056, 0.16402640264026402, -0.4579477124183006, -0.5337412140575081, 1.64874213836478], 'trade_opportunity_rate_g_fold': [0.01658374792703151, 0.036020583190394515, 0.03677758318739054, 0.0, 0.0, 0.008680555555555556]}, {'tp_atr': 2.0, 'sl_atr': 0.9, 'tp_first_rate_g': 0.009980682549903412, 'sl_first_rate_g': 0.007405022537025113, 'timeout_rate_g': 0.9826142949130715, 'trade_opportunity_rate_g': 0.017385705086928525, 'ev_net_per_trade_g': 0.7618148148148147, 'lift_g': 0.454422991986876, 'mfe_coverage_g': 0.014810045074050225, 'mae_breach_pressure_g': 0.013200257566001287, 'econ_stability_g': 0.3333333333333333, 'geometry_score_g': 0.02633497987387666, 'ev_net_per_trade_g_fold': [1.1269999999999998, 0.47795238095238096, 0.4779523809523809, 0.0, 0.0, 1.9969999999999999], 'lift_g_fold': [1.0173015873015872, 0.042490842490842506, 0.1991030658838877, -0.5665945945945946, -0.6823333333333335, 1.9493377483443708], 'trade_opportunity_rate_g_fold': [0.01658374792703151, 0.036020583190394515, 0.03677758318739054, 0.0, 0.0, 0.008680555555555556]}, {'tp_atr': 2.5, 'sl_atr': 1.1, 'tp_first_rate_g': 0.009658725048293626, 'sl_first_rate_g': 0.006117192530585963, 'timeout_rate_g': 0.9842240824211204, 'trade_opportunity_rate_g': 0.01577591757887959, 'ev_net_per_trade_g': 1.101081632653061, 'lift_g': 0.7374149659863944, 'mfe_coverage_g': 0.014488087572440437, 'mae_breach_pressure_g': 0.011912427559562138, 'econ_stability_g': 0.39597032773886937, 'geometry_score_g': 0.0468723499939052, 'ev_net_per_trade_g_fold': [1.2970000000000002, 1.0146470588235292, 1.0146470588235295, 0.0, 0.0, 2.497], 'lift_g_fold': [1.1806451612903228, 0.5336470588235293, 0.7106048053024028, -0.6255198555956677, -0.7741428571428571, 2.457337883959044], 'trade_opportunity_rate_g_fold': [0.014925373134328358, 0.029159519725557463, 0.0297723292469352, 0.0, 0.0, 0.008680555555555556]}]",0.5,0.5,0.0,0.0,0.0,0.0,tp=1.25|sl=0.50,0.8384433388710022,0.07271293550729752,0.9583333134651184,1.0,0.8503344655036926,0.0,0.0,0.0005193518591113389,0.0005193518591113389,ranked,"std_plus_abs|z=6|p=(1.6, 4.0)|d=2","std_plus_abs|z=6|p=(1.6, 4.0)|d=2",positive bucket OOS delta_r=0.0067; shrunk delta=0.0058; stability=0.833; positive-fold fraction=0.667; delta-auc=0.0354; delta-auc positive folds=0.667; dispersion/edge=291.171; dispersion=-0.055,price_down_mr,price_down_mr
abs_move_threshold|z=4|p=6.0|d=3,abs_move_threshold,4,6.0,3,none,609,1.0,40.6,20.645580640902306,0.17203389830508475,1.2104591131210327,0.04091827571392059,0.581121563911438,1.8324989527463913,0.33212727308273315,1.4066671580119308,0.1521577090024948,0.1521577090024948,31.441303253173828,0.012513112276792526,0.04906446188940061,0.04989257025585725,0.04989257025585725,0.0,0.0,6.0,0.0,-0.07276783938532172,0.03528068465050316,0.022163034721608632,-0.08364340596181741,0.02404677728289495,0.02404677728289495,0.0,0.0,9.0,-2.913332939147949,6.9237895011901855,return_uplift,-0.0019859421399619492,0.004065732005983591,0.005822615697979927,0.7777777777777778,7.0,9.0,146.4462966695376,0.006828441706904636,0.012513112276792526,0.0,0.04989257025585725,1.8181015253067017,609.0,0.049892570823431015,0.012513112276792526,-0.0009929711231961846,0.012513112276792526,0.0,0.0,0.7777777910232544,0.8888888955116272,0.006871492601931095,0.006871492601931095,1.46127188205719,1.0,5.99346399307251,1.0,0.0,0.008925438858568668,0.0014891953906044364,0.001055123982951045,0.0,0.0,,-0.24350261688232422,0.3333333432674408,-0.3332609236240387,-0.08975826948881149,0.0,0.0,0.0,0.0,0.0,"[{'tp_atr': 1.25, 'sl_atr': 0.5, 'tp_first_rate_g': 0.0, 'sl_first_rate_g': 0.0, 'timeout_rate_g': 1.0, 'trade_opportunity_rate_g': 0.0, 'ev_net_per_trade_g': 0.0, 'lift_g': -0.22104844290657433, 'mfe_coverage_g': 0.0, 'mae_breach_pressure_g': 0.0, 'econ_stability_g': 0.5, 'geometry_score_g': -0.0, 'ev_net_per_trade_g_fold': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'lift_g_fold': [-0.15205464480874317, -0.3298313253012049, -0.26166275659824045, -0.2787002881844381, -0.31699999999999995, -0.11526347305389226], 'trade_opportunity_rate_g_fold': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}, {'tp_atr': 1.5, 'sl_atr': 0.6, 'tp_first_rate_g': 0.0, 'sl_first_rate_g': 0.0, 'timeout_rate_g': 1.0, 'trade_opportunity_rate_g': 0.0, 'ev_net_per_trade_g': 0.0, 'lift_g': -0.2668289269051322, 'mfe_coverage_g': 0.0, 'mae_breach_pressure_g': 0.0, 'econ_stability_g': 0.5, 'geometry_score_g': -0.0, 'ev_net_per_trade_g_fold': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'lift_g_fold': [-0.14256213017751485, -0.3622173913043478, -0.2842340425531915, -0.3875660377358491, -0.44700000000000006, -0.12268807339449547], 'trade_opportunity_rate_g_fold': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}, {'tp_atr': 1.75, 'sl_atr': 0.7, 'tp_first_rate_g': 0.0, 'sl_first_rate_g': 0.0, 'timeout_rate_g': 1.0, 'trade_opportunity_rate_g': 0.0, 'ev_net_per_trade_g': 0.0, 'lift_g': -0.3011622481442207, 'mfe_coverage_g': 0.0, 'mae_breach_pressure_g': 0.0, 'econ_stability_g': 0.5, 'geometry_score_g': -0.0, 'ev_net_per_trade_g_fold': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'lift_g_fold': [-0.18457485029940127, -0.4176624605678233, -0.31027160493827177, -0.45794771241830073, -0.5337412140575081, -0.12378018575851395], 'trade_opportunity_rate_g_fold': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}, {'tp_atr': 2.0, 'sl_atr': 0.9, 'tp_first_rate_g': 0.0, 'sl_first_rate_g': 0.0, 'timeout_rate_g': 1.0, 'trade_opportunity_rate_g': 0.0, 'ev_net_per_trade_g': 0.0, 'lift_g': -0.3209118457300275, 'mfe_coverage_g': 0.0, 'mae_breach_pressure_g': 0.0, 'econ_stability_g': 0.5, 'geometry_score_g': -0.0, 'ev_net_per_trade_g_fold': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'lift_g_fold': [-0.14099999999999988, -0.4383680781758958, -0.2922076677316294, -0.5665945945945947, -0.6823333333333331, -0.07941042345276872], 'trade_opportunity_rate_g_fold': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}, {'tp_atr': 2.5, 'sl_atr': 1.1, 'tp_first_rate_g': 0.0, 'sl_first_rate_g': 0.0, 'timeout_rate_g': 1.0, 'trade_opportunity_rate_g': 0.0, 'ev_net_per_trade_g': 0.0, 'lift_g': -0.3843142857142858, 'mfe_coverage_g': 0.0, 'mae_breach_pressure_g': 0.0, 'econ_stability_g': 0.5, 'geometry_score_g': -0.0, 'ev_net_per_trade_g_fold': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'lift_g_fold': [-0.14966457680250758, -0.5120684931506849, -0.3441760797342192, -0.6255198555956678, -0.774142857142857, -0.08089261744966433], 'trade_opportunity_rate_g_fold': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}]",0.5,0.5,0.0,0.0,0.0,0.0,tp=2.50|sl=1.10,0.25,0.0,0.8333333134651184,1.0,0.8502234220504761,0.0,0.0,6.594524893444031e-05,6.594524893444031e-05,ranked,abs_move_threshold|z=4|p=6.0|d=3,abs_move_threshold|z=4|p=6.0|d=3,positive bucket OOS delta_r=0.0125; shrunk delta=0.0069; stability=0.889; positive-fold fraction=0.778; delta-auc=-0.0020; delta-auc positive folds=0.778; dispersion/edge=146.446; dispersion=1.818,price_down_tf,price_down_tf
