strategy_id,trade_side,base_event_trigger,source_target,source_horizon,ranking_metric,ranking_score,ranking_score_norm,adjusted_ranking_score,mask_params_json
dist_weekly_vwap_-0_06593322_loc_vwap_dev_z_24_-0_33959702_efficiency_ratio_20_-0_73624074_rv_24h_0_4422479,long,(*)|(dist_weekly_vwap>-0.06593322&loc_vwap_dev_z_24>-0.33959702)|(efficiency_ratio_20<=-0.73624074&rv_24h<=0.4422479),atr_norm_returns_target,5,directional_mean_ret,0.0012099756277166,1.0,1.0,"{""canonical_key"": ""(*)|(dist_weekly_vwap>-0.06593322&loc_vwap_dev_z_24>-0.33959702)|(efficiency_ratio_20<=-0.73624074&rv_24h<=0.4422479)""}"
loc_initial_balance_pos_24_0_41816136_zscore_price_200_-1_9728258_up_down_semivol_ratio_tanh_0_55129504,long,(*)|(loc_initial_balance_pos_24<=0.41816136&zscore_price_200>-1.9728258)|(up_down_semivol_ratio_tanh>0.55129504),atr_norm_returns_target,5,directional_mean_ret,0.0009223807719536,0.6589408394537423,0.6589408394537423,"{""canonical_key"": ""(*)|(loc_initial_balance_pos_24<=0.41816136&zscore_price_200>-1.9728258)|(up_down_semivol_ratio_tanh>0.55129504)""}"
loc_swing_range_pos_24_1_0918124_ema50_slope_-0_33551773_premium_index_z_-0_18435459_realized_volatility_24h_0_45651087_realized_volatility_24h_-1_0773146_xasset_mkt_ob_stress_15_114561,long,(*)|(loc_swing_range_pos_24<=1.0918124)|(ema50_slope>-0.33551773&premium_index_z>-0.18435459&realized_volatility_24h<=0.45651087&realized_volatility_24h>-1.0773146&xasset_mkt_ob_stress>15.114561),atr_norm_returns_target,5,directional_mean_ret,0.0007065459620207,0.4029820223285909,0.3603090482909582,"{""canonical_key"": ""(*)|(loc_swing_range_pos_24<=1.0918124)|(ema50_slope>-0.33551773&premium_index_z>-0.18435459&realized_volatility_24h<=0.45651087&realized_volatility_24h>-1.0773146&xasset_mkt_ob_stress>15.114561)""}"
prior_range_0_84333628_range_24h_pct_0_10307747,long,(*)|(*)|(prior_range<=0.84333628&range_24h_pct>0.10307747),returns_target,5,directional_mean_ret,0.0003667352488264,0.0,0.0,"{""canonical_key"": ""(*)|(*)|(prior_range<=0.84333628&range_24h_pct>0.10307747)""}"
market_dispersion_4h_0_28460059_mkt_ret_eq_24h_-0_40795034_volume_autocorr_48_-0_12337821_xasset_mkt_ob_stress_14_6157,long,(*)|(*)|(market_dispersion_4h<=0.28460059&mkt_ret_eq_24h<=-0.40795034&volume_autocorr_48<=-0.12337821&xasset_mkt_ob_stress>14.6157),atr_norm_returns_target,10,directional_mean_ret,0.0020868737599812,1.0,1.0,"{""canonical_key"": ""(*)|(*)|(market_dispersion_4h<=0.28460059&mkt_ret_eq_24h<=-0.40795034&volume_autocorr_48<=-0.12337821&xasset_mkt_ob_stress>14.6157)""}"
dist_rolling_7d_high_0_098617375_mkt_ret_eq_24h_0_71155429_symbol_minus_mkt_ret_24h_1_4400502_xasset_mkt_depth_z_0_96888983_xasset_mkt_ob_stress_14_609916,long,(*)|(dist_rolling_7d_high<=0.098617375)|(mkt_ret_eq_24h<=0.71155429&symbol_minus_mkt_ret_24h<=1.4400502&xasset_mkt_depth_z<=0.96888983&xasset_mkt_ob_stress>14.609916),atr_norm_returns_target,10,directional_mean_ret,0.0019070263719186,0.9096753912040503,0.8671217505002925,"{""canonical_key"": ""(*)|(dist_rolling_7d_high<=0.098617375)|(mkt_ret_eq_24h<=0.71155429&symbol_minus_mkt_ret_24h<=1.4400502&xasset_mkt_depth_z<=0.96888983&xasset_mkt_ob_stress>14.609916)""}"
loc_prev_week_range_pos_48_0_42586401_loc_vwap_dev_z_24_0_10701825_zscore_price_50_1_0128103_mkt_ret_eq_24h_-0_78752208_up_down_return_mass_ratio_tanh_1_1231147,long,(*)|(loc_prev_week_range_pos_48>0.42586401&loc_vwap_dev_z_24>0.10701825&zscore_price_50>1.0128103)|(mkt_ret_eq_24h>-0.78752208&up_down_return_mass_ratio_tanh<=1.1231147),atr_norm_returns_target,10,directional_mean_ret,0.0017712355358526,0.8414772690191055,0.8414772690191055,"{""canonical_key"": ""(*)|(loc_prev_week_range_pos_48>0.42586401&loc_vwap_dev_z_24>0.10701825&zscore_price_50>1.0128103)|(mkt_ret_eq_24h>-0.78752208&up_down_return_mass_ratio_tanh<=1.1231147)""}"
dist_weekly_vwap_0_074823022_loc_prev_week_range_pos_48_0_48354843_mkt_ret_eq_24h_-0_43956268_volume_autocorr_48_-0_38378653,long,(*)|(dist_weekly_vwap<=0.074823022&loc_prev_week_range_pos_48>0.48354843)|(mkt_ret_eq_24h>-0.43956268&volume_autocorr_48<=-0.38378653),atr_norm_returns_target,10,directional_mean_ret,0.0017091739508032,0.8103081291654178,0.7233584977020201,"{""canonical_key"": ""(*)|(dist_weekly_vwap<=0.074823022&loc_prev_week_range_pos_48>0.48354843)|(mkt_ret_eq_24h>-0.43956268&volume_autocorr_48<=-0.38378653)""}"
bars_in_high_vol_state_log_norm_-0_68465638_dist_weekly_vwap_-0_03921001_loc_swing_range_pos_48_0_52926761_mkt_ret_eq_24h_-0_46607599_rv_24h_-0_49861878_volume_autocorr_48_-0_56616217,long,(*)|(bars_in_high_vol_state_log_norm>-0.68465638&dist_weekly_vwap>-0.03921001&loc_swing_range_pos_48<=0.52926761)|(mkt_ret_eq_24h>-0.46607599&rv_24h>-0.49861878&volume_autocorr_48>-0.56616217),atr_norm_returns_target,10,directional_mean_ret,0.001397850527428,0.6539524170902837,0.6392351626059012,"{""canonical_key"": ""(*)|(bars_in_high_vol_state_log_norm>-0.68465638&dist_weekly_vwap>-0.03921001&loc_swing_range_pos_48<=0.52926761)|(mkt_ret_eq_24h>-0.46607599&rv_24h>-0.49861878&volume_autocorr_48>-0.56616217)""}"
dist_prior_day_high_0_035894539_dist_rolling_7d_high_0_23099002_loc_initial_balance_pos_24_0_47028157_basis_stretch_0_1963089_range_24h_pct_0_070029289,long,(*)|(dist_prior_day_high<=0.035894539&dist_rolling_7d_high<=0.23099002&loc_initial_balance_pos_24>0.47028157)|(basis_stretch>0.1963089&range_24h_pct<=0.070029289),atr_norm_returns_target,10,directional_mean_ret,0.0013036668882705,0.6066506438839974,0.5522359461416564,"{""canonical_key"": ""(*)|(dist_prior_day_high<=0.035894539&dist_rolling_7d_high<=0.23099002&loc_initial_balance_pos_24>0.47028157)|(basis_stretch>0.1963089&range_24h_pct<=0.070029289)""}"
