config_id,evaluation_stage,mode,k_tp,sl_method,sl_as_tp_pct,regime_model,horizon_scaling,ic_label,ic_label_bucket_mean,ic_payoff,ic_payoff_bucket_mean,ic_snr,sharpe,sortino,tp_hit_rate,sl_hit_rate,timeout_rate,bind,balance,sl_to_tp,payoff_edge,edge,payoff_edge_support_tp,payoff_edge_support_sl,payoff_edge_min_count,pr_auc_lift,barrier_ratio,flag_degenerate_timeout,flag_degenerate_sl,flag_degenerate_tp,ess,ess_full,coverage,ic_std_time,ic_std_asset,worst_bucket_IC,stage1_score,stage2_score,stage2_missing,stage2_reward,stage2_penalty_raw,stage2_penalty_bounded,stage2_auc_score,stage2_sep_score,stage2_sortino_score,stage2_ic_snr_score,stage2_dir_sup_score,stage2_tp_over_sl_score,stage2_payoff_edge_score,rr_keep_rate,rr_keep_floor,stage2_rr_keep_penalty,stage2_horizon_consistency_penalty,stage2_probe_gap_penalty,probe_auc,probe_auc_bound,probe_status,probe_n_train,probe_n_val,brier,ece,monotonicity,min_cell_brier,min_cell_ece,min_cell_mono,oof_payoff_decile_spread,oof_flip_rate,oof_flipped_cells,oof_modeled_cells,hard_gate,pass_cells,total_cells,worst_bucket_coverage,payoff_mean_top_decile,top10_vs_rest_spread,cell_dispersion,min_cell_payoff,min_cell_ic,min_cell_ic_label,median_cell_ic_label,min_cell_auc,median_cell_auc,min_cell_auc_bound,median_cell_auc_bound,min_cell_tp_sep,median_cell_tp_sep,timeout_range,min_cell_ap_lift,median_cell_ap_lift,min_cell_tp_over_sl,median_cell_tp_over_sl,min_cell_dir_superiority,median_cell_dir_superiority,effective_pos_mass,effective_neg_mass,prod_admissible_tier0,prod_adm_failures,econ_ok,econ_G,econ_multiplier,tp_floor_bind_prod_agg,max_cell_tp_floor_bind_prod,floor_dominance_penalty,tp_eff_p50_prod,tp_eff_p75_prod,tp_eff_p90_prod,tp_eff_tradeable_ok,tp_eff_tradeable_rule_p50,tp_eff_tradeable_rule_tail,prod_aligned_tp
CFGEEDE303E38,stage1,optuna_s1_TF_short_H4,1.5,tp_pct,0.6000000000000001,none,sqrt,-0.01809833010574424,-0.01809833010574424,-0.01724501680313057,-0.01724501680313057,-0.006155729291145546,0.02325339754114303,0.03682586743836632,0.1406986672606452,0.2998106693395701,0.5594906633997847,0.4405,0.4693,2.1309,-0.299082,-0.299082,7580,16152,30,1.317792,0.687,False,False,False,32292.58203125,54246.0,0.5952988613215721,0.03069,0.04286,-0.01724501680313057,-0.12604562169767258,0.17567602917900332,False,0.3662204366243941,0.09649461228793109,0.09649461228793109,0.22199999999999998,0.8933994562763882,0.012274672625281107,-0.0030778549264817204,0.9821015707043854,0.8621548142965547,-0.37890078128527266,0.9931423515097887,0.55,0.0,0.0,0.0,,,disabled,0,0,0.20098,0.27864,0.6364,0.20098,0.27864,0.6364,0.0010463395403463422,0.0,0,1,False,1,12,0.9931423515097887,0.0004942509112879634,5e-06,,,-0.01725,-0.0181,-0.0181,0.5842,0.5842,0.611,0.611,0.06716,0.06716,0.4405,1.2247,1.2247,1.5771,1.5771,1.5884,1.5884,7580.0718,46293.928199999995,True,0,True,1.0,1.0,0.0,0.0,0.0,,,,False,False,False,"{'atr_q': 0.010929286247119308, 'q': 0.25, 'alpha': 0.45, 'margin_mult': 4.0, 'fee_pct_total': 0.003, 'tp_min_tradeable': 0.02, 's_H2': 0.7071067811865476, 'tp_atr_anchor': 0.004918178811203689, 'tp_base_pct_final': 0.019, 'tp_abs_lo_pct_final': 0.02, 'worst_horizon': 2, 'tp_base_pre_override': 0.019, 'tp_abs_lo_pre_override': 0.005, 'tp_eff_targets': {'H2': 0.01, 'H4': 0.031112698372208092, 'H8': 0.044000000000000004}, 'tp_eff_bands': {'H2': [0.01, 0.04], 'H4': [0.014142135623730949, 0.056568542494923796], 'H8': [0.02, 0.08]}, 'scaling': {'s2': 0.7071067811865476, 's4': 1.0, 's8': 1.4142135623730951}, 'atr_quantiles': {'q50': 0.014377259649336338, 'q75': 0.019281272776424885, 'q90': 0.02570387646555899}}"
CFG82152F4422,stage1,optuna_s1_TF_short_H8,1.4,tp_pct,0.6000000000000001,none,sqrt,-0.01877707924322919,-0.01877707924322919,-0.016315413853559394,-0.016315413853559394,0.007198167260188589,0.023610090295435596,0.037501883920144,0.15408340412957558,0.32816828574594614,0.5177483101244783,0.4823,0.4695,2.1298,-0.303372,-0.303372,8343,17769,30,1.248173,0.6671,False,False,False,34958.29296875,54240.0,0.6445113010462759,0.04215,0.06305,-0.016315413853559394,-0.12250616076388242,0.1553777240491381,False,0.3671160653857644,0.09062859999999999,0.09062859999999999,0.21520000000000006,0.9067682235780158,0.01249997687428665,0.003599068090047944,0.9834531685689935,0.8747660996103408,-0.38378918715288507,0.9982669616519174,0.6,0.0,0.0,0.0,,,disabled,0,0,0.20248,0.26469,0.6364,0.20248,0.26469,0.6364,0.0028608818981396065,0.0,0,1,False,1,12,0.9982669616519174,0.0006624226225540042,-4.1e-05,,,-0.01632,-0.01878,-0.01878,0.5779,0.5779,0.6076,0.6076,0.07118,0.07118,0.4823,1.2158,1.2158,1.6057,1.6057,1.5983,1.5983,8342.81568,45803.18432,True,0,True,1.0,1.0,0.0,0.0,0.0,,,,False,False,False,"{'atr_q': 0.010929286247119308, 'q': 0.25, 'alpha': 0.45, 'margin_mult': 4.0, 'fee_pct_total': 0.003, 'tp_min_tradeable': 0.02, 's_H2': 0.7071067811865476, 'tp_atr_anchor': 0.004918178811203689, 'tp_base_pct_final': 0.02, 'tp_abs_lo_pct_final': 0.02, 'worst_horizon': 2, 'tp_base_pre_override': 0.02, 'tp_abs_lo_pre_override': 0.005, 'tp_eff_targets': {'H2': 0.01, 'H4': 0.031112698372208092, 'H8': 0.044000000000000004}, 'tp_eff_bands': {'H2': [0.01, 0.04], 'H4': [0.014142135623730949, 0.056568542494923796], 'H8': [0.02, 0.08]}, 'scaling': {'s2': 0.7071067811865476, 's4': 1.0, 's8': 1.4142135623730951}, 'atr_quantiles': {'q50': 0.014377259649336338, 'q75': 0.019281272776424885, 'q90': 0.02570387646555899}}"
CFGBD91D37C66,stage1,optuna_s1_TF_short_H4,1.3,tp_pct,0.6000000000000001,none,sqrt,-0.018931778383633333,-0.018931778383633333,-0.019570730340335005,-0.019570730340335005,-0.010561024179956925,0.018618202199568806,0.029452685136586637,0.16220904207699194,0.32891301104148013,0.5088779468815279,0.4911,0.4932,2.0277,-0.248058,-0.248058,8697,17635,30,1.247311,0.6943,False,False,False,35040.97265625,54246.0,0.6459641753539431,0.03141,0.04376,-0.019570730340335005,-0.11770410873818132,0.15392702615434464,False,0.3650092135564738,0.0914114,0.0914114,0.21039999999999992,0.9001413906496968,0.00981724630403796,-0.005280463010264241,0.9802377766110033,0.8584738783327925,-0.31918886915134015,0.9883862404601261,0.55,0.0,0.0,0.0,,,disabled,0,0,0.20762,0.26451,0.4545,0.20762,0.26451,0.4545,0.0006709553999826312,0.0,0,1,False,1,12,0.9883862404601261,0.000380958488676697,-0.000114,,,-0.01957,-0.01893,-0.01893,0.5747,0.5747,0.6052,0.6052,0.06912,0.06912,0.4911,1.1937,1.1937,1.5693,1.5693,1.5759,1.5759,8697.05136,44918.94864,True,0,True,1.0,1.0,0.0,0.0,0.0,,,,False,False,False,"{'atr_q': 0.010929286247119308, 'q': 0.25, 'alpha': 0.45, 'margin_mult': 4.0, 'fee_pct_total': 0.003, 'tp_min_tradeable': 0.02, 's_H2': 0.7071067811865476, 'tp_atr_anchor': 0.004918178811203689, 'tp_base_pct_final': 0.02, 'tp_abs_lo_pct_final': 0.02, 'worst_horizon': 2, 'tp_base_pre_override': 0.02, 'tp_abs_lo_pre_override': 0.005, 'tp_eff_targets': {'H2': 0.01, 'H4': 0.031112698372208092, 'H8': 0.044000000000000004}, 'tp_eff_bands': {'H2': [0.01, 0.04], 'H4': [0.014142135623730949, 0.056568542494923796], 'H8': [0.02, 0.08]}, 'scaling': {'s2': 0.7071067811865476, 's4': 1.0, 's8': 1.4142135623730951}, 'atr_quantiles': {'q50': 0.014377259649336338, 'q75': 0.019281272776424885, 'q90': 0.02570387646555899}}"
CFGB9C2539F93,stage1,optuna_s1_MR_short_H8,1.4,tp_pct,0.7,none,sqrt,-0.0025234023766169725,-0.0025234023766169725,0.001782859913857851,0.001782859913857851,0.020206573508312835,0.00389207340631343,0.005892431995566599,0.15720978656949505,0.30919600064621516,0.5335942127842898,0.4664,0.5084,1.9668,-0.340322,-0.340322,8758,17225,30,1.110265,0.7689,False,False,False,34848.98828125,55907.0,0.6233385493990019,0.02621,0.06848,0.001782859913857851,-0.11333508601082957,0.15290769297155146,False,0.31592053513458174,0.09352859999999999,0.09352859999999999,0.15100000000000002,0.8575361031293038,0.001964141472727497,0.010102942999134543,0.9210642213471959,0.753356452830267,-0.4249874848438209,0.9964584041354392,0.6,0.0,0.0,0.0,,,disabled,0,0,0.20867,0.27337,0.5833,0.20867,0.27337,0.5833,0.00016627117240650808,0.0,0,1,False,1,12,0.9964584041354392,0.0001123086767620407,0.001159,,,0.00178,-0.00252,-0.00252,0.5579,0.5579,0.5755,0.5755,0.05846,0.05846,0.4664,1.1581,1.1581,1.4095,1.4095,1.399,1.399,8758.01189,46950.988110000006,True,0,True,1.0,1.0,0.0,0.0,0.0,,,,False,False,False,"{'atr_q': 0.010929286247119308, 'q': 0.25, 'alpha': 0.45, 'margin_mult': 4.0, 'fee_pct_total': 0.003, 'tp_min_tradeable': 0.02, 's_H2': 0.7071067811865476, 'tp_atr_anchor': 0.004918178811203689, 'tp_base_pct_final': 0.02, 'tp_abs_lo_pct_final': 0.02, 'worst_horizon': 2, 'tp_base_pre_override': 0.02, 'tp_abs_lo_pre_override': 0.005, 'tp_eff_targets': {'H2': 0.01, 'H4': 0.031112698372208092, 'H8': 0.044000000000000004}, 'tp_eff_bands': {'H2': [0.01, 0.04], 'H4': [0.014142135623730949, 0.056568542494923796], 'H8': [0.02, 0.08]}, 'scaling': {'s2': 0.7071067811865476, 's4': 1.0, 's8': 1.4142135623730951}, 'atr_quantiles': {'q50': 0.014377259649336338, 'q75': 0.019281272776424885, 'q90': 0.02570387646555899}}"
CFG949EF95003,stage1,optuna_s1_TF_short_H4,1.5,tp_pct,0.6000000000000001,none,sqrt,-0.017645226985407998,-0.017645226985407998,-0.01816270699880483,-0.01816270699880483,0.0009578400156621391,0.020666404704826648,0.03272651360585611,0.15360705777248362,0.3176742108397856,0.5287187313877308,0.4713,0.4835,2.0681,-0.266125,-0.266125,8253,17068,30,1.282155,0.6912,False,False,False,33997.78125,54246.0,0.6267334227408472,0.03051,0.04382,-0.01816270699880483,-0.11688467366082171,0.15253581107688535,False,0.36740818176369383,0.092155,0.092155,0.2158,0.9001413906496968,0.01090840516200389,0.0004789199712153436,0.9815102855205067,0.8610336956858992,-0.3406552802498866,0.9904509088227703,0.55,0.0,0.0,0.0,,,disabled,0,0,0.20476,0.26997,0.5455,0.20476,0.26997,0.5455,0.0010122886265384633,0.0,0,1,False,1,12,0.9904509088227703,0.00043038735748268664,-5e-05,,,-0.01816,-0.01765,-0.01765,0.579,0.579,0.6079,0.6079,0.06912,0.06912,0.4713,1.2108,1.2108,1.5747,1.5747,1.5843,1.5843,8253.15808,45474.84192,True,0,True,1.0,1.0,0.0,0.0,0.0,,,,False,False,False,"{'atr_q': 0.010929286247119308, 'q': 0.25, 'alpha': 0.45, 'margin_mult': 4.0, 'fee_pct_total': 0.003, 'tp_min_tradeable': 0.02, 's_H2': 0.7071067811865476, 'tp_atr_anchor': 0.004918178811203689, 'tp_base_pct_final': 0.018000000000000002, 'tp_abs_lo_pct_final': 0.02, 'worst_horizon': 2, 'tp_base_pre_override': 0.018000000000000002, 'tp_abs_lo_pre_override': 0.005, 'tp_eff_targets': {'H2': 0.01, 'H4': 0.031112698372208092, 'H8': 0.044000000000000004}, 'tp_eff_bands': {'H2': [0.01, 0.04], 'H4': [0.014142135623730949, 0.056568542494923796], 'H8': [0.02, 0.08]}, 'scaling': {'s2': 0.7071067811865476, 's4': 1.0, 's8': 1.4142135623730951}, 'atr_quantiles': {'q50': 0.014377259649336338, 'q75': 0.019281272776424885, 'q90': 0.02570387646555899}}"
CFG27C800D0D9,stage1,optuna_s1_TF_short_H4,1.8000000000000003,tp_pct,0.6000000000000001,none,sqrt,-0.017645227773214887,-0.017645227773214887,-0.018162721105340302,-0.018162721105340302,0.0009578400156621391,0.02066640330731455,0.032726511392810374,0.15360705777248362,0.3176742108397856,0.5287187313877308,0.4713,0.4835,2.0681,-0.266125,-0.266125,8253,17068,30,1.282154,0.6912,False,False,False,33997.78125,54246.0,0.6267334227408472,0.03051,0.04382,-0.018162721105340302,-0.11688467924464668,0.1525358110441854,False,0.36740818170468625,0.092155,0.092155,0.2158,0.9001413906496968,0.010908404424409759,0.0004789199712153436,0.9815102855205067,0.8610336956858992,-0.3406552802498866,0.9904509088227703,0.55,0.0,0.0,0.0,,,disabled,0,0,0.20476,0.26997,0.5455,0.20476,0.26997,0.5455,0.0010122886452384888,0.0,0,1,False,1,12,0.9904509088227703,0.0004303873283788562,-5e-05,,,-0.01816,-0.01765,-0.01765,0.579,0.579,0.6079,0.6079,0.06912,0.06912,0.4713,1.2108,1.2108,1.5747,1.5747,1.5843,1.5843,8253.15808,45474.84192,True,0,True,1.0,1.0,0.0,0.0,0.0,,,,False,False,False,"{'atr_q': 0.010929286247119308, 'q': 0.25, 'alpha': 0.45, 'margin_mult': 4.0, 'fee_pct_total': 0.003, 'tp_min_tradeable': 0.02, 's_H2': 0.7071067811865476, 'tp_atr_anchor': 0.004918178811203689, 'tp_base_pct_final': 0.015, 'tp_abs_lo_pct_final': 0.02, 'worst_horizon': 2, 'tp_base_pre_override': 0.015, 'tp_abs_lo_pre_override': 0.005, 'tp_eff_targets': {'H2': 0.01, 'H4': 0.031112698372208092, 'H8': 0.044000000000000004}, 'tp_eff_bands': {'H2': [0.01, 0.04], 'H4': [0.014142135623730949, 0.056568542494923796], 'H8': [0.02, 0.08]}, 'scaling': {'s2': 0.7071067811865476, 's4': 1.0, 's8': 1.4142135623730951}, 'atr_quantiles': {'q50': 0.014377259649336338, 'q75': 0.019281272776424885, 'q90': 0.02570387646555899}}"
CFG846164C328,stage1,optuna_s1_TF_short_H4,1.6,tp_pct,0.6000000000000001,none,sqrt,-0.01781449453383342,-0.01781449453383342,-0.01829010508562276,-0.01829010508562276,-0.00960325753979368,0.020736607802939275,0.03282603348687463,0.1516064817398746,0.31528715744823355,0.5331063608118919,0.4669,0.4809,2.0796,-0.271757,-0.271757,8149,16947,30,1.287167,0.6906,False,False,False,33762.5703125,54246.0,0.6223974175515246,0.03065,0.04374,-0.01829010508562276,-0.12204978738478728,0.1513517264347818,False,0.366394381048691,0.0923282,0.0923282,0.21619999999999995,0.8983615462175519,0.01094157449626186,-0.004801591868697559,0.9814515732728599,0.8611275090272562,-0.3472758125856651,0.9908749032186706,0.55,0.0,0.0,0.0,,,disabled,0,0,0.20411,0.27123,0.5455,0.20411,0.27123,0.5455,0.0010716156807102101,0.0,0,1,False,1,12,0.9908749032186706,0.00043298915261402726,-5.2e-05,,,-0.01829,-0.01781,-0.01781,0.5795,0.5795,0.6081,0.6081,0.06859,0.06859,0.4669,1.2122,1.2122,1.5749,1.5749,1.5839,1.5839,8149.189109999999,45601.81089,True,0,True,1.0,1.0,0.0,0.0,0.0,,,,False,False,False,"{'atr_q': 0.010929286247119308, 'q': 0.25, 'alpha': 0.45, 'margin_mult': 4.0, 'fee_pct_total': 0.003, 'tp_min_tradeable': 0.02, 's_H2': 0.7071067811865476, 'tp_atr_anchor': 0.004918178811203689, 'tp_base_pct_final': 0.017, 'tp_abs_lo_pct_final': 0.02, 'worst_horizon': 2, 'tp_base_pre_override': 0.017, 'tp_abs_lo_pre_override': 0.005, 'tp_eff_targets': {'H2': 0.01, 'H4': 0.031112698372208092, 'H8': 0.044000000000000004}, 'tp_eff_bands': {'H2': [0.01, 0.04], 'H4': [0.014142135623730949, 0.056568542494923796], 'H8': [0.02, 0.08]}, 'scaling': {'s2': 0.7071067811865476, 's4': 1.0, 's8': 1.4142135623730951}, 'atr_quantiles': {'q50': 0.014377259649336338, 'q75': 0.019281272776424885, 'q90': 0.02570387646555899}}"
CFG1E1728E235,stage1,optuna_s1_TF_short_H4,1.3,tp_pct,0.6000000000000001,none,sqrt,-0.01827270711903501,-0.01827270711903501,-0.01768323508735394,-0.01768323508735394,-0.00518679499841801,0.022809573485178897,0.03610965521360566,0.13986338493521921,0.29882689237851284,0.561309722686268,0.4387,0.468,2.1366,-0.302167,-0.302167,7535,16099,30,1.323748,0.6867,False,False,False,32185.59765625,54245.0,0.593337591598304,0.03054,0.04352,-0.01768323508735394,-0.1262471455532591,0.14549960697895142,False,0.36693816223253267,0.09709411125960575,0.09709411125960575,0.22360000000000002,0.8946007754381358,0.01203597049205367,-0.0025933916850776396,0.9820589486880811,0.86220130846792,-0.38241874373461204,0.9931606599686607,0.55,0.0,0.0,0.0,,,disabled,0,0,0.20058,0.27901,0.6364,0.20058,0.27901,0.6364,0.0011371834743816867,0.0,0,1,False,1,12,0.9931606599686607,0.000485661206766963,-0.0,,,-0.01768,-0.01827,-0.01827,0.5851,0.5851,0.6118,0.6118,0.0675,0.0675,0.4387,1.2279,1.2279,1.5772,1.5772,1.5881,1.5881,7534.81764,46339.18236,True,0,True,1.0,1.0,0.0,0.0,0.0,,,,False,False,False,"{'atr_q': 0.010929286247119308, 'q': 0.25, 'alpha': 0.45, 'margin_mult': 4.0, 'fee_pct_total': 0.003, 'tp_min_tradeable': 0.02, 's_H2': 0.7071067811865476, 'tp_atr_anchor': 0.004918178811203689, 'tp_base_pct_final': 0.022, 'tp_abs_lo_pct_final': 0.02, 'worst_horizon': 2, 'tp_base_pre_override': 0.022, 'tp_abs_lo_pre_override': 0.005, 'tp_eff_targets': {'H2': 0.01, 'H4': 0.031112698372208092, 'H8': 0.044000000000000004}, 'tp_eff_bands': {'H2': [0.01, 0.04], 'H4': [0.014142135623730949, 0.056568542494923796], 'H8': [0.02, 0.08]}, 'scaling': {'s2': 0.7071067811865476, 's4': 1.0, 's8': 1.4142135623730951}, 'atr_quantiles': {'q50': 0.014377259649336338, 'q75': 0.019281272776424885, 'q90': 0.02570387646555899}}"
CFG6950B739D4,stage1,optuna_s1_TF_short_H4,1.6,tp_pct,0.6000000000000001,none,sqrt,-0.018752203000412238,-0.018752203000412238,-0.018069025954861224,-0.018069025954861224,-0.011388473088269135,0.02249250656559977,0.03557662294155936,0.1386362792769385,0.2967410266879477,0.5646226940351138,0.4354,0.4672,2.1404,-0.305018,-0.305018,7470,15989,30,1.328232,0.6862,False,False,False,31989.755859375,54245.0,0.589727271810766,0.03002,0.0432,-0.018069025954861224,-0.1295214381815967,0.14386077428689426,False,0.3660291736279005,0.0984090620912364,0.0984090620912364,0.22360000000000002,0.8924715698642051,0.011858318429161572,-0.005694175000998171,0.9818299269564696,0.861642223519285,-0.38565963864417213,0.9933081389989861,0.55,0.0,0.0,0.0,,,disabled,0,0,0.20044,0.28027,0.7273,0.20044,0.28027,0.7273,0.0011230285357063017,0.0,0,1,False,1,12,0.9933081389989861,0.0004800825845450163,-2.1e-05,,,-0.01807,-0.01875,-0.01875,0.5852,0.5852,0.6118,0.6118,0.0669,0.0669,0.4354,1.2285,1.2285,1.576,1.576,1.5865,1.5865,7470.20048,46411.79952,True,0,True,1.0,1.0,0.0,0.0,0.0,,,,False,False,False,"{'atr_q': 0.010929286247119308, 'q': 0.25, 'alpha': 0.45, 'margin_mult': 4.0, 'fee_pct_total': 0.003, 'tp_min_tradeable': 0.02, 's_H2': 0.7071067811865476, 'tp_atr_anchor': 0.004918178811203689, 'tp_base_pct_final': 0.018000000000000002, 'tp_abs_lo_pct_final': 0.02, 'worst_horizon': 2, 'tp_base_pre_override': 0.018000000000000002, 'tp_abs_lo_pre_override': 0.005, 'tp_eff_targets': {'H2': 0.01, 'H4': 0.031112698372208092, 'H8': 0.044000000000000004}, 'tp_eff_bands': {'H2': [0.01, 0.04], 'H4': [0.014142135623730949, 0.056568542494923796], 'H8': [0.02, 0.08]}, 'scaling': {'s2': 0.7071067811865476, 's4': 1.0, 's8': 1.4142135623730951}, 'atr_quantiles': {'q50': 0.014377259649336338, 'q75': 0.019281272776424885, 'q90': 0.02570387646555899}}"
CFGD5F44E4D66,stage1,optuna_s1_TF_short_H4,1.3,tp_pct,0.6000000000000001,none,sqrt,-0.01935736648977128,-0.01935736648977128,-0.01815655096111481,-0.01815655096111481,-0.004056763836696999,0.023009972207878666,0.03638580145556624,0.13145696592131123,0.285144806615493,0.5833982274631958,0.4166,0.461,2.1691,-0.318933,-0.318933,7090,15379,30,1.35571,0.6834,False,False,False,30870.15625,54244.0,0.5690980799719785,0.02871,0.04159,-0.01815655096111481,-0.13104123502507836,0.13757206144114256,False,0.36579037827781674,0.10527183278822264,0.10527183278822264,0.2250000000000001,0.8868830832131998,0.012128005802544731,-0.00202837913654005,0.9824250229241313,0.8634040455878699,-0.4013387308955346,0.9942850822210751,0.55,0.0,0.0,0.0,,,disabled,0,0,0.19848,0.28558,0.5455,0.19848,0.28558,0.5455,0.0010119555841597797,0.0,0,1,False,1,12,0.9942850822210751,0.0004991489113308489,-1.7e-05,,,-0.01816,-0.01936,-0.01936,0.5873,0.5873,0.6125,0.6125,0.06538,0.06538,0.4166,1.2401,1.2401,1.5798,1.5798,1.5907,1.5907,7090.16364,46843.83636,True,0,True,1.0,1.0,0.0,0.0,0.0,,,,False,False,False,"{'atr_q': 0.010929286247119308, 'q': 0.25, 'alpha': 0.45, 'margin_mult': 4.0, 'fee_pct_total': 0.003, 'tp_min_tradeable': 0.02, 's_H2': 0.7071067811865476, 'tp_atr_anchor': 0.004918178811203689, 'tp_base_pct_final': 0.023, 'tp_abs_lo_pct_final': 0.02, 'worst_horizon': 2, 'tp_base_pre_override': 0.023, 'tp_abs_lo_pre_override': 0.005, 'tp_eff_targets': {'H2': 0.01, 'H4': 0.031112698372208092, 'H8': 0.044000000000000004}, 'tp_eff_bands': {'H2': [0.01, 0.04], 'H4': [0.014142135623730949, 0.056568542494923796], 'H8': [0.02, 0.08]}, 'scaling': {'s2': 0.7071067811865476, 's4': 1.0, 's8': 1.4142135623730951}, 'atr_quantiles': {'q50': 0.014377259649336338, 'q75': 0.019281272776424885, 'q90': 0.02570387646555899}}"
