mode,status,best_name,candidate_count,shortlist_count,best_shortlist_score,score_r,delta_r,N_r,S_r,D_r,event_count,active_days_fraction,events_per_day_mean,events_per_day_std,events_per_day_per_asset,primary_gain,primary_gain_is_nan,incremental_information_delta_auc,incremental_information_positive_fold_fraction,dispersion_to_edge_ratio,selected_delta_metric,decision,rationale
price_up_mr,ok,abs_move_threshold|z=4|p=5.0|d=2,8,4,3.6685640811920166,3.6685640811920166,0.007280831225216389,10633.0,0.8684548139572144,-0.8302524089813232,10633,0.9986206896551724,14.666206896551724,6.504663798353272,0.05555381400208986,0.0,0.0,0.01456166199310327,1.0,138.72283046448496,0.5*incremental_information_delta_auc,ranked,positive bucket OOS delta_r=0.0073; shrunk delta=0.0070; stability=0.868; positive-fold fraction=1.000; delta-auc=0.0146; delta-auc positive folds=1.000; dispersion/edge=138.723; dispersion=-0.830
price_up_tf,ok,abs_move_threshold|z=4|p=4.0|d=2,6,4,5.238349914550781,5.238349914550781,0.014577249996364117,11453.0,0.8727368116378784,-0.7509615421295166,11453,0.9986206896551724,15.797241379310345,6.533647076032637,0.0598380355276907,0.0,0.0,0.029154500100914138,1.0,502.2046791455784,0.5*incremental_information_delta_auc,ranked,positive bucket OOS delta_r=0.0146; shrunk delta=0.0140; stability=0.873; positive-fold fraction=1.000; delta-auc=0.0292; delta-auc positive folds=1.000; dispersion/edge=502.205; dispersion=-0.751
price_down_mr,ok,abs_move_threshold|z=4|p=6.0|d=2,4,4,3.273829460144043,3.273829460144043,0.01947687566280365,14234.0,0.9761470556259155,-0.3306577205657959,14234,0.9972413793103448,19.63310344827586,7.863350651729648,0.07436781609195402,0.0,0.0,0.03895375303198956,1.0,214.0087730687805,0.5*incremental_information_delta_auc,ranked,positive bucket OOS delta_r=0.0195; shrunk delta=0.0188; stability=0.976; positive-fold fraction=1.000; delta-auc=0.0390; delta-auc positive folds=1.000; dispersion/edge=214.009; dispersion=-0.331
price_down_tf,ok,std_threshold|z=4|p=1.4|d=2,1,1,0.46627938747406006,0.46627938747406006,0.006812571082264185,9511.0,0.9851799011230469,0.33365097641944885,9511,0.993103448275862,13.118620689655172,7.851887418228654,0.04969174503657262,0.0,0.0,0.013625142069875251,1.0,141.3095245166696,0.5*incremental_information_delta_auc,ranked,positive bucket OOS delta_r=0.0068; shrunk delta=0.0065; stability=0.985; positive-fold fraction=1.000; delta-auc=0.0136; delta-auc positive folds=1.000; dispersion/edge=141.310; dispersion=0.334
