name,family,z_hours,duration_hours,conditioner_mode,total_events,active_days_fraction,events_per_day_mean,events_per_day_std,events_per_day_per_asset,bars_to_peak_dispersion,speed_dispersion,monotonicity_dispersion,impulse_shape_dispersion,post_event_vol_dispersion,regime_distinctness_score,fold_base_rate_stability,fold_continuation_rate_std,fold_event_count_std,basic_directionality_edge_event_vs_non_event,primary_predictability_gain,continuation_predictability_gain,reversal_predictability_gain,bucket_primary_delta_fold_mean,bucket_primary_delta_fold_std,bucket_primary_delta_fold_count,bucket_primary_delta_fold_min,MAE_predictability_gain,MFE_predictability_gain,reversal_utility_gain,mae_event_oos_r2,mfe_event_oos_r2,magnitude_delta_r,magnitude_positive_fold_fraction,magnitude_stability_score,magnitude_fold_count,magnitude_delta_fold_mean,magnitude_delta_fold_std,selected_delta_metric,incremental_information_delta_auc,incremental_information_delta_auc_fold_mean,incremental_information_delta_auc_fold_std,incremental_information_positive_fold_fraction,incremental_information_positive_fold_count,incremental_information_fold_count,dispersion_to_edge_ratio,edge_to_dispersion_ratio,return_uplift,primary_predictability_gain_is_nan,predictability_gain,D_r,N_r,bucket_primary_predictability_gain,delta_r_raw,delta_r_fallback,delta_r,delta_r_fold_mean,delta_r_fold_std,positive_fold_fraction_r,S_r,delta_r_shrunk,uplift_anchor,primary_multiplier,worst_fold_multiplier,noise_penalty,disagreement_penalty,learnability_support,effective_edge,score_r,score_ml,feature_base,feature_learnability_gain,feature_positive_fold_fraction,conditional_predictability_gain,conditional_predictability_positive_fold_fraction,conditional_predictability_regime_r2,conditional_predictability_baseline_r2,feature_conditioned_spread,economic_gain_r,geometry_weighted_mfe_coverage,fixed_tp_mfe_coverage,aggregate_mfe_coverage,tbm_lgbm_auc_regime,tbm_lgbm_auc_baseline,tbm_lgbm_auc_lift_vs_baseline,tbm_lgbm_top_bucket_lift_vs_baseline,tbm_lgbm_positive_fold_fraction,tbm_lgbm_stability,tbm_lgbm_selected_geometry,coverage_multiplier,predictability_anchor,predictability_positive_multiplier,spread_multiplier,difference_prior,tbm_auc_support,tbm_lift_support,score_ml_trading,shortlist_score,decision,regime_id,regime_definition,rationale,tier,net_regime_value,complexity_multiplier
compression_transition|z=4|p=compression_expansion_transition_gt_1.8,compression_transition,4,1,none,3599,0.8507462686567164,53.71641791044776,42.90280788575576,0.39497366110623355,0.8846922516822815,0.017778746783733368,0.36052584648132324,1.262996844947338,0.02830350212752819,1.2039576918547714,0.10606289654970169,0.10606289654970169,239.30413818359375,-0.004995683208107948,-0.06021158179407282,-0.06363374374133779,-0.06363374374133779,0.0,0.0,6.0,0.0,-0.0015531810826978631,-0.0038811097939472905,-0.13623112093964873,-0.007211566641181388,-0.00996187201331944,-0.007211566641181388,0.0,0.0,9.0,-1984.68505859375,5613.50537109375,return_uplift,0.008623858835269227,0.013942435383796692,0.01638471707701683,0.7777777777777778,7.0,9.0,252.81764121822332,0.003955420180258842,-0.004995683208107948,0.0,-0.00155318109318614,-0.11707862,3599.0,-0.0636337473988533,-0.004995683208107948,0.004311929456889629,-0.004995683208107948,0.0,0.0,0.7777777910232544,0.8888888955116272,-0.0043863048776984215,0.0,0.4375993609428406,1.0,2.3841538,1.0,0.008623859,0.0,0.0,0.0,compression_expansion_transition,0.0,0.0,-0.41337046,0.0,-0.44431153,-0.030941127,0.0,0.019772945,0.043043636,0.045260463,0.043043636,0.5,0.5,0.0,0.0,0.0,0.0,tp=1.25|sl=0.50,0.3791309,0.0,0.75,1.0,0.85,0.0,0.0,0.0,0.0,ranked,compression_transition|z=4|p=compression_expansion_transition_gt_1.8,compression_transition|z=4|p=compression_expansion_transition_gt_1.8,shrunk delta=-0.0044; stability=0.889; positive-fold fraction=0.778; delta-auc=0.0086; delta-auc positive folds=0.778; dispersion/edge=252.818; dispersion=-0.064,0,,1.0
volatility_expansion|z=4|p=hl_range_gt_1.4,volatility_expansion,4,1,none,4283,0.8656716417910447,63.92537313432836,49.804187749606804,0.47003950834064967,0.9024770855903625,0.030905894935131073,0.3439152240753174,1.277298204600811,0.04036899656057358,1.1843479610221799,0.050195079296827316,0.050195079296827316,419.4871826171875,-0.004803502932190895,-0.02498663883191854,-0.03502612398542437,-0.03502612398542437,0.0,0.0,6.0,0.0,-0.0034720980420783754,-0.0017380733003753424,-0.025048479039491145,-0.0091304836005619,-0.007818835519747491,-0.007818835519747491,0.0,0.0,9.0,-1465.1834716796875,4144.13525390625,return_uplift,-0.01830866394334546,0.015838004648685455,0.01173302624374628,0.7777777777777778,7.0,9.0,265.9097376710106,0.0037606746137188183,-0.004803502932190895,0.0,-0.0017380733042955399,-0.029388826,4283.0,-0.035026125609874725,-0.004803502932190895,-0.009154331870377064,-0.004803502932190895,0.0,0.0,0.7777777910232544,0.8888888955116272,-0.004301359876990318,0.0,0.6633927822113037,1.0,2.3967276,1.0,0.0,0.0,0.0,0.0,hl_range,0.0,0.0,-0.10062934,0.16666667,-0.13428497,-0.03365563,0.0,0.0060734064,0.038600788,0.040556755,0.038600788,0.5,0.5,0.0,0.0,0.0,0.0,tp=1.25|sl=0.50,0.36580235,0.0,0.7916667,1.0,0.85,0.0,0.0,0.0,0.0,ranked,volatility_expansion|z=4|p=hl_range_gt_1.4,volatility_expansion|z=4|p=hl_range_gt_1.4,shrunk delta=-0.0043; stability=0.889; positive-fold fraction=0.778; delta-auc=-0.0183; delta-auc positive folds=0.778; dispersion/edge=265.910; dispersion=0.010,0,,1.0
structure|z=8|p=breakout_distance_up_atr_gt_1.4,structure,8,1,none,1846,0.8656716417910447,27.55223880597015,23.76582494436613,0.20258999122036875,0.26081719994544983,0.009166876785457134,0.23079609870910645,0.5007801754400134,0.048267170786857605,1.2690953327491497,0.08404363691806793,0.08404363691806793,130.79075622558594,-0.00727942306548357,-0.060367577260004635,-0.06470837345710712,-0.06470837345710712,0.0,0.0,6.0,0.0,-0.0027439207704538227,-0.0028017595043827725,-0.053350315095183065,-0.008402306328937348,-0.008882521723754921,-0.008402306328937348,0.0,0.0,9.0,-545.8571166992188,1543.8817138671875,return_uplift,0.0016041532190828045,0.008695945143699646,0.005001378711313009,0.8888888888888888,8.0,9.0,68.79393750509358,0.014536164613719907,-0.00727942306548357,0.0,-0.0027439207769930363,-0.18423037,1846.0,-0.06470837444067001,-0.00727942306548357,0.000802076596301049,-0.00727942306548357,0.0,0.0,0.8888888955116272,0.9444444179534912,-0.005727968644350767,0.0,0.43029648065567017,1.0,2.0613868,1.0,0.0016041532,0.0,0.0,0.0,breakout_distance_up_atr,0.0,0.0,-0.077233225,0.2,-0.11707516,-0.03984193,0.0,0.0077345367,0.042092748,0.043526787,0.042092748,0.5,0.5,0.0,0.0,0.0,0.0,tp=1.25|sl=0.50,0.37627825,0.0,0.8,1.0,0.85,0.0,0.0,0.0,0.0,ranked,structure|z=8|p=breakout_distance_up_atr_gt_1.4,structure|z=8|p=breakout_distance_up_atr_gt_1.4,shrunk delta=-0.0057; stability=0.944; positive-fold fraction=0.889; delta-auc=0.0016; delta-auc positive folds=0.889; dispersion/edge=68.794; dispersion=-0.097,0,,1.0
compression_transition|z=4|p=compression_expansion_transition_gt_1.6,compression_transition,4,1,none,4140,0.8507462686567164,61.791044776119406,48.20495339427539,0.4543459174714662,0.9005342125892639,0.018016869202256203,0.36354485154151917,1.2820959333330393,0.026844725012779236,1.124804001174023,0.10991787910461426,0.10991787910461426,270.306396484375,-0.004682821687310934,-0.0574271348140305,-0.06451122625710515,-0.06451122625710515,0.0,0.0,6.0,0.0,-0.0023543707856297225,-0.004115643865385765,-0.13048537584456144,-0.008012756344113248,-0.010196406084757914,-0.008012756344113248,0.0,0.0,9.0,-944.3677368164062,2671.044921875,return_uplift,-0.0043063589450659245,0.014796869829297066,0.0153023861348629,0.7777777777777778,7.0,9.0,273.7870495490232,0.0036524737077490727,-0.004682821687310934,0.0,-0.0023543708957731724,-0.10464539,4140.0,-0.06451122462749481,-0.004682821687310934,-0.0021531793754547834,-0.004682821687310934,0.0,0.0,0.7777777910232544,0.8888888955116272,-0.004178207367658615,0.0,0.43162959814071655,1.0,2.403999,1.0,0.0,0.0,0.0,0.0,compression_expansion_transition,0.0,0.0,-0.39482287,0.0,-0.42533743,-0.030514581,0.0,0.01608276,0.041497365,0.044048503,0.041497365,0.5,0.5,0.0,0.0,0.0,0.0,tp=1.25|sl=0.50,0.3744921,0.0,0.75,1.0,0.85,0.0,0.0,0.0,0.0,ranked,compression_transition|z=4|p=compression_expansion_transition_gt_1.6,compression_transition|z=4|p=compression_expansion_transition_gt_1.6,shrunk delta=-0.0042; stability=0.889; positive-fold fraction=0.778; delta-auc=-0.0043; delta-auc positive folds=0.778; dispersion/edge=273.787; dispersion=-0.055,0,,1.0
volatility_expansion|z=8|p=intrabar_range_atr_gt_2.0,volatility_expansion,8,1,none,3478,0.8656716417910447,51.91044776119403,46.15604012583853,0.38169446883230906,2.114149332046509,0.02788224071264267,0.2986275255680084,2.44065909832716,0.06513972580432892,1.3010933972247607,0.05513229966163635,0.05513229966163635,371.74383544921875,-0.0018561098258942366,-0.04654010917996465,-0.05150419731046746,-0.05150419731046746,0.0,0.0,6.0,0.0,-0.003435528921762465,-0.0014947477408622234,-0.03023580350099686,-0.00909391448024599,-0.007575509960234372,-0.007575509960234372,0.0,0.0,9.0,-2916.28173828125,8248.462890625,return_uplift,0.0036668579733663,0.0005453085759654641,0.004492300096899271,0.5555555555555556,5.0,9.0,1314.9324809760647,0.0007604953215983435,-0.0018561098258942366,0.0,-0.0014947477029636502,0.37591195,3478.0,-0.05150419846177101,-0.0018561098258942366,0.0018334289779886603,-0.0018561098258942366,0.0,0.0,0.5555555820465088,0.7777777910232544,-0.00162281293887645,0.0,0.5261356234550476,1.0,2.7955751,1.0,0.003666858,0.0,0.0,0.0,intrabar_range_atr,0.0,0.0,-0.10810312,0.33333334,-0.14175023,-0.033647124,0.0,0.0112665165,0.042941216,0.04409171,0.042941216,0.5,0.5,0.0,0.0,0.0,0.0,tp=1.25|sl=0.50,0.37882364,0.0,0.8333333,1.0,0.85,0.0,0.0,0.0,0.0,ranked,volatility_expansion|z=8|p=intrabar_range_atr_gt_2.0,volatility_expansion|z=8|p=intrabar_range_atr_gt_2.0,shrunk delta=-0.0016; stability=0.778; positive-fold fraction=0.556; delta-auc=0.0037; delta-auc positive folds=0.556; dispersion/edge=1314.932; dispersion=0.395,0,,1.0
volatility_expansion|z=4|p=intrabar_range_atr_gt_2.0,volatility_expansion,4,1,none,3462,0.8656716417910447,51.67164179104478,42.99961404189906,0.37993854258121157,0.8794522285461426,0.03389490023255348,0.3455347716808319,1.258881900459528,0.05183684453368187,1.2254499349975134,0.06163220480084419,0.06163220480084419,351.017578125,-0.0035675198305398226,-0.0399086008078578,-0.04533409642086711,-0.04533409642086711,0.0,0.0,6.0,0.0,-0.002725566954910441,-0.0018360875783767217,-0.06514315560522688,-0.008383952513393966,-0.00791684979774887,-0.00791684979774887,0.0,0.0,9.0,-1909.3033447265625,5400.29345703125,return_uplift,-0.0009554321689256295,0.00968568492680788,0.00807082187384367,0.7777777777777778,7.0,9.0,352.873133229098,0.0028338796746839997,-0.0035675198305398226,0.0,-0.001836087554693222,0.048663877,3462.0,-0.0453340969979763,-0.0035675198305398226,-0.00047771609388291836,-0.0035675198305398226,0.0,0.0,0.7777777910232544,0.8888888955116272,-0.0031173028983175755,0.0,0.5753586292266846,1.0,2.4672346,1.0,0.0,0.0,0.0,0.0,intrabar_range_atr,0.0,0.0,-0.20159228,0.16666667,-0.23474316,-0.03315087,0.0,0.011162704,0.038054645,0.039384067,0.038054645,0.5,0.5,0.0,0.0,0.0,0.0,tp=1.25|sl=0.50,0.36416394,0.0,0.7916667,1.0,0.85,0.0,0.0,0.0,0.0,ranked,volatility_expansion|z=4|p=intrabar_range_atr_gt_2.0,volatility_expansion|z=4|p=intrabar_range_atr_gt_2.0,shrunk delta=-0.0031; stability=0.889; positive-fold fraction=0.778; delta-auc=-0.0010; delta-auc positive folds=0.778; dispersion/edge=352.873; dispersion=0.097,0,,1.0
volatility_expansion|z=4|p=hl_range_gt_1.6,volatility_expansion,4,1,none,3914,0.8656716417910447,58.417910447761194,45.78409723706339,0.42954345917471465,0.9002729058265686,0.031303536146879196,0.34452641010284424,1.276102852076292,0.04190708324313164,1.2072629388873315,0.049461305141448975,0.049461305141448975,387.8940734863281,-0.00527934217825532,-0.027912645978180273,-0.03644257863446693,-0.03644257863446698,0.0,0.0,6.0,0.0,-0.003595066354706855,-0.0018142171258073159,-0.02333580355272158,-0.00925345191319038,-0.007894979345179465,-0.007894979345179465,0.0,0.0,9.0,-1507.3883056640625,4263.5068359375,return_uplift,0.0015708216487805293,0.013970155268907547,0.008937464095652103,0.8888888888888888,8.0,9.0,241.7162610395543,0.004137082030390833,-0.00527934217825532,0.0,-0.0018142170738428831,-0.032778464,3914.0,-0.036442577838897705,-0.00527934217825532,0.0007854108116589487,-0.00527934217825532,0.0,0.0,0.8888888955116272,0.9444444179534912,-0.004681319929659367,0.0,0.6508935689926147,1.0,2.3729734,1.0,0.0015708216,0.0,0.0,0.0,hl_range,0.0,0.0,-0.09490356,0.16666667,-0.12856144,-0.03365789,0.0,0.00975076,0.03830503,0.040083837,0.03830503,0.5,0.5,0.0,0.0,0.0,0.0,tp=1.25|sl=0.50,0.36491507,0.0,0.7916667,1.0,0.85,0.0,0.0,0.0,0.0,ranked,volatility_expansion|z=4|p=hl_range_gt_1.6,volatility_expansion|z=4|p=hl_range_gt_1.6,shrunk delta=-0.0047; stability=0.944; positive-fold fraction=0.889; delta-auc=0.0016; delta-auc positive folds=0.889; dispersion/edge=241.716; dispersion=0.010,0,,1.0
compression_transition|z=4|p=compression_expansion_transition_gt_2.0,compression_transition,4,1,none,3150,0.8507462686567164,47.014925373134325,38.36878883073734,0.3456979806848112,0.872029721736908,0.017048604786396027,0.35983529686927795,1.248913623392582,0.02927638404071331,1.2065637506462463,0.10471788793802261,0.10471788793802261,207.7030487060547,-0.005315265152603388,-0.04641581686068935,-0.05867528017708429,-0.05867528017708423,0.0,0.0,6.0,0.0,-0.002471169819999286,-0.0036818028982625872,-0.1455681554355357,-0.008129555378482811,-0.009762565117634736,-0.008129555378482811,0.0,0.0,9.0,-2066.264892578125,5844.2451171875,return_uplift,0.0038070970113415203,0.01388273760676384,0.015085381455719471,0.7777777777777778,7.0,9.0,234.96732289655782,0.0042559109397532725,-0.005315265152603388,0.0,-0.0024711699225008488,-0.12851673,3150.0,-0.05867528170347214,-0.005315265152603388,0.0019035484874621034,-0.005315265152603388,0.0,0.0,0.7777777910232544,0.8888888955116272,-0.004587146453559399,0.0,0.47244375944137573,1.0,2.3659234,1.0,0.003807097,0.0,0.0,0.0,compression_expansion_transition,0.0,0.0,-0.43352938,0.16666667,-0.46488416,-0.03135478,0.0,0.007486454,0.04144276,0.043662433,0.04144276,0.5,0.5,0.0,0.0,0.0,0.0,tp=1.25|sl=0.50,0.3743283,0.0,0.7916667,1.0,0.85,0.0,0.0,0.0,0.0,ranked,compression_transition|z=4|p=compression_expansion_transition_gt_2.0,compression_transition|z=4|p=compression_expansion_transition_gt_2.0,shrunk delta=-0.0046; stability=0.889; positive-fold fraction=0.778; delta-auc=0.0038; delta-auc positive folds=0.778; dispersion/edge=234.967; dispersion=-0.072,0,,1.0
compression_transition|z=4|p=compression_expansion_transition_gt_1.6_prior_volatility_gt_q20_lt_q80,compression_transition,4,1,prior_volatility > q20 AND prior_volatility < q80,2431,0.8507462686567164,61.791044776119406,48.20495339427539,0.4543459174714662,0.9005342125892639,0.018016869202256203,0.36354485154151917,1.2919664811342955,0.026844725012779236,1.124804001174023,0.10991787910461426,0.10991787910461426,270.306396484375,-0.004682821687310934,-0.05821105069910848,-0.05821105069910848,,0.0,0.0,6.0,0.0,-0.0013983404458772775,0.0004633820168631342,-0.07498796313069866,-0.006600535774506033,-0.0047470367060076235,-0.0047470367060076235,0.0,0.0,9.0,-195.5442352294922,532.2714233398438,mfe_event_oos_r2,-0.02551727320260272,0.004469743929803371,0.010913945734500885,0.6666666666666666,6.0,9.0,258.9518705776798,0.003861721476539874,-0.0049892147071659565,0.0,-0.0023543708957731724,-0.1028018,4140.0,-0.06451122462749481,-0.0049892147071659565,-0.01275863660130136,-0.0049892147071659565,0.0,0.0,0.7777777910232544,0.8888888955116272,-0.004178207367658615,0.0,0.43162959814071655,1.0,2.390124,1.0,0.0,0.0,0.0,0.0,compression_expansion_transition,0.0,0.0,-0.54731464,0.0,-0.5797408,-0.032426164,0.0,-0.00065631303,0.02107024,0.022871664,0.02107024,0.5,0.5,0.0,0.0,0.0,0.0,tp=2.50|sl=1.10,0.31321073,0.0,0.75,1.0,0.85,0.0,0.0,0.0,0.0,ranked,compression_transition|z=4|p=compression_expansion_transition_gt_1.6,compression_transition|z=4|p=compression_expansion_transition_gt_1.6,shrunk delta=-0.0042; stability=0.889; positive-fold fraction=0.778; delta-auc=-0.0043; delta-auc positive folds=0.778; dispersion/edge=273.787; dispersion=-0.055,1,1.0605419469243627,0.95
volatility_expansion|z=4|p=hl_range_gt_1.8,volatility_expansion,4,1,none,3536,0.8656716417910447,52.776119402985074,41.70608635046341,0.3880597014925373,0.8946905136108398,0.03260859102010727,0.34492769837379456,1.2722268030047417,0.043951597064733505,1.2240433141579188,0.05484908074140549,0.05484908074140549,355.0283508300781,-0.005890189670026302,-0.020977179134492707,-0.029633204882179243,-0.029633204882179354,0.0,0.0,6.0,0.0,-0.003064953333670184,-0.0016238805965154146,-0.028559056018936158,-0.00872333889215371,-0.0077046428158875635,-0.0077046428158875635,0.0,0.0,9.0,-1309.866455078125,3704.82958984375,return_uplift,0.002418945566955988,0.015483913943171501,0.01030221302062273,0.8888888888888888,8.0,9.0,215.99080407865043,0.004629826738530323,-0.005890189670026302,0.0,-0.0016238805837929249,-0.022689689,3536.0,-0.029633205384016037,-0.005890189670026302,0.0012094727717339993,-0.005890189670026302,0.0,0.0,0.8888888955116272,0.9444444179534912,-0.005160483531653881,0.0,0.7120476365089417,1.0,2.3449638,1.0,0.0024189455,0.0,0.0,0.0,hl_range,0.0,0.0,-0.094621785,0.16666667,-0.12828404,-0.033662256,0.0,0.016654326,0.03765333,0.039119095,0.03765333,0.5,0.5,0.0,0.0,0.0,0.0,tp=1.25|sl=0.50,0.36295998,0.0,0.7916667,1.0,0.85,0.0,0.0,0.0,0.0,ranked,volatility_expansion|z=4|p=hl_range_gt_1.8,volatility_expansion|z=4|p=hl_range_gt_1.8,shrunk delta=-0.0052; stability=0.944; positive-fold fraction=0.889; delta-auc=0.0024; delta-auc positive folds=0.889; dispersion/edge=215.991; dispersion=0.023,0,,1.0
structure|z=4|p=breakout_distance_up_atr_gt_1.6,structure,4,1,none,1857,0.8507462686567164,27.71641791044776,21.954366491979606,0.20379719051799824,0.0867675244808197,0.01984589733183384,0.20138652622699738,0.3079999480396509,0.04861185699701309,1.3615597075153447,0.07395891845226288,0.07395891845226288,153.0443878173828,-0.007046231999993324,-0.045768172891635484,-0.04743709608539326,-0.04743709608539315,0.0,0.0,6.0,0.0,-0.004377018898044316,-0.003672466935919605,-0.004805114142702349,-0.010035404456527841,-0.009753229155291754,-0.009753229155291754,0.0,0.0,9.0,-5370.86328125,15191.0458984375,return_uplift,0.0022529836735752373,0.011255476623773575,0.005238907877355814,0.8888888888888888,8.0,9.0,43.71129818602946,0.022877380482824675,-0.007046231999993324,0.0,-0.0036724668461829424,-0.22448209,1857.0,-0.04743709787726402,-0.007046231999993324,0.0011264918139204383,-0.007046231999993324,0.0,0.0,0.8888888955116272,0.9444444179534912,-0.005551486276090145,0.0,0.5582758188247681,1.0,1.9500566,1.0,0.0022529836,0.0,0.0,0.0,breakout_distance_up_atr,0.0,0.0,-0.036667272,0.2,-0.07690003,-0.04023276,0.0,0.004268335,0.040891863,0.041993283,0.040891863,0.5,0.5,0.0,0.0,0.0,0.0,tp=1.25|sl=0.50,0.3726756,0.0,0.8,1.0,0.85,0.0,0.0,0.0,0.0,ranked,structure|z=4|p=breakout_distance_up_atr_gt_1.6,structure|z=4|p=breakout_distance_up_atr_gt_1.6,shrunk delta=-0.0056; stability=0.944; positive-fold fraction=0.889; delta-auc=0.0023; delta-auc positive folds=0.889; dispersion/edge=43.711; dispersion=-0.134,0,,1.0
