name,family,z_hours,duration_hours,conditioner_mode,total_events,active_days_fraction,events_per_day_mean,events_per_day_std,events_per_day_per_asset,bars_to_peak_dispersion,speed_dispersion,monotonicity_dispersion,impulse_shape_dispersion,post_event_vol_dispersion,regime_distinctness_score,fold_base_rate_stability,fold_continuation_rate_std,fold_event_count_std,basic_directionality_edge_event_vs_non_event,primary_predictability_gain,continuation_predictability_gain,reversal_predictability_gain,bucket_primary_delta_fold_mean,bucket_primary_delta_fold_std,bucket_primary_delta_fold_count,bucket_primary_delta_fold_min,MAE_predictability_gain,MFE_predictability_gain,reversal_utility_gain,mae_event_oos_r2,mfe_event_oos_r2,magnitude_delta_r,magnitude_positive_fold_fraction,magnitude_stability_score,magnitude_fold_count,magnitude_delta_fold_mean,magnitude_delta_fold_std,selected_delta_metric,incremental_information_delta_auc,incremental_information_delta_auc_fold_mean,incremental_information_delta_auc_fold_std,incremental_information_positive_fold_fraction,incremental_information_positive_fold_count,incremental_information_fold_count,dispersion_to_edge_ratio,edge_to_dispersion_ratio,return_uplift,primary_predictability_gain_is_nan,predictability_gain,D_r,N_r,bucket_primary_predictability_gain,delta_r_raw,delta_r_fallback,delta_r,delta_r_fold_mean,delta_r_fold_std,positive_fold_fraction_r,S_r,delta_r_shrunk,uplift_anchor,primary_multiplier,worst_fold_multiplier,noise_penalty,disagreement_penalty,learnability_support,effective_edge,score_r,score_ml,feature_base,feature_learnability_gain,feature_positive_fold_fraction,conditional_predictability_gain,conditional_predictability_positive_fold_fraction,conditional_predictability_regime_r2,conditional_predictability_baseline_r2,feature_conditioned_spread,economic_gain_r,geometry_weighted_mfe_coverage,fixed_tp_mfe_coverage,aggregate_mfe_coverage,tbm_lgbm_auc_regime,tbm_lgbm_auc_baseline,tbm_lgbm_auc_lift_vs_baseline,tbm_lgbm_top_bucket_lift_vs_baseline,tbm_lgbm_positive_fold_fraction,tbm_lgbm_stability,tbm_lgbm_selected_geometry,coverage_multiplier,predictability_anchor,predictability_positive_multiplier,spread_multiplier,difference_prior,tbm_auc_support,tbm_lift_support,score_ml_trading,shortlist_score,decision,regime_id,regime_definition,rationale,tier,net_regime_value,complexity_multiplier
compression_transition|z=4|p=compression_expansion_transition_gt_1.4_bars_since_trend_flip_bars_since_trend_flipgtq50,compression_transition,4,1,bars_since_trend_flip > q50,2117,0.8656716417910447,63.940298507462686,48.94647719460146,0.4701492537313433,0.9217993021011353,0.010031236335635185,0.3522438108921051,1.276674053631723,0.011193199083209038,0.8960109069302196,0.09957058727741241,0.09957058727741241,170.05824279785156,0.00177766103297472,-0.018030632138770653,-0.018030632138770653,,0.0,0.0,6.0,0.0,-0.02021439797231306,-0.004668227470366881,-0.15253439043100614,-0.025747207318634446,-0.010077890686179591,-0.010077890686179591,0.0,0.0,9.0,-158066.203125,302687.0,mfe_event_oos_r2,0.005284752367822554,-0.0011723226634785533,0.008043529465794563,0.4444444444444444,4.0,9.0,535.625402871231,0.001866976425388862,0.0023835203610360622,0.0,-0.0020635314285755157,-0.10118123,4284.0,-0.03247241675853729,0.0023835203610360622,0.002642376183911277,0.0023835203610360622,0.0,0.0,0.2222222238779068,0.6111111044883728,0.0015918686985969543,0.0,0.6862276792526245,1.0,2.571325,0.6499999761581421,0.005284752,0.0004339193,0.00019104866,0.00012856416,compression_expansion_transition,0.0,0.0,-0.18743034,0.16666667,-0.21932374,-0.0318934,0.0,0.041303363,0.048833806,0.050889328,0.048833806,0.5,0.5,0.0,0.0,0.0,0.0,tp=1.25|sl=0.50,0.39650142,0.0,0.7916667,1.0,0.8500287,0.0,0.0,1.210677e-05,1.210677e-05,ranked,compression_transition|z=4|p=compression_expansion_transition_gt_1.4,compression_transition|z=4|p=compression_expansion_transition_gt_1.4,positive bucket OOS delta_r=0.0018; shrunk delta=0.0016; stability=0.611; positive-fold fraction=0.222; delta-auc=-0.0090; delta-auc positive folds=0.222; dispersion/edge=722.339; dispersion=-0.079,1,1.088818174800877,0.95
compression_transition|z=4|p=compression_expansion_transition_gt_1.6,compression_transition,4,1,none,3721,0.8656716417910447,55.53731343283582,43.6541114160926,0.4083625987708516,0.9143148064613342,0.010170203633606434,0.3505999743938446,1.2750849844887853,0.01172583270817995,0.8630604054549872,0.09879700839519501,0.09879700839519501,142.29946899414062,0.0019001762848347425,-0.018048547803120096,-0.023235715294407766,-0.023235715294407766,0.0,0.0,6.0,0.0,-0.0029305559420946814,-0.0006541403672819524,-0.09501728441956026,-0.00901131816146683,-0.0063125259257654776,-0.0063125259257654776,0.0,0.0,9.0,-169.71881103515625,480.01580810546875,return_uplift,-0.01042135579489567,-0.0019084238447248936,0.00785982795059681,0.2222222222222222,2.0,9.0,671.0351006194559,0.001490235010175869,0.0019001762848347425,0.0,-0.0006541403708979487,-0.11508238,3721.0,-0.023235715925693512,0.0019001762848347425,-0.005210678093135357,0.0019001762848347425,0.0,0.0,0.2222222238779068,0.6111111044883728,0.0016750902868807316,0.0,0.7717361450195312,1.0,2.6275778,0.6499999761581421,0.0,0.0005135001,0.00019542719,0.00013151077,compression_expansion_transition,0.0,0.0,-0.22560269,0.16666667,-0.25749996,-0.03189725,0.0,0.06852713,0.03666531,0.038418707,0.03666531,0.5,0.5,0.0,0.0,0.0,0.0,tp=1.25|sl=0.50,0.35999593,0.0,0.7916667,1.0,0.85002935,0.0,0.0,1.1835835e-05,1.1835835e-05,ranked,compression_transition|z=4|p=compression_expansion_transition_gt_1.6,compression_transition|z=4|p=compression_expansion_transition_gt_1.6,positive bucket OOS delta_r=0.0019; shrunk delta=0.0017; stability=0.611; positive-fold fraction=0.222; delta-auc=-0.0104; delta-auc positive folds=0.222; dispersion/edge=671.035; dispersion=-0.091,0,,1.0
compression_transition|z=4|p=compression_expansion_transition_gt_2.0,compression_transition,4,1,none,2795,0.8656716417910447,41.71641791044776,34.65600935167752,0.3067383669885865,0.8880159258842468,0.01085671130567789,0.3487756550312042,1.247648292221129,0.013045106083154678,0.836944451731407,0.10293712466955185,0.10293712466955185,103.50912475585938,0.0019348461646586657,-0.010138540781419292,-0.02105798320677399,-0.02105798320677399,0.0,0.0,6.0,0.0,-0.0023812812907251235,-0.00089309091989076,-0.0983610939333599,-0.008462043510097272,-0.006551476478374285,-0.006551476478374285,0.0,0.0,9.0,-148.93719482421875,421.2366027832031,return_uplift,-0.011590798450052286,-0.0018063471652567387,0.007863621227443218,0.1111111111111111,1.0,9.0,644.8307441750708,0.0015507945442013557,0.0019348461646586657,0.0,-0.0008930909098125994,-0.12515841,2795.0,-0.021057983860373497,0.0019348461646586657,-0.005795399192720652,0.0019348461646586657,0.0,0.0,0.1111111119389534,0.5555555820465088,0.001641242764890194,0.0,0.7924785614013672,1.0,2.6176343,0.6499999761581421,0.0,0.00046967907,0.00017942884,0.000120744495,compression_expansion_transition,0.0,0.0,-0.22738536,0.16666667,-0.25907043,-0.03168508,0.0,0.053841054,0.03765061,0.03954176,0.03765061,0.5,0.5,0.0,0.0,0.0,0.0,tp=1.25|sl=0.50,0.36295182,0.0,0.7916667,1.0,0.85002697,0.0,0.0,1.0956109e-05,1.0956109e-05,ranked,compression_transition|z=4|p=compression_expansion_transition_gt_2.0,compression_transition|z=4|p=compression_expansion_transition_gt_2.0,positive bucket OOS delta_r=0.0019; shrunk delta=0.0016; stability=0.556; positive-fold fraction=0.111; delta-auc=-0.0116; delta-auc positive folds=0.111; dispersion/edge=644.831; dispersion=-0.098,0,,1.0
compression_transition|z=4|p=compression_expansion_transition_gt_1.4,compression_transition,4,1,none,4284,0.8656716417910447,63.940298507462686,48.94647719460146,0.4701492537313433,0.9217993021011353,0.010031236335635185,0.3522438108921051,1.2840743493288755,0.011193199083209038,0.8960109069302196,0.09957058727741241,0.09957058727741241,170.05824279785156,0.00177766103297472,-0.027084806924859817,-0.03247241643507126,-0.032472416435071205,0.0,0.0,6.0,0.0,-0.0036440447501655537,-0.0020635314749950506,-0.07868314329483761,-0.009724806969537703,-0.007721917033478576,-0.007721917033478576,0.0,0.0,9.0,-205.70510864257812,581.7976684570312,return_uplift,-0.008981953217276961,-0.0024994974955916405,0.007292161229997873,0.2222222222222222,2.0,9.0,722.33925675927,0.0013843910470634497,0.00177766103297472,0.0,-0.0020635314285755157,-0.100628525,4284.0,-0.03247241675853729,0.00177766103297472,-0.004490976687520742,0.00177766103297472,0.0,0.0,0.2222222238779068,0.6111111044883728,0.0015918686985969543,0.0,0.6862276792526245,1.0,2.6459696,0.6499999761581421,0.0,0.0004339193,0.00016399255,0.000110356516,compression_expansion_transition,0.0,0.0,-0.2014796,0.16666667,-0.2325023,-0.03102271,0.0,0.06832189,0.03774405,0.039272726,0.03774405,0.5,0.5,0.0,0.0,0.0,0.0,tp=1.25|sl=0.50,0.36323214,0.0,0.7916667,1.0,0.85002464,0.0,0.0,1.0021258e-05,1.0021258e-05,ranked,compression_transition|z=4|p=compression_expansion_transition_gt_1.4,compression_transition|z=4|p=compression_expansion_transition_gt_1.4,positive bucket OOS delta_r=0.0018; shrunk delta=0.0016; stability=0.611; positive-fold fraction=0.222; delta-auc=-0.0090; delta-auc positive folds=0.222; dispersion/edge=722.339; dispersion=-0.079,0,,1.0
compression_transition|z=4|p=compression_expansion_transition_gt_1.6_ema50_slope_gt_q20_lt_q80,compression_transition,4,1,ema50_slope > q20 AND ema50_slope < q80,2215,0.8656716417910447,55.53731343283582,43.6541114160926,0.4083625987708516,0.9143148064613342,0.010170203633606434,0.3505999743938446,1.2724206894636154,0.01172583270817995,0.8630604054549872,0.09879700839519501,0.09879700839519501,142.29946899414062,0.0019001762848347425,-0.04661968351278556,-0.04661968351278556,,0.0,0.0,6.0,0.0,-88.31752720574806,-42.26973894067602,-0.07541522180621918,-88.32284998910156,-42.274993382451726,-42.274993382451726,0.0,0.0,9.0,-122.31182098388672,327.5478515625,mfe_event_oos_r2,-0.01401804423301134,0.0030470958445221186,0.0063253166154026985,0.7777777777777778,7.0,9.0,368.86812993892187,0.002710995932789267,0.0034495273139327765,0.0,-0.0006541403708979487,-0.11528137,3721.0,-0.023235715925693512,0.0034495273139327765,-0.00700902211650567,0.0034495273139327765,0.0,0.0,0.2222222238779068,0.6111111044883728,0.0016750902868807316,0.0,0.7717361450195312,1.0,2.4782867,0.6499999761581421,0.0,0.0005135001,0.00020719964,0.00014677177,compression_expansion_transition,0.0,0.0,-0.25098857,0.33333334,-0.28417268,-0.033184133,0.0,0.0014525312,0.008590103,0.009337069,0.008590103,0.5,0.5,0.0,0.0,0.0,0.0,tp=2.50|sl=1.10,0.2757703,0.0,0.8333333,1.0,0.8500311,0.0,0.0,9.612882e-06,9.612882e-06,ranked,compression_transition|z=4|p=compression_expansion_transition_gt_1.6,compression_transition|z=4|p=compression_expansion_transition_gt_1.6,positive bucket OOS delta_r=0.0019; shrunk delta=0.0017; stability=0.611; positive-fold fraction=0.222; delta-auc=-0.0104; delta-auc positive folds=0.222; dispersion/edge=671.035; dispersion=-0.091,1,2.5545800843767132,0.95
compression_transition|z=4|p=compression_expansion_transition_gt_1.6_MACD_histogram_gt_q20_lt_q80,compression_transition,4,1,MACD_histogram > q20 AND MACD_histogram < q80,2176,0.8656716417910447,55.53731343283582,43.6541114160926,0.4083625987708516,0.9143148064613342,0.010170203633606434,0.3505999743938446,1.2494280012324452,0.01172583270817995,0.8630604054549872,0.09879700839519501,0.09879700839519501,142.29946899414062,0.0019001762848347425,-0.04632852101752605,-0.04632852101752605,,0.0,0.0,6.0,0.0,-0.007763467871966689,0.0007720532283741477,-0.02374465771915113,-0.013579857829100206,-0.00532091946639901,-0.00532091946639901,0.0,0.0,9.0,-0.5719297528266907,0.9341175556182861,mfe_event_oos_r2,-0.028105972991667005,-0.00033893974614329636,0.004341428168118,0.4444444444444444,4.0,9.0,483.0273212642191,0.002070276267981524,0.0025866611395031214,0.0,-0.0006541403708979487,-0.11699864,3721.0,-0.023235715925693512,0.0025866611395031214,-0.014052986495833503,0.0025866611395031214,0.0,0.0,0.2222222238779068,0.6111111044883728,0.0016750902868807316,0.0,0.7717361450195312,1.0,2.5455353,0.6499999761581421,0.0,0.0005135001,0.0002017258,0.00012860478,compression_expansion_transition,0.0,0.0,-0.033142738,0.0,-0.07330711,-0.04016437,0.0,0.0096188225,0.0101577295,0.011363637,0.0101577295,0.5,0.5,0.0,0.0,0.0,0.0,tp=1.25|sl=0.50,0.28047317,0.0,0.75,1.0,0.8500303,0.0,0.0,8.56667e-06,8.56667e-06,ranked,compression_transition|z=4|p=compression_expansion_transition_gt_1.6,compression_transition|z=4|p=compression_expansion_transition_gt_1.6,positive bucket OOS delta_r=0.0019; shrunk delta=0.0017; stability=0.611; positive-fold fraction=0.222; delta-auc=-0.0104; delta-auc positive folds=0.222; dispersion/edge=671.035; dispersion=-0.091,1,1.9460299028219357,0.95
compression_transition|z=4|p=compression_expansion_transition_gt_1.4_MACD_histogram_gt_q20_lt_q80,compression_transition,4,1,MACD_histogram > q20 AND MACD_histogram < q80,2505,0.8656716417910447,63.940298507462686,48.94647719460146,0.4701492537313433,0.9217993021011353,0.010031236335635185,0.3522438108921051,1.2537505310028791,0.011193199083209038,0.8960109069302196,0.09957058727741241,0.09957058727741241,170.05824279785156,0.00177766103297472,-0.03896301726390594,-0.03896301726390594,,0.0,0.0,6.0,0.0,-0.0052552492712956145,-0.0005052326799919182,-0.01924855491454136,-0.011043434945840369,-0.005947314367293233,-0.005947314367293233,0.0,0.0,9.0,-0.9452512264251709,1.7112501859664917,mfe_event_oos_r2,0.0024904196519487942,0.0004056290490552783,0.005690074525773525,0.4444444444444444,4.0,9.0,447.205500257619,0.002236108454444178,0.0028035221621394157,0.0,-0.0020635314285755157,-0.10289333,4284.0,-0.03247241675853729,0.0028035221621394157,0.0012452098259743971,0.0028035221621394157,0.0,0.0,0.2222222238779068,0.6111111044883728,0.0015918686985969543,0.0,0.6862276792526245,1.0,2.5263128,0.6499999761581421,0.0024904197,0.0004339193,0.00018245379,0.00012278015,compression_expansion_transition,0.0,0.0,-0.13538502,0.16666667,-0.16867419,-0.033289194,0.0,0.008339051,0.010918433,0.011973576,0.010918433,0.5,0.5,0.0,0.0,0.0,0.0,tp=1.25|sl=0.50,0.28275532,0.0,0.7916667,1.0,0.8500274,0.0,0.0,8.245226e-06,8.245226e-06,ranked,compression_transition|z=4|p=compression_expansion_transition_gt_1.4,compression_transition|z=4|p=compression_expansion_transition_gt_1.4,positive bucket OOS delta_r=0.0018; shrunk delta=0.0016; stability=0.611; positive-fold fraction=0.222; delta-auc=-0.0090; delta-auc positive folds=0.222; dispersion/edge=722.339; dispersion=-0.079,1,2.3723467440489663,0.95
compression_transition|z=4|p=compression_expansion_transition_gt_1.4_ema50_slope_gt_q20_lt_q80,compression_transition,4,1,ema50_slope > q20 AND ema50_slope < q80,2551,0.8656716417910447,63.940298507462686,48.94647719460146,0.4701492537313433,0.9217993021011353,0.010031236335635185,0.3522438108921051,1.2652501380071044,0.011193199083209038,0.8960109069302196,0.09957058727741241,0.09957058727741241,170.05824279785156,0.00177766103297472,-0.04889983949949228,-0.04889983949949228,,0.0,0.0,6.0,0.0,-127.37436160991562,-46.61936334467157,-0.07028705783094225,-127.3800064636624,-46.625029568177595,-46.625029568177595,0.0,0.0,9.0,-140.08984375,373.9846496582031,mfe_event_oos_r2,-0.02867001191672225,0.002633851720020175,0.006996068637818098,0.6666666666666666,6.0,9.0,370.97249058217176,0.0026956176681205866,0.003410630626603961,0.0,-0.0020635314285755157,-0.102034464,4284.0,-0.03247241675853729,0.003410630626603961,-0.014335005958361124,0.003410630626603961,0.0,0.0,0.2222222238779068,0.6111111044883728,0.0015918686985969543,0.0,0.6862276792526245,1.0,2.4797049,0.6499999761581421,0.0,0.0004339193,0.0001749883,0.00012395387,compression_expansion_transition,0.0,0.0,-0.25192997,0.33333334,-0.28472546,-0.03279551,0.0,0.0023822365,0.009113099,0.009764036,0.009113099,0.5,0.5,0.0,0.0,0.0,0.0,tp=2.50|sl=1.10,0.2773393,0.0,0.8333333,1.0,0.85002625,0.0,0.0,8.164604e-06,8.164604e-06,ranked,compression_transition|z=4|p=compression_expansion_transition_gt_1.4,compression_transition|z=4|p=compression_expansion_transition_gt_1.4,positive bucket OOS delta_r=0.0018; shrunk delta=0.0016; stability=0.611; positive-fold fraction=0.222; delta-auc=-0.0090; delta-auc positive folds=0.222; dispersion/edge=722.339; dispersion=-0.079,1,2.4465823535663587,0.95
compression_transition|z=4|p=compression_expansion_transition_gt_1.4_compression_ratio_compression_ratioltq50,compression_transition,4,1,compression_ratio < q50,2059,0.8656716417910447,63.940298507462686,48.94647719460146,0.4701492537313433,0.9217993021011353,0.010031236335635185,0.3522438108921051,1.291374801658094,0.011193199083209038,0.8960109069302196,0.09957058727741241,0.09957058727741241,170.05824279785156,0.00177766103297472,-0.02179547173099583,-0.02179547173099583,,0.0,0.0,6.0,0.0,0.002236279268875263,0.003912241202880029,-0.027884971699026817,-0.0041232179129337965,-0.001997937135004735,-0.001997937135004735,0.0,0.0,9.0,-0.5523074865341187,0.7663516402244568,mfe_event_oos_r2,-0.01397038545770074,0.00014746232773177326,0.005826130043715239,0.3333333333333333,3.0,9.0,570.3017397741995,0.0017534577404514523,0.0022643711417913437,0.0,-0.0020635314285755157,-0.10008327,4284.0,-0.03247241675853729,0.0022643711417913437,-0.00698519272885037,0.0022643711417913437,0.0,0.0,0.2222222238779068,0.6111111044883728,0.0015918686985969543,0.0,0.6862276792526245,1.0,2.5869794,0.6499999761581421,0.0,0.0004339193,0.00016773204,0.00010693235,compression_expansion_transition,0.0,0.0,-0.12777798,0.0,-0.16061968,-0.032841694,0.0,0.0042347396,0.014029508,0.015337423,0.014029508,0.5,0.5,0.0,0.0,0.0,0.0,tp=2.50|sl=1.10,0.2920885,0.0,0.75,1.0,0.8500252,0.0,0.0,7.418006e-06,7.418006e-06,ranked,compression_transition|z=4|p=compression_expansion_transition_gt_1.4,compression_transition|z=4|p=compression_expansion_transition_gt_1.4,positive bucket OOS delta_r=0.0018; shrunk delta=0.0016; stability=0.611; positive-fold fraction=0.222; delta-auc=-0.0090; delta-auc positive folds=0.222; dispersion/edge=722.339; dispersion=-0.079,1,1.6260187372151234,0.95
volatility_expansion|z=12|p=intrabar_range_atr_gt_2.0,volatility_expansion,12,1,none,3558,0.8656716417910447,53.1044776119403,52.38723050753398,0.3904741000877963,3.5469515323638916,0.017755478620529175,0.28527501225471497,3.8499820232391357,0.05661391094326973,1.1963659427717555,0.05599994584918022,0.05599994584918022,208.9708251953125,-0.003078846260905266,-0.03427907300578015,-0.037205375475931945,-0.037205375475931945,0.0,0.0,6.0,0.0,-0.002624623766350309,-0.0058799350433595965,-0.0181949816682887,-0.008705385985722458,-0.011538320601843122,-0.008705385985722458,0.0,0.0,9.0,-9470.32421875,26786.087890625,return_uplift,-0.020912200606692077,0.00370685663074255,0.01035214215517044,0.4444444444444444,4.0,9.0,1250.462574934526,0.0007997040615568683,-0.003078846260905266,0.0,-0.0026246237102895975,0.25912386,3558.0,-0.037205375730991364,-0.003078846260905266,-0.010456100106239319,-0.003078846260905266,0.0,0.0,0.4444444477558136,0.7222222089767456,-0.0026994911022484303,0.0026994911022484303,0.6442131996154785,1.0,2.7830172,1.0,0.0,0.0,0.0,0.0,intrabar_range_atr,0.0,0.0,-0.1685927,0.16666667,-0.20090337,-0.032310665,0.0,0.02618747,0.035638217,0.03730691,0.035638217,0.5,0.5,0.0,0.0,0.0,0.0,tp=1.25|sl=0.50,0.35691464,0.0,0.7916667,1.0,0.85,0.0,0.0,0.0,0.0,ranked,volatility_expansion|z=12|p=intrabar_range_atr_gt_2.0,volatility_expansion|z=12|p=intrabar_range_atr_gt_2.0,shrunk delta=-0.0027; stability=0.722; positive-fold fraction=0.444; delta-auc=-0.0209; delta-auc positive folds=0.444; dispersion/edge=1250.463; dispersion=0.330,0,,1.0
