config_id,bucket,reason
CFG36DBF80311,optuna_stage1,min_cell_auc 0.4895 < auc_min 0.5400
CFG36DBF80311,optuna_stage1,min_cell_auc_bound 0.4453 < auc_bound_min 0.5200
CFG36DBF80311,optuna_stage1,min_cell_tp_sep 0.0086 < tp_sep_min 0.0400
CFG36DBF80311,optuna_stage1,min_cell_ap_lift 1.029 < ap_lift_min 1.200
CFGA04FF89F3D,optuna_stage1,sl_to_tp_prod_agg 4.60x > sl_to_tp_max 2.50x
CFGA04FF89F3D,optuna_stage1,max_cell_sl_to_tp_prod 4.94x > sl_to_tp_max 2.50x
CFGA04FF89F3D,optuna_stage1,min_cell_auc 0.4838 < auc_min 0.5400
CFGA04FF89F3D,optuna_stage1,min_cell_auc_bound 0.4182 < auc_bound_min 0.5200
CFGA04FF89F3D,optuna_stage1,min_cell_tp_sep -0.0054 < tp_sep_min 0.0400
CFGA04FF89F3D,optuna_stage1,min_cell_ap_lift 0.995 < ap_lift_min 1.200
CFGA04FF89F3D,optuna_stage1,tp_floor_bind_prod_agg 25.9% > tp_floor_bind_max_agg 20.0%
CFGA04FF89F3D,optuna_stage1,max_cell_tp_floor_bind_prod 67.5% > tp_floor_bind_max_cell 35.0%
CFGA04FF89F3D,optuna_stage1,floor-dominance combined guardrail: min_cell_auc 0.4838 < required 0.5600 when TP floor-binding is high
CFG6CE62DC758,optuna_s2_refine_0,tp_hit_prod_agg 0.088 < tp_hit_min_agg 0.100
CFG6CE62DC758,optuna_s2_refine_0,sl_to_tp_prod_agg 6.67x > sl_to_tp_max 2.50x
CFG6CE62DC758,optuna_s2_refine_0,max_cell_sl_to_tp_prod 7.19x > sl_to_tp_max 2.50x
CFG6CE62DC758,optuna_s2_refine_0,min_cell_auc 0.4813 < auc_min 0.5400
CFG6CE62DC758,optuna_s2_refine_0,min_cell_auc_bound 0.4342 < auc_bound_min 0.5200
CFG6CE62DC758,optuna_s2_refine_0,min_cell_tp_sep 0.0025 < tp_sep_min 0.0400
CFG6CE62DC758,optuna_s2_refine_0,min_cell_ap_lift 1.009 < ap_lift_min 1.200
CFG6CE62DC758,optuna_s2_refine_0,tp_floor_bind_prod_agg 24.4% > tp_floor_bind_max_agg 20.0%
