strategy_id,side,mask_rows_total,mask_pass_total,mask_rows_eval,mask_pass_eval,scored_rows,selected_rows,finite_score_rows,finite_rank_rows,max_threshold_rank_score,finite_entry_price_rows,finite_exit_price_rows,finite_net_return_rows,reason,finite_rows
long_dist_ema20_atr_-0_92271453_loc_bb_channel_pos_48_0_60767579_leverage_build_score_0_45107844_return_autocorr_48_1_18643_rolling_range_20_-0_25967735,long,539460,77243,16740,564,564,5,269,269,0.9109411421911422,539,509,496,ok,254
long_bars_in_high_vol_state_log_norm_-0_49417102_loc_range_pos_48_0_22034115_loc_swing_range_pos_24_1_0002919_atr_percentile_-1_477338_range_24h_pct_0_13988039_variance_ratio_10_48_0_92117828,long,539460,89931,16740,1914,1914,28,637,637,0.9907634032634033,1859,1788,1778,ok,617
short_bollinger_band_width_-0_0062114433_oi_value_z_90d_0_082444385_price_rv_15d_robust_z_0_060036644,short,539460,40779,16740,149,149,18,90,90,0.971073717948718,148,149,148,ok,90
short_asset_minus_mkt_oi_1d_peer_resid_0_34164831_oi_expansion_compression_balance_24h_0_42287597,short,539460,51690,16740,1274,1274,8,804,804,0.8914699883449884,1208,1138,1106,ok,748
