strategy_id,symbol,ridge_spearman_ret,extratrees_spearman_ret,spearman_diff,spearman_winner,ridge_top10_mean,extratrees_top10_mean,top10_diff,top10_winner,ridge_monotonicity,extratrees_monotonicity,mono_diff,mono_winner,ridge_utility,extratrees_utility,utility_diff,utility_winner,ridge_wallet_pnl,extratrees_wallet_pnl,wallet_pnl_diff,wallet_pnl_winner,ridge_hit_rate,extratrees_hit_rate,hit_rate_diff,hit_rate_winner,ridge_profit_factor,extratrees_profit_factor,pf_diff,pf_winner,ridge_sortino,extratrees_sortino,sortino_diff,sortino_winner,ridge_n_features,extratrees_n_features,overall_winner,win_count_ridge,win_count_et
loc_initial_balance_pos_24_0_32075533_loc_prev_day_range_pos,279_assets,0.0,0.0,0.0,ExtraTrees,-0.003448706353083253,-0.003448706353083253,0.0,ExtraTrees,0.0,0.0,0.0,ExtraTrees,-1.5872568733597976,-1.5872568733597976,0.0,ExtraTrees,-23.57952083906981,-23.57952083906981,0.0,ExtraTrees,0.33090790969628064,0.33090790969628064,0.0,ExtraTrees,0.5071052819995444,0.5071052819995444,0.0,ExtraTrees,-0.34550884,-0.34550884,0.0,ExtraTrees,11,11,ExtraTrees,0,8
cos_hod_0_00000000000000000000000000000000001_slope_-0_83119,279_assets,0.0,0.0,0.0,ExtraTrees,-0.0026764709036797285,-0.0026764709036797285,0.0,ExtraTrees,0.0,0.0,0.0,ExtraTrees,-1.517346199723138,-1.517346199723138,0.0,ExtraTrees,-20.701232208832877,-20.701232208832877,0.0,ExtraTrees,0.35844778273080985,0.35844778273080985,0.0,ExtraTrees,0.6558180326363287,0.6558180326363287,0.0,ExtraTrees,-0.417188,-0.417188,0.0,ExtraTrees,11,11,ExtraTrees,0,8
compression_ratio_1_0376017_dist_ema_fast_0_095782697_sin_ho,279_assets,0.0,0.0,0.0,ExtraTrees,-0.0017134002409875393,-0.0017134002409875393,0.0,ExtraTrees,0.0,0.0,0.0,ExtraTrees,-1.413932390733987,-1.413932390733987,0.0,ExtraTrees,-15.04520319696103,-15.04520319696103,0.0,ExtraTrees,0.36626485946006,0.36626485946006,0.0,ExtraTrees,0.6326444226429665,0.6326444226429665,0.0,ExtraTrees,-0.6575714,-0.6575714,0.0,ExtraTrees,11,11,ExtraTrees,0,8
loc_initial_balance_pos_24_0_3768115_zscore_price_200_-0_361,5_assets,-0.007132719679752857,-0.026825270799029105,-0.019692551119276248,Ridge,0.0017992431530728936,0.0013595710042864084,-0.0004396721487864852,Ridge,0.0,0.0,0.0,ExtraTrees,-0.5758251359317842,-0.6312763901936291,-0.05545125426184494,Ridge,0.01698275411534346,0.0017788884405819522,-0.015203865674761508,Ridge,0.4323607427055703,0.41909814323607425,-0.01326259946949604,Ridge,0.9866014730705208,0.9173949556804121,-0.06920651739010875,Ridge,-0.015794061,-0.10093867,-0.08514461,Ridge,11,11,Ridge,7,1
