run,layer,model,top_pct,n,net_hit,mean_net_bps,median_net_bps,stop_hit_rate,avg_loss_per_stop_bps,score_mean
baseline_1b,base,base_H5,10,50265,0.7142146622898637,50.031944274902344,13.370383262634277,0.0,,0.6385252475738525
baseline_1b,base,base_H5,20,100531,0.5956769553670013,41.6778564453125,3.417484998703003,0.0,,0.5789676308631897
baseline_1b,base,base_H5,30,150796,0.5357303907265445,36.39793014526367,0.374939501285553,0.0,,0.5435505509376526
baseline_1b,base,base_H5,40,201062,0.4957724482995295,30.960657119750977,-2.136069099378801e-09,0.0,,0.5191061496734619
baseline_1b,base,base_H5,last8w_top20,8529,0.6871848985813108,44.17361068725586,8.643468856811523,0.0,,0.6108340620994568
baseline_1b,base,base_H5,last4w_top20,3356,0.6463051251489869,46.35856628417969,9.753899574279785,0.0,,0.5833666324615479
baseline_1b,base,base_H5,last2w_top20,1086,0.5736648250460405,31.819265365600586,1.592244267463684,0.0,,0.5667708516120911
baseline_1b,meta,meta_tbm,10,14116,0.9642249929158402,92.06941223144531,41.2579345703125,0.020260697081326155,-62.66674041748047,0.8868910042987596
baseline_1b,meta,meta_tbm,20,28233,0.9048985230049942,97.65827941894531,58.08967208862305,0.06680126093578437,-68.24983978271484,0.8333095562798781
baseline_1b,meta,meta_tbm,30,42349,0.8421450329405653,95.04518127441406,63.01444625854492,0.12354482986611254,-74.12149810791016,0.7851884276158283
baseline_1b,meta,meta_tbm,40,56466,0.7833740658095137,88.39268493652344,61.291168212890625,0.17929373428257714,-80.52344512939453,0.7422590106551521
baseline_1b,meta,meta_tbm,last8w_top20,3311,0.9631531259438236,91.94657135009766,50.82767105102539,0.02476593174267593,-83.85559844970703,0.877113854478256
baseline_1b,meta,meta_tbm,last4w_top20,1041,0.9606147934678194,108.84351348876953,76.38273620605469,0.027857829010566763,-84.9133529663086,0.8793015934662906
baseline_1b,meta,meta_tbm,last2w_top20,345,0.9188405797101449,105.47026824951172,38.42267990112305,0.04927536231884058,-97.90052032470703,0.8476027661475583
baseline_1b,meta,meta_correctness,10,14116,0.6759705298951544,48.13924789428711,3.95060133934021,0.08019268914706716,-33.124046325683594,0.9275605596599852
baseline_1b,meta,meta_correctness,20,28233,0.6300782771933553,37.885746002197266,3.3319783210754395,0.1950554315871498,-79.35880279541016,0.8635455433495539
baseline_1b,meta,meta_correctness,30,42349,0.5637913528064417,26.51861572265625,0.8153437972068787,0.30104606956480673,-92.55411529541016,0.8079518387752789
baseline_1b,meta,meta_correctness,40,56466,0.5259448163496617,21.384784698486328,0.10646835714578629,0.36274926504445154,-96.93600463867188,0.7641470617568273
baseline_1b,meta,meta_correctness,last8w_top20,3311,0.7154938085170643,46.23976135253906,5.781081199645996,0.1440652370884929,-63.4404411315918,0.9035098817513378
baseline_1b,meta,meta_correctness,last4w_top20,1041,0.696445725264169,43.24995422363281,5.202075481414795,0.19596541786743515,-80.1386947631836,0.9082851309139607
baseline_1b,meta,meta_correctness,last2w_top20,345,0.6289855072463768,12.178974151611328,0.38297945261001587,0.2985507246376812,-95.51956176757812,0.9030326007069021
v8_econ_distill,base,base_H5,10,50221,0.5327452659246132,33.622947692871094,0.4838515818119049,0.0,,0.6106827259063721
v8_econ_distill,base,base_H5,20,100442,0.4763246450687959,23.18274688720703,-2.6989521728637555e-08,0.0,,0.5843137502670288
v8_econ_distill,base,base_H5,30,150663,0.45042910336313496,17.49342155456543,-1.4530709790960827e-07,0.0,,0.5652298927307129
v8_econ_distill,base,base_H5,40,200884,0.4332500348459808,13.631567001342773,-1.3145786397217307e-05,0.0,,0.5491074919700623
v8_econ_distill,base,base_H5,last8w_top20,8529,0.552468050181733,32.55209732055664,0.24380993843078613,0.0,,0.5407689213752747
v8_econ_distill,base,base_H5,last4w_top20,3356,0.5581048867699643,35.83720779418945,2.2552437782287598,0.0,,0.5153979659080505
v8_econ_distill,base,base_H5,last2w_top20,1086,0.5303867403314917,30.474260330200195,0.27476727962493896,0.0,,0.506405770778656
v8_econ_distill,meta,meta_tbm,10,13743,0.6005966673943098,39.02256774902344,16.881181716918945,0.34024594338936187,-96.45474243164062,0.606099840942918
v8_econ_distill,meta,meta_tbm,20,27486,0.5412209852288438,30.055604934692383,4.434122085571289,0.3992941861311213,-103.54845428466797,0.5800150964602384
v8_econ_distill,meta,meta_tbm,30,41230,0.5112054329371817,25.26875877380371,0.2406752109527588,0.4277952946883337,-109.03607177734375,0.5627306796597706
v8_econ_distill,meta,meta_tbm,40,54973,0.4929147035817583,23.45490264892578,-5.005995618034831e-09,0.43790588106888834,-112.58683776855469,0.5493346153177255
v8_econ_distill,meta,meta_tbm,last8w_top20,1098,0.6020036429872495,37.0206413269043,1.2580357789993286,0.13570127504553733,-38.453857421875,0.5127359110800946
v8_econ_distill,meta,meta_tbm,last4w_top20,332,0.7349397590361446,51.6181526184082,4.914669513702393,0.13855421686746988,-85.62433624267578,0.5060833927737661
v8_econ_distill,meta,meta_tbm,last2w_top20,135,0.7407407407407407,61.868953704833984,4.071255207061768,0.1037037037037037,-47.49890899658203,0.5089108974845321
v8_econ_distill,meta,meta_correctness,10,13743,0.6599723495597759,47.85945510864258,21.46101951599121,0.2648621116204613,-86.0743637084961,0.7117287111596354
v8_econ_distill,meta,meta_correctness,20,27486,0.581714327293895,35.792724609375,10.159976959228516,0.3366077275703995,-98.21009063720703,0.6633311580368623
v8_econ_distill,meta,meta_correctness,30,41230,0.5464225078826097,31.03394317626953,2.6175026893615723,0.35639097744360904,-95.00067901611328,0.6301034328603872
v8_econ_distill,meta,meta_correctness,40,54973,0.5239299292379895,28.4936580657959,0.5448028445243835,0.36310552453022393,-92.23638153076172,0.6017805651141178
v8_econ_distill,meta,meta_correctness,last8w_top20,1098,0.6402550091074681,40.505245208740234,8.549015045166016,0.22313296903460839,-54.69622039794922,0.6221785720145985
v8_econ_distill,meta,meta_correctness,last4w_top20,332,0.6475903614457831,34.01466751098633,7.7164154052734375,0.2620481927710843,-90.72344970703125,0.603965481720775
v8_econ_distill,meta,meta_correctness,last2w_top20,135,0.6592592592592592,29.301225662231445,4.4854631423950195,0.23703703703703705,-108.18511199951172,0.6110005484686958
v9_topk_ev,base,base_H5,10,50210,0.544214299940251,34.792415618896484,0.3299291133880615,0.0,,0.5485337972640991
v9_topk_ev,base,base_H5,20,100421,0.48243893209587635,22.962221145629883,-8.062439604827887e-09,0.0,,0.4991108477115631
v9_topk_ev,base,base_H5,30,150631,0.43702823455995116,12.838892936706543,-1.428779370371558e-07,0.0,,0.4732609689235687
v9_topk_ev,base,base_H5,40,200842,0.41024785652403384,6.73203706741333,-0.39731642603874207,0.0,,0.4573460519313812
v9_topk_ev,base,base_H5,last8w_top20,8529,0.5422675577441669,27.929763793945312,0.15447062253952026,0.0,,0.5483669638633728
v9_topk_ev,base,base_H5,last4w_top20,3356,0.5423122765196663,31.58078384399414,1.0852890014648438,0.0,,0.5140954852104187
v9_topk_ev,base,base_H5,last2w_top20,1086,0.5138121546961326,19.113534927368164,0.02933536469936371,0.0,,0.4928704500198364
v9_topk_ev,meta,meta_tbm,10,14007,0.5789248233026344,44.295692443847656,26.5328311920166,0.38287998857714,-95.16259002685547,0.5415140142756202
v9_topk_ev,meta,meta_tbm,20,28015,0.49305729073710514,25.490753173828125,-1.9345636204093353e-08,0.4746385864715331,-107.05693817138672,0.49742524687698775
v9_topk_ev,meta,meta_tbm,30,42023,0.46786283701782355,18.379911422729492,-5.181347660254687e-06,0.4939199961925612,-111.99769592285156,0.468501506892015
v9_topk_ev,meta,meta_tbm,40,56030,0.4728181331429591,19.205110549926758,-7.443156846420607e-08,0.45298946992682493,-105.47417449951172,0.44942485601449256
v9_topk_ev,meta,meta_tbm,last8w_top20,2732,0.5622254758418741,29.540355682373047,1.1142144203186035,0.232796486090776,-42.05061721801758,0.3940881336350567
v9_topk_ev,meta,meta_tbm,last4w_top20,1001,0.5874125874125874,35.486000061035156,2.0288960933685303,0.3026973026973027,-58.57720947265625,0.391332083053284
v9_topk_ev,meta,meta_tbm,last2w_top20,258,0.5232558139534884,17.448862075805664,0.04225822538137436,0.36046511627906974,-66.00492095947266,0.39138788573963695
v9_topk_ev,meta,meta_correctness,10,14007,0.43813807382023273,5.837323188781738,-14.322792053222656,0.5112443778110944,-153.4802703857422,0.7407532925012409
v9_topk_ev,meta,meta_correctness,20,28015,0.39046939139746567,-4.185326099395752,-74.38323974609375,0.5747992147064073,-154.32566833496094,0.715490804911298
v9_topk_ev,meta,meta_correctness,30,42023,0.4115127430216786,1.617081880569458,-32.1942253112793,0.5407752897222949,-144.5434112548828,0.6988023909925493
v9_topk_ev,meta,meta_correctness,40,56030,0.4166517936819561,3.3002803325653076,-12.957942008972168,0.5225593432089952,-136.918212890625,0.6873200096925327
v9_topk_ev,meta,meta_correctness,last8w_top20,2732,0.5369692532942899,23.49554443359375,2.1167612075805664,0.3279648609077599,-70.06278991699219,0.6601340681707178
v9_topk_ev,meta,meta_correctness,last4w_top20,1001,0.4725274725274725,6.823420524597168,-1.690048065938754e-07,0.47152847152847155,-94.54264068603516,0.6584668031462899
v9_topk_ev,meta,meta_correctness,last2w_top20,258,0.5155038759689923,6.785915851593018,2.3481316566467285,0.375968992248062,-99.84706115722656,0.6599608442580053
