cell_key,bucket,config_id,rank,k_tp,sl_as_tp_pct,base_atr_window,tp_base_pct,tp_abs_lo_pct,sl_abs_lo_pct,mode,cell_auc,cell_auc_bound,cell_tp_sep,cell_timeout,cell_bind,cell_ap_lift,cell_tp_over_sl,cell_brier,cell_ece,cell_monotonicity,cell_ic_std_time,cell_ic_std_asset,cell_ic_payoff,cell_ic_label,cell_n
MR_long_H8,MR_long,CFG93489E34E5,4,1.25,0.6,672,0.01,0.005,0.005,atr_norm,0.6071,0.5021,0.12247,0.304058379208808,0.6959,1.2725,1.9154,0.28835,0.29575,0.5556,0.07618,0.05211,0.05943,-0.05455,15622
MR_long_H8,MR_long,CFG7EF13BA4CE,5,1.0,0.4,672,0.015,0.005,0.005,atr_norm,0.5898,0.5101,0.11828,0.2959643952607205,0.704,1.2501,2.1911,0.28742,0.31276,0.4444,0.0619,0.04408,0.02799,-0.05587,16627
MR_long_H8,MR_long,CFGF4E8AE33FD,6,1.5,0.6,840,0.01,0.005,0.005,atr_norm,0.5882,0.4975,0.12399,0.3252101348491262,0.6748,1.2579,2.18,0.2881,0.31541,0.4444,0.08535,0.05276,0.06057,-0.07403,16537
MR_long_H8,MR_long,CFGFCA5A7D46B,7,1.25,0.6,840,0.012,0.005,0.005,atr_norm,0.5882,0.4975,0.12399,0.3252101348491262,0.6748,1.2579,2.18,0.2881,0.31541,0.4444,0.08535,0.05276,0.06057,-0.07403,16537
MR_short_H2,MR_short,CFG6F52B9041F,1,1.25,0.4,672,0.01,0.005,0.005,atr_norm,0.6636,0.5661,0.10949,0.5863238022132669,0.4137,1.6067,1.8058,0.31397,0.45937,0.4444,0.05342,0.03967,-0.01027,-0.04131,15633
MR_short_H2,MR_short,CFGDAFE1D7391,2,1.25,0.4,504,0.01,0.005,0.005,atr_norm,0.6469,0.5583,0.12221,0.5642189761810764,0.4358,1.5409,1.8117,0.31627,0.45497,0.4444,0.04657,0.03522,-0.01531,-0.04156,15198
MR_short_H2,MR_short,CFG99102C1741,3,1.25,0.4,336,0.01,0.005,0.005,atr_norm,0.6312,0.5587,0.11839,0.5349159248269041,0.4651,1.4892,1.8508,0.31656,0.44763,0.4444,0.04218,0.02597,-0.00717,-0.02722,15165
MR_short_H2,MR_short,CFG0D6C75B2B4,4,1.25,0.6,504,0.01,0.005,0.005,atr_norm,0.6454,0.5437,0.12411,0.5777075931043558,0.4223,1.5337,1.7576,0.31812,0.45664,0.6667,0.05175,0.02715,-0.00619,-0.06132,15198
MR_short_H2,MR_short,CFGA0C979DB84,5,1.25,0.6,336,0.01,0.005,0.005,atr_norm,0.6306,0.545,0.12044,0.5498186613913617,0.4502,1.4883,1.7876,0.31909,0.45019,0.5556,0.04363,0.02564,0.00282,-0.04826,15165
MR_short_H2,MR_short,CFGFBE9340C4A,6,1.0,0.4,504,0.015,0.005,0.005,atr_norm,0.6332,0.56,0.11361,0.5947676545920234,0.4052,1.5577,1.9971,0.31422,0.47668,0.4444,0.05162,0.02759,-0.01588,-0.0528,16398
MR_short_H2,MR_short,CFGE2B04ABDAE,7,1.0,0.4,336,0.015,0.005,0.005,atr_norm,0.6162,0.5555,0.11051,0.5705139930492044,0.4295,1.5109,2.0174,0.3153,0.47184,0.4444,0.04389,0.02477,-0.01235,-0.04264,16401
MR_short_H2,MR_short,CFGA86127A686,8,1.6,0.4,336,0.01,0.005,0.005,atr_norm,0.606,0.5484,0.09318,0.5813267233238905,0.4187,1.4595,2.0684,0.31452,0.47849,0.4444,0.04065,0.02185,-0.01502,-0.05036,16944
MR_short_H2,MR_short,CFGB8DF34E305,9,1.0,0.6,336,0.015,0.005,0.005,atr_norm,0.6158,0.5418,0.10543,0.5887445887445888,0.4113,1.4979,1.9315,0.31797,0.47433,0.6667,0.04241,0.02654,-0.00619,-0.06375,16401
MR_short_H2,MR_short,CFGB70B8A3B34,10,1.6,0.6,336,0.01,0.005,0.005,atr_norm,0.6063,0.5369,0.08794,0.5998583569405099,0.4001,1.4381,1.9741,0.31719,0.48072,0.6667,0.04004,0.01902,-0.01149,-0.06745,16944
MR_short_H4,MR_short,CFG4E5636E0BA,1,1.25,0.6,840,0.01,0.005,0.005,atr_norm,0.6483,0.5414,0.15032,0.4184428844926611,0.5816,1.446,1.7645,0.2977,0.36128,0.5556,0.06316,0.03699,0.0415,-0.02305,15670
MR_short_H4,MR_short,CFG6F52B9041F,2,1.25,0.4,672,0.01,0.005,0.005,atr_norm,0.6445,0.5538,0.1331,0.3864261498112966,0.6136,1.4105,1.8246,0.29607,0.35401,0.3333,0.05731,0.05048,0.02089,-0.00084,15633
