,share_mu,share_std,share_stab,freq_mu,freq_std,freq_stab,mdi_depth_mu,mdi_depth_std,mdi_depth_stab,mdi_cov_mu,mdi_cov_std,mdi_cov_stab,composite_rank,top30_support,top30_lift,global_importance,stability_score,frequency_score,interaction_support,median_rank,mean_abs_rank_dev,final_score,final_rank
dist_from_high_event_12h,0.010851543,0.0040310794,0.029212026,38.666668,5.587685,267.57254,926.52374,358.1424,2396.9412,0.4563346,0.1695844,1.2279506,26.0,0.0,0.0,0.08217107,0.3846154,0.0,0.13744214,18.0,5.3333335,0.14822005,50.0
grind_score,0.004739387,0.0009412202,0.02386454,34.5,5.53022,215.22652,387.291,70.23542,2135.5935,0.19019601,0.031906683,1.1337601,27.0,0.0,0.0,0.03084337,0.5,0.0,0.0,35.5,4.3333335,0.14196385,51.0
impact_24,0.006984559,0.0064091757,0.0076115974,39.166668,10.915076,140.5421,503.45926,479.49924,528.6165,0.25879627,0.22610964,0.2962081,50.0,0.0,0.0,0.04969752,0.42307693,0.0,0.14920756,37.5,5.0,0.14056325,52.0
trend_age_hours,0.0026765727,0.00062822807,0.011403568,30.166666,6.148622,148.00516,182.49632,45.498238,732.00433,0.10537474,0.023306958,0.47641724,44.0,0.0,0.0,0.013520596,0.46153846,0.0,0.12598567,46.5,4.6666665,0.12912023,53.0
entry_quality_composite,0.0035869982,0.0014715845,0.008743335,40.166668,6.4914474,248.53642,254.44681,111.84855,578.84686,0.14802957,0.060483042,0.36229575,47.0,0.0,0.0,0.021166023,0.3653846,0.0,0.331222,39.5,5.5,0.11954857,54.0
mrq_dir2h_abs_prod,0.0044094785,0.0016204916,0.011998519,27.0,4.7609525,153.12062,358.45178,111.799126,1149.2728,0.18369466,0.058132786,0.5804595,41.0,0.0,0.0,0.028072916,0.26923078,0.0,0.73039013,35.0,6.3333335,0.119267315,55.0
ffd_cvar_5pct_06,0.0025767605,0.00096985564,0.006846065,29.5,4.425306,196.65306,194.0809,55.593063,677.5557,0.106646515,0.030691927,0.37056908,49.0,0.0,0.0,0.012682409,0.3846154,0.0,0.2724824,45.5,5.3333335,0.11675329,56.0
dist_from_low_vol,0.004608432,0.0018322063,0.011591295,33.5,5.8523498,191.76057,338.8606,136.47438,841.3778,0.19771229,0.07817199,0.50005317,43.0,0.0,0.0,0.029743655,0.26923078,0.0,0.13883968,33.0,6.3333335,0.090608686,57.0
volatility_zscore,0.0074693677,0.0037043027,0.0150612565,13.666667,4.5704365,40.86651,599.8901,297.8456,1208.2369,0.2787089,0.13655482,0.568846,37.0,0.0,0.0,0.05376877,0.07692308,0.0,0.68376976,24.0,8.0,0.082992084,58.0
stage_mr,0.005222987,0.0021957685,0.01242371,21.333334,4.8534064,93.77148,456.07382,210.80516,986.7089,0.21639563,0.09286249,0.5042625,42.0,0.0,0.0,0.03490447,0.21153846,0.0,0.12953132,33.5,6.8333335,0.07855864,59.0
rvol_hod_base,0.0053693634,0.004857769,0.0059348363,33.333332,8.673075,128.11041,413.05838,365.79053,466.43423,0.20465277,0.15395615,0.2720434,54.0,0.0,0.0,0.036133684,0.15384616,0.0,0.2781024,40.5,7.3333335,0.07224019,60.0
