strategy_id,symbol,timestamp,side,normalized_rank_score,net_return,gross_return,entry_adverse_bps,entry_favorable_bps,entry_gap_bps,entry_slippage_proxy_bps,entry_delay_minutes,delay_window_candle_count,delay_window_range_bps,delay_entry_ref_gap_bps,delay_close_gap_bps,delay_max_adverse_bps,delay_max_favorable_bps
long_bars_in_high_vol_state_log_norm_-0_49417102_loc_range_pos_48_0_22034115_loc_swing_range_pos_24_1_0002919_atr_percentile_-1_477338_range_24h_pct_0_13988039_variance_ratio_10_48_0_92117828,SYN/USD:USD,2026-01-22 10:00:00+00:00,long,0.9814175407925408,-0.011098428130958448,-0.004236221217295186,,,0.0,0.0,5.0,6.0,0.0,,0.0,0.0,0.0
long_loc_bb_channel_pos_48_0_63256526_zscore_price_200_-0_64289832_xasset_asset_minus_basket_fund_z_0_1707595,SYN/USD:USD,2026-01-22 10:00:00+00:00,long,0.9686698717948717,-0.0063848432200346705,0.00048208234426170616,,,0.0,0.0,5.0,6.0,0.0,,0.0,0.0,0.0
long_bars_in_high_vol_state_log_norm_-0_38407263_pullback_depth_1_8353814_pullback_depth_-0_90359813_asset_funding_rate_abs_mean_7d_0_000011711979_variance_ratio_10_48_-0_27143899,OGN/USD:USD,2026-01-22 10:00:00+00:00,long,0.9193983100233101,-0.011912766557806376,-0.005051374465010703,,,0.0,0.0,5.0,6.0,0.0,,0.0,0.0,0.0
short_bollinger_band_width_-0_0062114433_oi_value_z_90d_0_082444385_price_rv_15d_robust_z_0_060036644,RARE/USD:USD,2026-01-22 10:00:00+00:00,short,0.8834061771561772,0.04527935151639064,0.05219799236106135,,,-0.0,0.0,5.0,6.0,0.0,,-0.0,0.0,0.0
long_loc_bb_channel_pos_48_0_63256526_zscore_price_200_-0_64289832_xasset_asset_minus_basket_fund_z_0_1707595,USDT/USD:USD,2026-01-22 10:00:00+00:00,long,0.8696824009324009,-0.007366139947664486,-0.0005001967869656588,,,0.0,0.0,5.0,6.0,0.0,,0.0,0.0,0.0
short_bollinger_band_width_-0_0062114433_oi_value_z_90d_0_082444385_price_rv_15d_robust_z_0_060036644,STG/USD:USD,2026-01-22 10:00:00+00:00,short,0.824752331002331,-0.030037681995197723,-0.023194432749278425,,,-0.0,0.0,5.0,6.0,0.0,,-0.0,0.0,0.0
long_bars_in_high_vol_state_log_norm_-0_49417102_loc_range_pos_48_0_22034115_loc_swing_range_pos_24_1_0002919_atr_percentile_-1_477338_range_24h_pct_0_13988039_variance_ratio_10_48_0_92117828,COMP/USD:USD,2026-01-22 10:00:00+00:00,long,0.8114801864801865,-0.011501012451273237,-0.004639208317608069,,,0.0,0.0,5.0,6.0,0.0,,0.0,0.0,0.0
long_loc_bb_channel_pos_48_0_63256526_zscore_price_200_-0_64289832_xasset_asset_minus_basket_fund_z_0_1707595,OGN/USD:USD,2026-01-22 10:00:00+00:00,long,0.8084280303030303,-0.019019406932862852,-0.01216512917283376,,,0.0,0.0,5.0,6.0,0.0,,0.0,0.0,0.0
long_asset_vol_level_pct_0_20587213_compression_score_-0_99787366,SYN/USD:USD,2026-01-22 10:00:00+00:00,long,0.8050043706293706,-0.011572168823782602,-0.004710435810219108,,,0.0,0.0,5.0,6.0,0.0,,0.0,0.0,0.0
long_bars_in_high_vol_state_log_norm_-0_49417102_loc_range_pos_48_0_22034115_loc_swing_range_pos_24_1_0002919_atr_percentile_-1_477338_range_24h_pct_0_13988039_variance_ratio_10_48_0_92117828,SYN/USD:USD,2026-01-22 11:00:00+00:00,long,0.9793997668997669,-0.011098428518538234,-0.0042362214587369044,,,0.0,0.0,5.0,6.0,0.0,,0.0,0.0,0.0
long_loc_bb_channel_pos_48_0_63256526_zscore_price_200_-0_64289832_xasset_asset_minus_basket_fund_z_0_1707595,SYN/USD:USD,2026-01-22 11:00:00+00:00,long,0.9580565268065268,-0.006384842967966903,0.000482082376245727,,,0.0,0.0,5.0,6.0,0.0,,0.0,0.0,0.0
long_bars_in_high_vol_state_log_norm_-0_38407263_pullback_depth_1_8353814_pullback_depth_-0_90359813_asset_funding_rate_abs_mean_7d_0_000011711979_variance_ratio_10_48_-0_27143899,OGN/USD:USD,2026-01-22 11:00:00+00:00,long,0.9058420745920746,-0.011912766270593515,-0.005051374433551831,,,0.0,0.0,5.0,6.0,0.0,,0.0,0.0,0.0
short_bollinger_band_width_-0_0062114433_oi_value_z_90d_0_082444385_price_rv_15d_robust_z_0_060036644,RARE/USD:USD,2026-01-22 11:00:00+00:00,short,0.8882575757575758,0.045279351041819224,0.05219799321162268,,,-0.0,0.0,5.0,6.0,0.0,,-0.0,0.0,0.0
short_asset_minus_mkt_oi_1d_peer_resid_0_34164831_oi_expansion_compression_balance_24h_0_42287597,KSM/USD:USD,2026-01-22 11:00:00+00:00,short,0.8624781468531468,0.022775316659993727,0.02967143058362416,,,-0.0,0.0,5.0,6.0,0.0,,-0.0,0.0,0.0
short_asset_minus_mkt_oi_1d_peer_resid_0_34164831_oi_expansion_compression_balance_24h_0_42287597,REZ/USD:USD,2026-01-22 11:00:00+00:00,short,0.8463578088578089,0.014579359264467105,0.021467269278744427,,,-0.0,0.0,5.0,6.0,0.0,,-0.0,0.0,0.0
long_loc_bb_channel_pos_48_0_63256526_zscore_price_200_-0_64289832_xasset_asset_minus_basket_fund_z_0_1707595,OGN/USD:USD,2026-01-22 11:00:00+00:00,long,0.838243006993007,-0.0190194073300129,-0.01216512910324116,,,0.0,0.0,5.0,6.0,0.0,,0.0,0.0,0.0
short_bollinger_band_width_-0_0062114433_oi_value_z_90d_0_082444385_price_rv_15d_robust_z_0_060036644,PORTAL/USD:USD,2026-01-22 11:00:00+00:00,short,0.8182182400932401,0.010595378047551349,0.017479301037245747,,,-0.0,0.0,5.0,6.0,0.0,,-0.0,0.0,0.0
long_bars_in_high_vol_state_log_norm_-0_49417102_loc_range_pos_48_0_22034115_loc_swing_range_pos_24_1_0002919_atr_percentile_-1_477338_range_24h_pct_0_13988039_variance_ratio_10_48_0_92117828,SYN/USD:USD,2026-01-22 12:00:00+00:00,long,0.976675407925408,-0.011098428623780146,-0.0042362212763910586,,,0.0,0.0,5.0,6.0,0.0,,0.0,0.0,0.0
long_loc_bb_channel_pos_48_0_63256526_zscore_price_200_-0_64289832_xasset_asset_minus_basket_fund_z_0_1707595,SYN/USD:USD,2026-01-22 12:00:00+00:00,long,0.9556453962703962,-0.00638484329593533,0.0004820823490309849,,,0.0,0.0,5.0,6.0,0.0,,0.0,0.0,0.0
long_dist_ema20_atr_-0_92271453_loc_bb_channel_pos_48_0_60767579_leverage_build_score_0_45107844_return_autocorr_48_1_18643_rolling_range_20_-0_25967735,ZRX/USD:USD,2026-01-22 12:00:00+00:00,long,0.8945512820512821,-0.011620400177516506,-0.004758715541658186,,,0.0,0.0,5.0,6.0,0.0,,0.0,0.0,0.0
long_bars_in_high_vol_state_log_norm_-0_38407263_pullback_depth_1_8353814_pullback_depth_-0_90359813_asset_funding_rate_abs_mean_7d_0_000011711979_variance_ratio_10_48_-0_27143899,OGN/USD:USD,2026-01-22 12:00:00+00:00,long,0.860708041958042,-0.011912766693738579,-0.005051374491054157,,,0.0,0.0,5.0,6.0,0.0,,0.0,0.0,0.0
long_bars_in_high_vol_state_log_norm_-0_38407263_pullback_depth_1_8353814_pullback_depth_-0_90359813_asset_funding_rate_abs_mean_7d_0_000011711979_variance_ratio_10_48_-0_27143899,ZRX/USD:USD,2026-01-22 12:00:00+00:00,long,0.8554705710955711,-0.012094140942666965,-0.005232930055675493,,,0.0,0.0,5.0,6.0,0.0,,0.0,0.0,0.0
short_asset_minus_mkt_oi_1d_peer_resid_0_34164831_oi_expansion_compression_balance_24h_0_42287597,KSM/USD:USD,2026-01-22 12:00:00+00:00,short,0.8269740675990676,0.022775315900611694,0.029671430644146783,,,-0.0,0.0,5.0,6.0,0.0,,-0.0,0.0,0.0
long_loc_bb_channel_pos_48_0_63256526_zscore_price_200_-0_64289832_xasset_asset_minus_basket_fund_z_0_1707595,OGN/USD:USD,2026-01-22 12:00:00+00:00,long,0.8204909673659674,-0.01901940801240848,-0.012165129563848943,,,0.0,0.0,5.0,6.0,0.0,,0.0,0.0,0.0
short_bollinger_band_width_-0_0062114433_oi_value_z_90d_0_082444385_price_rv_15d_robust_z_0_060036644,STG/USD:USD,2026-01-22 12:00:00+00:00,short,0.8160766317016317,-0.02743949357870357,-0.020593643705870395,,,-0.0,0.0,5.0,6.0,0.0,,-0.0,0.0,0.0
long_dist_ema20_atr_-0_92271453_loc_bb_channel_pos_48_0_60767579_leverage_build_score_0_45107844_return_autocorr_48_1_18643_rolling_range_20_-0_25967735,OGN/USD:USD,2026-01-22 13:00:00+00:00,long,0.9336101398601399,-0.0114390261783355,-0.004577159778221604,,,0.0,0.0,5.0,6.0,0.0,,0.0,0.0,0.0
long_bars_in_high_vol_state_log_norm_-0_38407263_pullback_depth_1_8353814_pullback_depth_-0_90359813_asset_funding_rate_abs_mean_7d_0_000011711979_variance_ratio_10_48_-0_27143899,OGN/USD:USD,2026-01-22 13:00:00+00:00,long,0.9212776806526807,-0.011912766259139371,-0.00505137443337008,,,0.0,0.0,5.0,6.0,0.0,,0.0,0.0,0.0
long_loc_bb_channel_pos_48_0_63256526_zscore_price_200_-0_64289832_xasset_asset_minus_basket_fund_z_0_1707595,SYN/USD:USD,2026-01-22 13:00:00+00:00,long,0.8635562354312354,-0.006384843081700507,0.00048208235702306524,,,0.0,0.0,5.0,6.0,0.0,,0.0,0.0,0.0
long_bars_in_high_vol_state_log_norm_-0_49417102_loc_range_pos_48_0_22034115_loc_swing_range_pos_24_1_0002919_atr_percentile_-1_477338_range_24h_pct_0_13988039_variance_ratio_10_48_0_92117828,SYN/USD:USD,2026-01-22 13:00:00+00:00,long,0.850342365967366,-0.011098428419425285,-0.00423622116246343,,,0.0,0.0,5.0,6.0,0.0,,0.0,0.0,0.0
short_bollinger_band_width_-0_0062114433_oi_value_z_90d_0_082444385_price_rv_15d_robust_z_0_060036644,STG/USD:USD,2026-01-22 13:00:00+00:00,short,0.8464015151515152,-0.0273357655600951,-0.02048981216649631,,,-0.0,0.0,5.0,6.0,0.0,,-0.0,0.0,0.0
short_asset_minus_mkt_oi_1d_peer_resid_0_34164831_oi_expansion_compression_balance_24h_0_42287597,KSM/USD:USD,2026-01-22 13:00:00+00:00,short,0.8438592657342657,0.022775316450179814,0.02967143126766705,,,-0.0,0.0,5.0,6.0,0.0,,-0.0,0.0,0.0
