,stage_name,timestamp,input_data_shape,output_data_shape,processing_time,memory_usage_mb,geometry_metrics,model_metrics,feature_metrics,quality_metrics,performance_scores,stability_scores,integrity_scores
0,OOF_Start,2026-01-22T22:42:06.746923,"[132484, 583]",,0.0,925.84375,{},{},{},{},{},{},{}
1,TrainBatch_VOLATILITY_SPECIALIST,2026-01-22T22:44:25.285299,"[3562, 640]",,0.0,2495.4375,{},{},{},{},{},{},{}
2,TrainBatch_FLOW_PRESSURE_CONTINUOUS_FLOW_ACCEL_20_POS,2026-01-22T22:45:15.940885,"[40386, 640]",,0.0,1553.21875,{},{},{},{},{},{},{}
3,TrainBatch_INVENTORY_SPECIALIST,2026-01-22T22:45:51.931241,"[3531, 640]",,0.0,1408.984375,{},{},{},{},{},{},{}
4,TrainBatch_MARKET_FRAGILITY_FRAGILITY_ACCEL_100_POS,2026-01-22T22:46:05.132958,"[42571, 640]",,0.0,1504.171875,{},{},{},{},{},{},{}
5,TrainBatch_RELAXATION_GEOMETRY_RELAXATION_ACCEL_100_POS,2026-01-22T22:46:46.618451,"[41995, 640]",,0.0,1145.484375,{},{},{},{},{},{},{}
6,TrainBatch_RELAXATION_GEOMETRY_DECAY_RATE_20_POS,2026-01-22T22:47:37.390620,"[41995, 640]",,0.0,1742.59375,{},{},{},{},{},{},{}
7,TrainBatch_VOLUME_SPECIALIST,2026-01-22T22:48:14.711571,"[3552, 640]",,0.0,1593.109375,{},{},{},{},{},{},{}
8,TrainBatch_META_EWMA_1D_COMPOSITE_SURPRISE_Z_CONTINUOUS_VOL_SURPRISE_Z_100_POS_OHLCV_VOLATILITY_SPIKE_30MIN_INT,2026-01-22T22:48:23.184918,"[12719, 640]",,0.0,1359.0,{},{},{},{},{},{},{}
9,TrainBatch_MOMENTUM_DECAY_SPECIALIST,2026-01-22T22:48:38.429027,"[178, 640]",,0.0,1448.09375,{},{},{},{},{},{},{}
10,TrainBatch_LIQUIDITY_SPECIALIST,2026-01-22T22:48:44.946334,"[3492, 640]",,0.0,1462.609375,{},{},{},{},{},{},{}
11,TrainBatch_INFORMATION_SPECIALIST,2026-01-22T22:48:58.010636,"[3856, 640]",,0.0,892.25,{},{},{},{},{},{},{}
12,TrainBatch_SURPRISE_Z_CONTINUOUS_VOL_SURPRISE_Z_100_POS,2026-01-22T22:49:08.150082,"[34111, 640]",,0.0,1478.828125,{},{},{},{},{},{},{}
13,TrainBatch_SURPRISE_Z_CONTINUOUS_VOLUME_SURPRISE_Z_20_POS,2026-01-22T22:49:53.005874,"[34111, 640]",,0.0,2029.6875,{},{},{},{},{},{},{}
14,TrainBatch_FLOW_PRESSURE_CONTINUOUS_FLOW_PRESSURE_20_POS,2026-01-22T22:50:30.700885,"[40386, 640]",,0.0,1564.34375,{},{},{},{},{},{},{}
15,TrainBatch_SURPRISE_Z_CONTINUOUS_RETURN_SURPRISE_Z_20_POS,2026-01-22T22:51:22.745066,"[34111, 640]",,0.0,1342.359375,{},{},{},{},{},{},{}
